"3D Secure","Sécurité 3D"
"3D Secure Card Validation","Validation de carte sécurité 3D"
"API Login ID","Identifiant de l'API"
"Accepted Currency","Monnaie acceptée"
"Allow Partial Authorization","Permettre autorisation partielle"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Etes-vous sûr de vouloir annuler votre paiement ?  Cliquez sur OK pour annuler le paiement et débloquer le montant en attente. Cliquez sur Quitter pour entrer une autre carte bancaire et continuer le paiemetn."
"Authorize Only","Autoriser uniquement"
"Authorize and Capture","Autoriser et enregistrer"
"Authorize.Net Transaction ID %s","Identifiant de transaction %s Authorize.Net"
"Authorize.net","Authorize.net"
"Cancel","Annuler"
"Centinel API URL","URP API Centinel"
"Credit Card Types","Types de cartes de crédit"
"Credit Card Verification","Vérification de la carte de crédit"
"Credit Card: xxxx-%s","Carte de crédit : xxxx-%s"
"Debug","Déboguer"
"Email Customer","Envoyer un email au client"
"Enabled","Activé"
"Error in payment gateway.","Erreur dans le transfert du paiement."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Les actions de passerelle sont verouillées car la passerelle ne peut pas compléter une ou plusieurs transactions. Veuillez vous connecter à Authorize.net pour résoudre manuellement le problème."
"Gateway error: %s","Erreur de la passerelle : %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Si vide, une valeur par défaut sera utilisée. Une URL personnalisée peut être fournie par CardinalCommerce."
"Invalid amount for authorization.","Montant invalide pour autorisation."
"Invalid amount for capture.","Montant invalide"
"Invalid amount for partial authorization.","Montant invalide pour l'autorisation partielle"
"Invalid amount for refund.","Montant invalide pour un remboursement"
"Invalid split tenderId ID.","Identifiant invalide"
"Maximum Order Total","Montant total maximum"
"Merchant's Email","Email du marchand"
"Minimum Order Total","Montant total minimum"
"New Order Status","Nouveau statut de la commande"
"Payment Action","Paiement"
"Payment authorization error.","Erreur d'autorisation du paiement."
"Payment canceling error.","Erreur dans l'annulation du paiement."
"Payment capturing error.","Erreur lors de la saisie du paiement"
"Payment from Applicable Countries","Paiement depuis les pays disponibles."
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Payment partial authorization error.","Erreur de l'autorisation partielle du paiement"
"Payment refunding error.","Erreur de remboursement du paiement"
"Payment updating error.","Erreur lors de la mise à jour du paiement."
"Payment voiding error.","Erreur annulant le paiement"
"Processed Amount","Montant réalisé"
"Remaining Balance","Balance restante"
"Severe 3D Secure Card Validation","Validation de carte sécurité 3D sévère"
"Severe Validation Removes Chargeback Liability on Merchant","Validation sévère supprime le risque de remboursement pour le vendeur"
"Shopping cart contents and/or address has been changed.","Le contenu du panier et/ou l'adresse ont été changés."
"Sort Order","Trier les widgets"
"Test Mode","Mode test."
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Le montant disponible sur votre carte de crédit est insuffisant pour pouvoir finaliser votre commande. Le montant disponible a été mis en attente. Pour finaliser votre commande, cliquez sur OK et indiquez le numéro d'une autre carte de crédit. Pour annuler la commande et débloquer le montant mis en attente, cliquez sur Annuler."
"There was an error canceling transactions. Please contact us or try again later.","Une erreur s'est produite lors de l'annulation de transactions. Veuillez nous contacter ou réessayer ultérieurement."
"Title","Titre"
"Transaction Key","Clé de la transaction"
"You have reached the maximum number of credit card allowed to be used for the payment.","Vous avez atteint le nombre maximum autorisé de cartes de crédit à utiliser pour le paiement."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Vous avez atteint le nombre maximum autorisé de cartes de crédits à utiliser pour un paiement. Les montants disponibles sur l'ensemble des cartes de crédit étaient insuffisants pour finaliser le paiement. Le paiement a été annulé et les montants mis en attente débloqués."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Votre carte de crédit a été refusée. Cliquez sur OK pour indiquer une autre carte de crédit pour finaliser votre paiement. Cliquez sur Annuler pour débloquer le montant mis attente et sélectionner un autre moyen de paiement."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Votre commande n'a pas été enregistrée car les contenus du panier et/ou de l'adresse ont été modifiés. Les montants autorisés en attente de votre paiement précédent sont désormais débloqués. Veuillez procéder au paiement pour les contenus de votre dernier panier."
"Your payment has been cancelled. All authorized amounts have been released.","Votre paiement a été annulé. Tous les montants autorisés ont été débloqués."
"amount %s","Montant %s"
"authorize","autoriser"
"authorize and capture","autoriser et saisir"
"capture","saisir"
"failed","échoué"
"refund","remboursement"
"successful","réussi"
"void","vide"
