"Active","活动"
"Add Attribute Mapping","添加属性映射"
"Add New Attribute","添加新属性"
"Add to Google Base","添加到Google Base"
"Are you sure?","您是否确认？"
"Attribute","属性"
"Attribute Set","属性集"
"Attribute Set and Item Type","属性集与项目类型"
"Attributes","属性"
"Attributes Mapping","属性映射"
"Attributes Set","属性集"
"AuthSub","AuthSub"
"Available Products","可用产品"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","应在系统配置中将基本货币设置为 %s 的 %s，否则商品价格在Google Base中将不准确。"
"Cannot update Google Base Item for Store '%s'","无法为店铺 '%s' 更新 Google Base 项"
"Captcha confirmation error: %s","验证码有误：%s"
"Captcha has been confirmed.","验证码已确认。"
"Catalog","分类"
"Clicks","点击"
"ClientLogin","客户端登录"
"Confirm","确认"
"Current Mapping will be reloaded. Continue?","当前映射会重新加载，是否继续？"
"Custom attribute, no mapping","自定义属性，无映射"
"Delete","删除"
"Delete Mapping","删除映射"
"Edit Item Type","编辑项目类型"
"Edit Item Type ""%s""","编辑项目类型“%s”"
"Error: %s","错误：%s"
"Expires","过期"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google 基本属性"
"Google Base ID","Google 基本 ID"
"Google Base Item Type","Google 基本项目类型"
"Google Base Item type","Google 基本项目类型"
"Google Base Items","Google Base项目"
"Google base","Google 基本"
"Hide","隐藏"
"Hosted","已托管"
"Hosted or Google","托管或 Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Google Base 项目中无效的产品型号"
"Item Type was deleted","项目类型已删除"
"Item Types","项目类型"
"Item model is not specified to delete Google Base entry.","未指定要删除 Google Base 条目的项目型号。"
"Items","项目"
"Manage Attribute Mapping","管理属性映射"
"Manage Attributes","管理属性"
"Manage Items","管理项目"
"New Item Type","新项目类型"
"New ItemType","新的项目类型"
"No","否"
"No items were deleted from Google Base","没有从Google Base中删除内容"
"No items were published","没有发布内容"
"No items were saved as inactive items","没有将内容保存为不活跃内容"
"No products were added to Google Base","没有将产品加入Google Base"
"Object model is not specified to save Google Base entry.","对象模型未指定保存到Google Base项。"
"Please, select Attribute Set and Google Item Type to load attributes","请选择属性集与Google项目类型以加载属性"
"Product Name","产品名"
"Publish","发布"
"Published","已发布"
"Remove","删除"
"Save Mapping","保存映射"
"Session expired during export. Please revise exported products and repeat the process if necessary.","导出过程中会话过期。请修订导出的产品，并在有必要时重复该操作。"
"Synchronize","同步"
"Target Country","目标国家"
"The item type has been saved.","该项目类型已保存。"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","该操作将更新项目状态，并删除Google Base中不可用的内容，是否继续？"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","总共 %d 个内容被删除，共 %d 个内容被更新。"
"Total of %d items(s) have been published.","共 %d 个内容被发布。"
"Total of %d items(s) have been removed from Google Base.","共 %d 个内容被从Google Base删除。"
"Total of %d items(s) have been saved as inactive items.","共 %d 个内容被保存为不活跃内容。"
"Total of %d product(s) have been added to Google Base.","共 %d 个产品被加入Google Base。"
"Unable to connect to Google Base. Please, check Account settings in configuration.","无法连接到Google Base，请检查配置中的帐户设置。"
"Unable to select a Store View.","无法选择店铺视图。"
"View Available Products","查看可用产品。"
"View Item in Google Base","在Google Base中查看项目"
"Yes","是"
