" and ","并且"
" note that the URLs provided below are the correct values for your current website): ","请注意，下列 URL 是您当前网站的准确值）："
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","（对于类型 ""Local Server"" 需要使用到 Magento install var/export 或 var/import 的相对路径，例如 var/export、var/import、var/export/some/dir、var/import/some/dir）"
"(For US 2-letter state names)","（用于美国两个字母代表的州名称）"
"(If left empty will be auto-generated)","（如果留空将自动生成）"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","（包含列表中不包括的国家。作为应用的所有者，您需要负责遵守在特定国家，包括您自己的祖国分发或销售您的应用程序时，该国的相关法律。）"
"(Leave empty for first spreadsheet)","（第一个表格可留空）"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","（如果“店铺”一栏为空或在导入的文件中不存在，则产品会被添加/更新到该店铺中。）"
"(Shift-)Click or drag to change value","（Shift-）点击或拖拽即可更改值"
"(Starting with)","（始于）"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","（如果为“否”，则只有映射的文件会被导入。在映射时，请使用 'column1'、'column2'等。）"
"(You have to increase php memory_limit before changing this value)","（更改该值之前您需要增大php的memory_limit）"
"(\\t for tab)","（\\t 可打开选项卡）"
"- Click on any of the time parts to increase it","- 点击时间的任何部分即可更改"
"- Hold mouse button on any of the above buttons for faster selection.","- 在任何按钮上按下鼠标按键即可选中。"
"- Use the %s buttons to select month","- 使用%s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用%s，%s按钮选择年份"
"- or Shift-click to decrease it","- 或Shift-点击以减小"
"- or click and drag for faster selection.","- 或点击并拖拽以快速选中。"
"-- Please Select Billing Agreement--","-- 请选择记账协议 --"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"ASCII","ASCII"
"About the calendar","关于日历"
"Access denied.","访问被拒绝"
"Account Created in:","帐户创建于："
"Account Created on (%s):","帐户创建于（%s）："
"Account Created on:","帐户创建于："
"Action","操作"
"Actions","操作"
"Activate","激活"
"Add Contents Path","添加内容路径"
"Add Field with URL:","添加带URL的字段："
"Add New Role","添加新角色"
"Add New User","添加新用户"
"Add PHP Extension dependency","添加PHP扩展依存性"
"Add Package dependency","添加数据包依存性"
"Add to Cart","添加到购物车"
"Add to Wishlist","添加到收藏"
"Address Type:","地址类型："
"AirMail Template Preview","航空邮件模板预览"
"All","全部"
"All Websites","所有网站"
"All fields","所有字段"
"All locations","所有位置"
"Archive file name:","存档文件名："
"Are you sure that you want to delete this template?","您是否确认要删除该模板？"
"Are you sure that you want to strip tags?","您是否确认要取消标签？"
"As low as:","低至："
"Attribute Set Name:","属性集名称："
"Attributes","属性"
"Authors","作者"
"Available Products","可用产品"
