"%s codes deleted","%s 代码已删除"
"%s codes imported","%s 代码已导入"
"%s codes not imported","%s 代码未导入"
"%s product in feed.","%s 产品已包含在Feed中。"
"%s product not in feed.","%s 产品尚未包含在Feed中。"
"Add new","添加新的"
"Attrib. Set Name","属性。 设置名称"
"Attributes map","属性图"
"Cron Frequency","Cron频率"
"Cron Hour","Cron小时"
"Delete","删除"
"Eav code","Eav代码"
"FTP Password","FTP密码"
"FTP Path","FTP路径"
"FTP Server","FTP服务器"
"FTP Settings","FTP设置"
"FTP User","FTP用户"
"FTP: Can't delete files","FTP：无法删除文件"
"Feed","Feed"
"Feed code","Feed代码"
"ID","ID"
"Import","导入"
"Import attribute map","导入属性图"
"Import code","导入代码"
"In feed","位于Feed中"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","为了访问您的 FTP 帐户信息，您必须首先在 TheFind Merchant Center 注册并验证您的店铺。请点击 <a href=""https://merchant.thefind.com/mc/claim.fhtml"">这里</a> 以继续。"
"Is imported","已导入"
"Item params","项目参数"
"Manage attributes","管理属性"
"Manage items","管理项目"
"Not import","未导入"
"Not publish","未发布"
"Price","价格"
"Product Name","产品名"
"Product import","产品导入"
"Publish","发布"
"SKU","SKU"
"Settings","设置"
"The Find","The Find"
"TheFind Feed Filename","TheFind Feed 文件名"
"TheFind feed","TheFind Feed"
"Type","类型"
"Unable to process an import. ","无法处理导入。"
"Update TheFind Item when Product is Updated","产品更新后同时更新 TheFind 项目"
