"%s","%s"
"%s already exist.","%s 已存在。"
"%s already exists.","%s 已存在。"
"-- Please Select --","-- 请选择 --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">警告！</strong> 在使用CDN时，某些情况下如果CDN不再您的子域内，JavaScript可能无法正常工作"
"A category object is required for determining the product request path.","为确定产品申请路径，必须提供分类对象。"
"Add Block Names to Hints","添加块名称到提示中"
"Add Secret Key to URLs","添加密钥Key到URL中"
"Add Store Code to Urls","添加店铺代码到URL中"
"Admin","管理员"
"Admin Base URL","管理基本URL"
"Admin User Emails","管理用户邮件"
"Advanced","高级"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","在选择新的媒体存储位置后，请按下 同步 按钮以便将所有媒体文件传输到该位置。除非同步工作完成，否则媒体文件将无法通过新位置使用。"
"Allow Countries","允许的国家"
"Allow Symlinks","允许的符号链接"
"Allowed IPs (comma separated)","允许的IP（逗号分割）"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","允许的文件类型：ICO、PNG、GIF、JPG、JPEG、APNG，SVG。并非所有浏览器都支持所有这些格式！"
"Allows customers to stay logged in when switching between different stores.","允许客户在不同店铺间切换时保持登录。"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","轮换菜单中链接旁的候选文字。如果为空，则使用默认的箭头图片。"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","轮换菜单中上一个链接旁的候选文字。如果为空，则使用默认的箭头图片。"
"An error occurred while saving. Please review the error log.","在保存时出现了错误。请查看错误日志。"
"Anchor Text for Next","下一个的锚点文字"
"Anchor Text for Previous","上一个的锚点文字"
"Anchor symbol (#) is not supported in request path","锚点符号（#）不能用于请求路径中"
"Anchor symbol (#) is not supported in url rewrite suffix","URL 重写后缀不支持固定标志 (#)"
"Are you sure?","您是否确认？"
"Auto-redirect to Base URL","自定重定向到基本 URL"
"Back","返回"
"Backup Options","备份选项"
"Base JavaScript URL","基本 JavaScript URL"
"Base Link URL","基本链接 URL"
"Base Media URL","基本媒体 URL"
"Base Secure URL","基本安全 URL"
"Base Skin URL","基本皮肤 URL"
"Base URL","备份URL"
"Base Unsecure URL","基本不安全 URL"
"Before modifying the store view code please make sure that it is not used in index.php.","请在修改商店视图代码前，确认它没有在 index.php 中使用。"
"Before modifying the website code please make sure that it is not used in index.php.","请在修改网站代码前，确认它没有在 index.php 中使用。"
"Block with name ""%s"" already exists","拥有名称“%s”的区块已存在"
"Browser Capabilities Detection","浏览器功能检测"
"CSS Settings","CSS 设置"
"Cache Storage Management","缓存存储管理"
"Cache storage may contain additional data. Are you sure that you want flush it?","缓存存储可能包含额外数据。您确认要清空它吗？"
"Can not create invoice. Order was not found.","无法创建发票。未找到订单。"
"Can't retrieve request object","无法获取请求对象"
"Can\'t retrieve entity config: %s","无法获取实体配置：%s"
"Cancel","取消"
"Cannot complete this operation from non-admin area.","无法从非管理员区域完成该操作。"
"Card type does not match credit card number.","信用卡类型与信用卡号不匹配。"
"Code","代码"
"Controller file was loaded but class does not exist","控制器文件已载入，但类不存在"
"Cookie Domain","Cookie域"
"Cookie Lifetime","Cookie寿命"
"Cookie Path","Cookie路径"
"Cookie Restriction Mode","Cookie 限制模式"
"Copyright","版权所有"
"Core","核心"
"Countries Options","国家选项"
"Country","国家"
"Create Store","创建店铺"
"Create Store View","创建店铺视图"
"Create Website","创建网站"
"Credit card number does not match credit card type.","信用卡编号与信用卡类型不匹配。"
"Current Package Name","当前包名称"
"Custom Admin Path","自定义管理路径"
"Custom Admin URL","自定义管理 URL"
"Custom Design","自定义设计"
"Custom Email 1","自定义邮件1"
"Custom Email 2","自定义邮件2"
"Custom Variables","自定义变量"
"Custom1 Contact Email","自定义 1 联系邮件"
"Custom1 Contact Name","自定义 1 联系姓名"
"Custom2 Contact Email","自定义 2 联系邮件"
"Custom2 Contact Name","自定义 2 联系姓名"
"Customer Support","客户支持"
"Dashboard","仪表板"
"Date From","日期自"
"Date To","日期至"
"Date/time format ""%s"" is not supported.","日期/时间格式 ""%s"" 不被支持。"
"Debug","调试"
"Default","默认"
"Default Country","默认国家"
"Default Description","默认描述"
"Default Keywords","默认关键字"
"Default No-route URL","默认非路由URL"
"Default Pages","默认页面"
"Default Robots","默认机器人"
"Default Store","默认店铺"
"Default Store View","默认店铺视图"
"Default Title","默认标题"
"Default Web URL","默认Web URL"
"Delete","删除"
"Delete Store","删除店铺"
"Delete Store View","删除店铺视图"
"Delete Website","删除网站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","删除 %1$s 并不能删除关联给 %1$s 的信息（例如分类、产品等），但 %1$s 将无法被还原。建议首先创建数据库备份，然后再删除 %1$s。"
"Design","设计"
"Design Change","设计更改"
"Developer","开发人员"
"Developer Client Restrictions","开发人员客户端闲置"
"Disable Email Communications","禁用电子邮件通讯"
"Disable Modules Output","禁用模块输出"
"Display Demo Store Notice","显示预览店铺通知"
"Duplicate Of Template Name","模板名称副本"
"Edit Design Change","编辑设计变动"
"Edit Store","编辑店铺"
"Edit Store View","编辑店铺视图"
"Edit Website","编辑网站"
"Empty identifier field name","标识符字段名为空"
"Empty main table name","主表名为空"
"Enable Charts","启用图表"
"Enabled","已启用"
"Enabled for Admin","启用管理"
"Enabled for Frontend","为前端启用"
"Environment Update Time","环境更新时间"
"Error in file: ""%s"" - %s","文件中出错：""%s"" - %s"
"European Union Countries","欧盟成员国"
"Exceptions Log File Name","例外日志文件名"
"Favicon Icon","Favicon图标"
"File %s does not exist","文件 %s 不存在"
"File %s is not readable","文件 %s 不可读"
"File not found","文件未找到"
"File system","文件系统"
"File with an extension ""%value%"" is protected and cannot be uploaded","扩展为 ""%value%"" 的文件受到保护，无法上传"
"First Day of Week","每周第一天"
"Flush Cache Storage","清理缓存存储"
"Flush Magento Cache","清理Magento缓存"
"Footer","脚注"
"Forgot Password Email Sender","忘记密码电子邮件发送"
"Forgot Password Email Template","忘记密码邮件模板"
"General","常规"
"General Contact","常规联系人"
"General Contact Email","一般联络电子邮件"
"General Contact Name","常规联系人姓名"
"General Settings","常规设置"
"Global","全球"
"HTML Head","HTML头"
"HTML tags are not allowed","不允许使用 HTML 标签"
"Header","头部"
"Host","主机"
"How many links to display at once.","一次显示多少链接。"
