"3D Secure","3D 安全"
"3D Secure Card Validation","3D 安全信用卡验证"
"API Login ID","API 登录 ID"
"Accepted Currency","接受的汇率"
"Allow Partial Authorization","允许部分身份验证"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","您是否确定要取消支付？单击确定可取消您的支付，并释放占用的额度。单击取消可输入其他信用卡，并继续进行支付。"
"Authorize Only","仅供授权"
"Authorize and Capture","授权和捕获"
"Authorize.Net Transaction ID %s","Authorize.Net 交易 ID %s"
"Authorize.net","Authorize.net"
"Cancel","取消"
"Centinel API URL","Centinel API URL"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Credit Card: xxxx-%s","信用卡：xxxx-%s"
"Debug","调试"
"Email Customer","发送电子邮件给客户"
"Enabled","已启用"
"Error in payment gateway.","支付网关出错。"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","网关操作被锁定，因为网关无法完成一个或多个交易。请登录到您的 Authorize.Net 帐户并手工解决该问题。"
"Gateway error: %s","网关错误：%s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","如果为空，则会使用默认值。自定义URL可通过 CardinalCommerce 协议提供。"
"Invalid amount for authorization.","授权的额度无效。"
"Invalid amount for capture.","获取的额度无效。"
"Invalid amount for partial authorization.","部分身份验证无效。"
"Invalid amount for refund.","退款额度无效。"
"Invalid split tenderId ID.","拆分的 tenderId ID 无效。"
"Maximum Order Total","最大订单总数"
"Merchant's Email","商家电子邮件"
"Minimum Order Total","最小订单总数"
"New Order Status","新订单状态"
"Payment Action","支付操作"
"Payment authorization error.","支付授权错误。"
"Payment canceling error.","取消支付过程出错。"
"Payment capturing error.","支付捕获出错。"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"Payment partial authorization error.","支付的部分身份验证出错。"
"Payment refunding error.","支付的退款出错。"
"Payment updating error.","支付更新错误。"
"Payment voiding error.","支付的作废出错。"
"Processed Amount","处理的额度"
"Remaining Balance","剩下的余额"
"Severe 3D Secure Card Validation","提供 3D 安全信用卡验证"
"Severe Validation Removes Chargeback Liability on Merchant","正式验证将撤销银行的退款责任"
"Shopping cart contents and/or address has been changed.","购物车内容和/或地址已被更改。"
"Sort Order","排序顺序"
"Test Mode","测试模式"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","您信用卡的余额不足以完成本次购买。可用余额已经被暂挂。为完成您的购买，请点击确定并提供另一个信用卡号码。要取消购买并退回暂挂的余额，请点击取消。"
"There was an error canceling transactions. Please contact us or try again later.","取消交易时遇到了错误。请联系我们或稍候重试。"
"Title","标题"
"Transaction Key","交易密钥"
"You have reached the maximum number of credit card allowed to be used for the payment.","您已经达到了可用于交易的信用卡数量最大值。"
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","您已经达到了一次支付可使用信用卡数量的最大值。所有用过卡片的可用额度都不足以完成支付。付款已被取消，暂挂的额度已经被返还。"
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","您的信用卡被拒绝。点击确定以指定另一张可完成此次交易的信用卡。点击取消以返还被暂挂的额度，并选择其他支付方式。"
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","您的订单创建不成功，因为购物车的内容和/或地址已经有变动。您的上次支付中通过预授权被暂挂的额度已经返还。请为购物车中的新内容重新执行付款流程。"
"Your payment has been cancelled. All authorized amounts have been released.","您的付款已被取消。所有授权的额度已经被返还。"
"amount %s","额度 %s"
"authorize","授权"
"authorize and capture","授权和获取"
"capture","获取"
"failed","失败"
"refund","退款"
"successful","成功"
"void","避免"
