"Add","添加"
"Add gift message for shopping cart","为购物车添加礼品消息"
"Add gift messages for quote item of shopping cart","为购物车中的报价项目添加礼品消息"
"Add gift messages to products of shopping cart","添加礼品消息到购物车中的产品"
"Add gift options","添加礼品选项"
"Add gift options for Individual Items","为单个项目添加礼品选项"
"Add gift options for the Entire Order","为整个订单添加礼品选项"
"Add gift options.","添加礼品选项。"
"Allow Gift Messages for Order Items","允许为订单项目添加礼品消息"
"Allow Gift Messages on Order Level","允许按订单级别添加礼品消息"
"An error occurred while saving the gift message.","保存礼品消息时发生错误。"
"Are you sure?","您是否确认？"
"Cancel","取消"
"Do you have any gift items in your order?","您的订单中包含任何礼品项目吗？"
"Edit","编辑"
"From","来自"
"Gift Message","礼品消息"
"Gift Message API","礼品消息 API"
"Gift Options","礼品选项"
"Gift Options for","礼品选项，适用于"
"Gift Options for Individual Items","适用于单个项目的礼品选项"
"Gift Options for the Entire Order.","适用于整个订单的礼品选项。"
"Gift Options for this address.","适用于该地址的礼品选项。"
"Item %d of %d","第 %d 个项目，共 %d 个"
"Message","信息"
"No","否"
"OK","确定"
"Save Gift Message","保存礼品信息"
"The gift message has been removed","礼品信息已删除"
"The gift message has been saved","礼品信息已保存"
"The gift message has been saved.","礼品信息已保存。"
"To","发送至"
"Unknown entity type","未知实体类型"
"Use config","用户配置"
"Yes","是"
"You can leave this box blank if you do not wish to add a gift message for the item.","如果您不想为该商品添加礼品信息，则可以在这里留空。"
"You can leave this box blank if you do not wish to add a gift message for this address.","如果您不想为该地址添加礼品信息，则可以在这里留空。"
"You can leave this box blank if you do not wish to add a gift message for whole order.","如果您不想为整个订单添加礼品信息，则可以在这里留空。"
