"3D Secure CAVV","3D 安全 CAVV"
"3D Secure Card Validation","3D 安全信用卡验证"
"3D Secure Cardholder Validation","3D 安全持卡人验证"
"3D Secure Electronic Commerce Indicator","3D 安全电子商务指标"
"3D Secure Verification Result","3D 安全验证结果"
"3D Secure XID","3D 安全 XID"
"Card Issuer Liability","发卡机构法律责任"
"Card Verification","信用卡验证"
"Enrolled","登记"
"Enrolled but Authentication Unavailable","已登记但验证不可用"
"Failed","已失败"
"MasterCard SecureCode","MasterCard 安全代码"
"Merchant Liability","商家责任"
"Not Enrolled","未登记"
"Order cannot be placed.","无法下订单。"
"Payment information error. Please start over.","支付信息错误。请重新开始。"
"Please continue with placing order.","请继续下订单。"
"Please verify the card with the issuer bank before placing the order.","在下订单前，请与发卡行验证信用卡。"
"Please verify the card with the issuer bank:","请与发卡行验证信用卡："
"Start/Reset Validation...","开始/重设验证..."
"Successful","成功"
"Successful attempt","成功尝试"
"The card has failed verification with the issuer bank.","卡片与发卡行的验证失败。"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","已提交错误的支付信息，或时间限制已过。请重试。"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","提交的支付信息错误，或时间限制已到。请重试。"
"This card has failed validation and cannot be used.","信用卡验证失败，无法使用。"
"To ensure the security of your transactions","要确保您的交易安全"
"Unable to complete","无法完成"
"Validation failed.","验证失败。"
"Verification Failed","验证失败"
"Verification Successful","验证成功"
"Verification cannot be processed","验证工作无法处理"
"Verified by Visa","Visa 已验证"
