"1.5.0.0 & later","1.5.0.0 & neuer"
"Action","Aktion"
"Add Author","Verfasser hinzufügen"
"Add Contents Path","Inhalte hinzufügen Pfad"
"Add PHP Extension dependency","PHP Erweiterung Abhängigkeit hinzufügen"
"Add Package dependency","Paket Abhängigkeit hinzufügen"
"Add files","Dateien hinzufügen"
"Authors","Verfasser"
"Channel","Kanal"
"Contents","Inhalte"
"Create Extension Package","Erweiterungs-Paket erstellen"
"Dependencies","Abhängigkeiten"
"Description","Beschreibung"
"Edit Extension","Erweiterung bearbeiten"
"Email","E-Mail"
"Extension","Erweiterung"
"Extensions","Erweiterungen"
"Failed to create the package.","Paket konnte nicht erstellt werden."
"Failed to load the package data.","Paketdaten konnten nicht geladen werden."
"Failed to save the package.","Paket konnte nicht gespeichert werden."
"Files","Dateien"
"Folder","Ordner"
"Ignore","Ignorieren"
"Include","Inkludieren"
"License","Lizenz"
"License URI","Lizenz URI"
"Load Local Package","Lokales Paket laden"
"Load local Package","Lokales Paket laden"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Name"
"New Extension","Neue Erweiterung"
"PHP Version","PHP Version"
"Package","Verpackung"
"Package Extensions","Paket-Erweiterungen"
"Package File Name","Paket Datei-Name"
"Package Info","Paket Info"
"Packages","Pakete"
"Path","Pfad"
"Pre-1.5.0.0","früher als 1.5.0.0"
"Release Info","Informationen zur Veröffentlichung"
"Remove","Entfernen"
"Save As...","Speichern als..."
"Save Data and Create Package","Daten speichern und Paket erstellen"
"Save package with custom package file name","Paket speichern mit individueller Bezeichnung der Paketdatei"
"Summary","Zusammenfassung"
"Supported releases","Unterstützte Versionen"
"System","System"
"Target","Ziel"
"The package %s data has been loaded.","Die Paket %s Daten wurden geladen."
"The package data has been saved.","Die Paketdaten wurden gespeichert."
"There was a problem saving package data","Beim Speichern der Paketdaten ist ein Fehler aufgetreten."
"Type","Typ"
"User","Benutzer"
