sku,linked_sku
"WS01","WS02
WS03
WS04
WS06
WS07
WS08
WS10
WS11"
"WS02","WS03
WS04
WS06
WS07
WS10"
"WS03","WS07
WS10"
"WS04","WS07
WS10"
"WS05","WS02
WS03
WS04
WS06
WS07
WS08
WS10
WS11"
"WS06","WS07
WS10"
"WS08","WS02
WS03
WS04
WS06
WS07
WS10
WS11"
"WS09","WS02
WS03
WS04
WS06
WS07
WS08
WS10
WS11"
"WS10","WS07"
"WS11","WS03
WS04
WS06
WS07
WS10"
"WS12","WS01
WS02
WS03
WS04
WS05
WS06
WS07
WS08
WS09
WS10
WS11"
"WP01","WP02
WP03
WP04
WP05
WP06
WP07
WP08
WP09
WP10
WP11
WP12
WP13"
"WP02","WP03
WP04
WP05
WP06
WP07
WP08
WP09
WP10
WP12
WP13"
"WP03","WP04
WP05
WP06
WP09
WP10
WP12
WP13"
"WP06","WP04
WP05
WP12"
"WP07","WP04
WP05
WP06
WP09
WP10
WP12
WP13"
"WP08","WP04
WP05
WP06
WP09
WP10
WP12
WP13"
"WP09","WP04
WP05
WP06
WP12"
"WP10","WP04
WP05
WP06
WP12"
"WP11","WP03
WP04
WP05
WP06
WP07
WP08
WP09
WP10
WP12
WP13"
"WP12","WP04
WP05"
"WP13","WP04
WP05
WP06
WP09
WP10
WP12"
"MS01","MS03
MS04
MS06
MS07
MS08
MS09
MS12"
"MS02","MS03
MS04
MS06
MS07
MS08
MS09
MS12"
"MS03","MS07
MS08
MS09"
"MS04","MS07
MS08
MS09"
"MS05","MS03
MS04
MS06
MS07
MS08
MS09
MS12"
"MS06","MS07
MS08
MS09"
"MS09","MS07
MS08"
"MS10","MS03
MS04
MS06
MS07
MS08
MS09
MS12"
"MS11","MS03
MS04
MS06
MS07
MS08
MS09
MS12"
"MS12","MS07
MS08
MS09"
"MP01","MP02
MP03
MP04
MP05
MP07
MP08
MP09
MP10
MP11
MP12"
"MP02","MP03
MP05
MP07
MP08
MP09
MP10
MP11
MP12"
"MP03","MP05
MP07
MP08
MP09
MP10
MP11"
"MP04","MP02
MP03
MP05
MP07
MP08
MP09
MP10
MP11
MP12"
"MP05","MP07
MP08
MP09
MP10
MP11"
"MP06","MP01
MP02
MP03
MP04
MP05
MP07
MP08
MP09
MP10
MP11
MP12"
"MP07","MP08
MP09
MP11"
"MP09","MP08"
"MP10","MP07
MP08
MP09
MP11"
"MP11","MP08
MP09"
"MP12","MP03
MP05
MP07
MP08
MP09
MP10
MP11"
