sku,linked_sku
"WH01","24-UG06
24-WG084
24-UG02
24-WG083-blue"
"WH02","24-WG080
24-WG085
24-WG084
24-WG083-blue"
"WH03","24-UG05
24-WG085_Group
24-WG083-blue
24-UG06"
"WH04","24-UG02
24-WG087
24-UG06
24-WG082-pink"
"WH05","24-WG081-gray
24-WG087
24-WG082-pink
24-WG080"
"WH06","24-WG083-blue
24-WG080
24-UG02
24-WG082-pink"
"WH07","24-WG084
24-WG081-gray
24-WG086
24-WG087"
"WH08","24-WG083-blue
24-UG01
24-UG03
24-WG086"
"WH09","24-WG087
24-UG04
24-WG085
24-WG082-pink"
"WH10","24-UG01
24-WG083-blue
24-WG087
24-WG080"
"WH11","24-UG03
24-WG081-gray
24-UG01
24-WG085"
"WH12","24-UG06
24-WG085_Group
24-WG088
24-UG05"
"WJ01","24-UG03
24-UG02
24-WG084
24-UG05"
"WJ02","24-UG06
24-UG04
24-WG087
24-WG086"
"WJ03","24-WG087
24-WG085
24-WG086
24-WG082-pink"
"WJ04","24-WG085
24-WG082-pink
24-WG087
24-WG083-blue"
"WJ05","24-UG06
24-WG087
24-UG04
24-WG084"
"WJ06","24-UG07
24-UG06
24-WG087
24-UG01"
"WJ07","24-UG06
24-WG085_Group
24-UG05
24-WG088"
"WJ08","24-UG04
24-WG083-blue
24-WG086
24-UG02"
"WJ09","24-WG084
24-WG085_Group
24-WG081-gray
24-WG088"
"WJ10","24-UG05
24-UG03
24-UG07
24-WG088"
"WJ11","24-UG02
24-UG05
24-WG087
24-WG081-gray"
"WJ12","24-UG02
24-WG088
24-WG084
24-WG085_Group"
"WS01","24-WG088
24-WG085_Group
24-UG03
24-WG082-pink"
"WS02","24-WG082-pink
24-WG084
24-UG07
24-UG05"
"WS03","24-WG085
24-WG083-blue
24-WG081-gray
24-WG085_Group"
"WS04","24-UG02
24-UG06
24-WG087
24-WG082-pink"
"WS05","24-WG087
24-WG084
24-UG04
24-UG07"
"WS06","24-WG080
24-UG06
24-WG082-pink
24-UG01"
"WS07","24-WG088
24-WG081-gray
24-UG04
24-WG083-blue"
