sku,linked_sku
"WH01","WP06
WS02
WS05
WP09"
"WH02","WP10
WS03
WP05
WS04"
"WH03","WP11
WP13
WS02
WS09"
"WH04","WP12
WS09
WS03
WP11"
"WH05","WS11
WS08
WP11
WP09"
"WH06","WP10
WS04
WS10
WP08"
"WH07","WP13
WP07
WS03
WS05"
"WH08","WP10
WS10
WP07
WS02"
"WH09","WP03
WP11
WS10
WS02"
"WH10","WS08
WP05
WS12
WP08"
"WH11","WS01
WP04
WP05
WS04"
"WH12","WP11
WS07
WS10
WP01"
"WJ01","WH05
WH10
WP01
WP03"
"WJ02","WP10
WH07
WP11
WH04"
"WJ03","WH10
WH06
WP04
WP09"
"WJ04","WP07
WH08
WH10
WP13"
"WJ05","WP09
WP04
WH05
WH08"
"WJ06","WP09
WP07
WH03
WH07"
"WJ07","WH07
WP05
WH11
WP10"
"WJ08","WP06
WP13
WH06
WH01"
"WJ09","WP05
WH08
WH07
WP07"
"WJ10","WP04
WP11
WH01
WH04
WH10"
"WJ11","WP09
WH02
WP03
WH08"
"WJ12","WP06
WP02
WH02
WH03"
"WB01","WS11
WS01
WSH04
WSH02"
"WB02","WSH10
WSH04
WS01
WS04"
"WB03","WS07
WS05
WSH10
WSH11"
"WB04","WS02
WSH12
WSH08
WS12"
"WB05","WS07
WS02
WSH04
WSH10"
"WT01","WSH12
WSH01
WS02
WS03"
"WT02","WSH06
WS08
WSH08
WS07"
"WT03","WSH09
WS10
WS08
WSH12"
"WT04","WS11
WSH03
WSH12
WS01"
"WT05","WSH06
WS04
WS02
WSH01"
"WT06","WSH01
WSH03
WS01
WS08"
"WT07","WS03
WSH05
WSH02
WS05"
"WT08","WSH06
WS12
WSH11
WS10"
"WT09","WSH09
WS02
WSH10
WS07"
"WSH01","WT07
WB05
WS09
WS11"
"WSH02","WT05
WT03
WS01
WS06"
"WSH03","WT07
WB04
WS10
WS01"
"WSH04","WB02
WT04
WS09
WS03"
"WSH05","WS06
WS07
WT07
WB01"
"WSH06","WT03
WT04
WB03
WS06"
"WSH07","WB04
WS09
WS05
WT05"
"WSH08","WS09
WS11
WB02
WT06"
"WSH09","WT05
WT03
WS09
WS11"
"WSH10","WT03
WB05
WS12
WS10"
"WSH11","WB02
WT03
WS02
WS12"
"WSH12","WS09
WS03
WT09
WT06"
"MH01","MP06
MP11
MS06
MS12"
"MH02","MP09
MS07
MP08
MS01"
"MH03","MS08
MP07
MS04
MP05"
"MH04","MS05
MS12
MP07
MP08"
"MH05","MS02
MS09
MP04
MP01"
"MH06","MS01
MP11
MS08
MP08"
"MH07","MP02
MP09
MS01
MS08"
"MH08","MS12
MP03
MS01
MP05"
"MH09","MP12
MS03
MS04
MP03"
"MH10","MP04
MS06
MP12
MS04"
"MH11","MS03
MS01
MP07
MP10"
"MH12","MP02
MP08
MS07
MS09"
"MH13","MS11
MP03
MS09
MP11"
"MJ01","MP11
MP05
MH04
MH11"
"MJ02","MH10
MH05
MP06
MP03"
"MJ03","MH10
MP11
MH09
MP07"
"MJ04","MP12
MH11
MH02
MP08"
"MJ06","MH06
MP07
MH13
MP09"
"MJ07","MP10
MP06
MH08
MH03"
"MJ08","MP10
MH12
MP09
MH09"
"MJ09","MP09
MH11
MP10
MH06"
"MJ10","MP01
MP09
MH02
MH04"
"MJ11","MP01
MP12
MH12
MH08"
"MJ12","MH09
MH01
MP03
MP05"
"MT01","MSH03
MS09
MSH11
MS10"
"MT02","MSH07
MS07
MS03
MSH09"
"MT03","MS08
MS12
MSH11
MSH12"
"MT04","MS12
MSH03
MS01
MSH09"
"MT05","MS09
MS10
MSH07
MSH02"
"MT06","MS04
MS10
MSH10
MSH05"
"MT07","MSH02
MSH12
MS12
MS04"
"MT08","MSH12
MS12
MS08
MSH11"
"MT09","MS08
MS07
MSH08
MSH03"
"MT10","MS06
MS01
MSH01
MSH07"
"MT11","MS05
MSH12
MS09
MSH08"
"MT12","MS07
MS10
MSH11
MSH07"
"MSH01","MT02
MT04
MS04
MS09"
"MSH02","MT05
MT02
MS03
MS09"
"MSH03","MS10
MS12
MT03
MT08"
"MSH04","MS03
MT05
MT10
MS06"
"MSH05","MS03
MS12
MT06
MT05"
"MSH06","MT06
MS10
MS07
MT03"
"MSH07","MT03
MS06
MT08
MS04"
"MSH08","MT12
MS02
MS10
MT02"
"MSH09","MT11
MS10
MT07
MS08"
"MSH10","MT03
MS04
MS11
MT12"
"MSH11","MS02
MT04
MT08
MS06"
"MSH12","MS04
MT06
MT05
MS06"
