" or ","ou"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","""%s"" semble être un nom de DNS, mais il est impossible d'en extraire TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' semble être un nom de DNS, mais il est impossible de trouver une correspondance dans la liste TLD"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' semble être un nom de DNS, mais impossible de trouver une correspondance avec le schéma TLD"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' semble être un nom de DNS, mais contient un / à un emplacement invalide."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' semble être un nom de DNS mais la notation ne peut être décodée"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' semble être le nom d'un réseau local, mais les noms de réseaux locaux ne sont pas autorisés."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' semble être une adresse IP, mais les adresses IP ne sont pas autorisées."
"'%value%' does not appear to be a valid local network name","'%value%' ne semble pas être un nom de réseau local valide"
"* Required Fields","* Champs obligatoires"
"ALL GROUPS","TOUS LES GROUPES"
"Account Dashboard","Espace de travail du compte"
"Account Information","Informations du compte"
"Account Sharing Options","Options de partage du compte"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirmation du compte requise. Veuillez vérifier vos emails pour le lien de confirmation. Pour renvoyer l'email de confirmation, veuillez <a href=""%s"">cliquer ici</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Confirmation du compte requise. Veuillez vérifier vos emails pour le lien de confirmation. Pour renvoyer l'email de confirmation, veuillez <a href=""%s"">cliquer ici</a>."
"Action","Action"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Customer","Ajouter un nouvel utilisateur"
"Add New Customer Group","Ajouter un nouveau groupe d'utilisateurs"
"Added From","Ajouté depuis"
"Additional Address Entries","Adresses supplémentaires"
"Address","Adresse"
"Address Book","Carnet d'adresses"
"Address Books","Carnets d'adresses"
"Address Information","Informations de l'adresse"
"Address Templates","Modèles d'adresses"
"Addresses","Adresses"
"Admin","Admin"
"All","Tous"
"All Store Views","Toutes les vues de la boutique"
"All countries","Tous les pays"
"Always optional.","Toujours optionnel"
"Amount","Montant"
"An error occurred while deleting the address.","Une erreur est survenue lors de la suppression de l'adresse."
"An error occurred while retrieving the option value: %s.","Une erreur est survenue lors de la récupération de la valeur de l'option : %s."
"An error occurred while saving the collection, aborting. Error: %s","Une erreur est survenue lors de l'enregistrement de la collection, annulation. Erreur : %s."
"An invalid option ID is specified for %s (%s), skipping the record.","Un identifiant d'option invalide est spécifié pour %s (%s), ignorer."
"Approved","Approuvé"
"Are you sure that you want to remove this item?","Etes-vous sûr de vouloir supprimer cet objet ?"
"Are you sure you want to cancel adding of this address?","Etes-vous sûr de vouloir annuler l'ajout de cette adresse ?"
"Are you sure you want to delete this address?","Etes-vous sûr de vouloir supprimer cette adresse ?"
"Are you sure?","Etes-vous sûr ?"
"Array of Entity collections is expected.","Un tableau des entités de collections est attendu."
"Assign a Customer Group","Assigner un nouveau groupe d'utilisateurs"
"Average Sale","Vente moyenne"
"Back","Retour"
"Back - link to the previously viewed page","Retour - lien vers la page visionnée précédemment"
"Back to Login","Retour à la connexion"
"Bad request.","Requête invalide."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","D'après le numéro de TVA, le client appartiendrait au Groupe de clients %s."
"Bill to Name","Facture au nom"
"Bought From","Acheté à"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte avec notre boutique, vous serez capable de procéder aux achats plus rapidement, d'ajouter plusieurs adresses d'expédition, de voir et suivre vos commandes sur votre compte et plus encore."
"CSV","CSV"
"Cancel","Annuler"
"Cannot save a new password.","Impossible d'enregistrer un nouveau mot de passe."
"Cannot save address.","Impossible d'enregistrer l'adresse."
"Cannot save the customer.","Impossible d'enregistrer le client."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Impossible de partager les comptes des clients globalement car certains comptes avec les mêmes adresses e-mail existent sur plusieurs sites Web et ne peuvent pas être fusionnés."
"Change Account Password","Modifier le mot de passe du compte"
"Change Billing Address","Changer l'adresse de facturation"
"Change Password","Modifier le mot de passe"
