"--Please Select--","--selecteer a.u.b.--"
"API Login ID","API login ID"
"Accepted Currency","Geaccepteerde valuta"
"Authorize.net Direct Post","Authorize.net directe post"
"Card Verification Number","Kaart verificatie nummer"
"Card Verification Number Visual Reference","Kaart verificatie nummer visuele referentie"
"Close","sluiten"
"Credit Card Information","Creditcard informatie"
"Credit Card Number","Creditcardnummer"
"Credit Card Type","Creditcardtype"
"Credit Card Types","Creditcardtypes"
"Credit Card Verification","Creditcard verificatie"
"Debug","Debug"
"Email Customer","email klant"
"Enabled","Werkzaam gemaakt"
"Expiration Date","vervaldatum"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximale bestellingstotalen"
"Merchant MD5","Verkoper MD5"
"Merchant's Email","Verkoper's email"
"Minimum Order Total","Minimale bestellingstotalen"
"New Order Status","Nieuwe bestellingsstatus"
"Order saving error: %s","Bestelling opslaan fout: %s"
"Payment Action","Betalingsactie"
"Payment authorization error.","Betalingsautorisatie fout."
"Payment authorization error. Transacion id is empty.","Betalings autorisatie fout. Transactie ID is leeg."
"Payment error. Order was not found.","Betalingsfout. Bestelling is niet gevonden."
"Payment error. Paid amount doesn\'t match the order amount.","Betalingsfout. Betaalde bedrag is niet hetzelfde als bedrag van bestelling."
"Payment from Applicable Countries","Betaling vanuit toegestane landen"
"Payment from Specific Countries","Betaling vanuit specifieke landen"
"Please, choose payment method","Kies a.u.b. de verzendmethode"
"Response hash validation failed. Transaction declined.","Antwoord op hash validatie mislukt. Transactie geweigerd."
"Sort Order","Sorteer Bestelling"
"Test Mode","Testmode"
"The order has been created.","De bestelling is aangemaakt"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij het verwerken van uw bestelling. Contacteer ons a.u.b. of probeert u het later nog eens."
"Title","Titel"
"Transaction Key","Transactiesleutel"
"What is this?","Wat is dit?"
"You will be required to enter your payment details before you place an order.","U zult uw betalingsgegevens moeten invullen alvorens u een bestelling kunt plaatsen."
