"Actions","Action"
"Add Answer","Ajouter une Réponse"
"Add New Answer","Ajouter une Nouvelle Réponse"
"Add New Poll","Ajouter un Nouveau Sondage"
"Answer Title","Titre de la Réponse"
"Answer Title:","Titre de la Réponse:"
"Answer with the same title in this poll","Répondre à ce sondage avec le même titre"
"Are you sure you want to delete it?","Êtes-vous sûr(e) de vouloir le supprimer?"
"Assigned Answers","Réponses Attribuées"
"Closed","Clos"
"Community Poll","Sondage Communautaire"
"Date Closed","Date de Clôture"
"Date Posted","Date de Publication"
"Delete","Supprimer"
"Delete Answer","Supprimer la Réponse"
"Delete Poll","Supprimer le Sondage"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Interdire les Votes Multiples dans un Sondage depuis la Même adresse IP"
"Edit Answer '%s'","Modifier la Réponse '%s'"
"Edit Poll '%s'","Modifier le Sondage '%s'"
"Edit Poll Answer","Modifier la Réponse au Sondage"
"ID","ID"
"Invalid Answer.","Réponse Invalide."
"New Poll","Nouveau Sondage"
"Number of Responses","Nombre de Réponses"
"Open","Ouvert"
"Poll Answers","Réponses au Sondage"
"Poll Information","Informations sur le Sondage"
"Poll Manager","Gestionnaire de Sondage"
"Poll Question","Question du Sondage"
"Poll information","Informations du sondage"
"Poll with the same question","Sondage avec la même question"
"Polls","Sondages"
"Save Answer","Sauver la Réponse"
"Save Poll","Sauver le Sondage"
"Status","Statut"
"The answer has been saved.","La réponse a été sauvée."
"The poll does not exist.","Le sondage n'existe pas."
"Unable to find an answer to delete.","Impossible de trouver une réponse à supprimer"
"Visible In","Visible dans"
"Vote","Voter"
"Votes Count","Nombre de Votes"
"Votes Count:","Nombre de Votes:"
