"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"%s was updated in your shopping cart.","%s a été ajouté à votre panier."
"* Required Fields","* Champs obligatoires"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Condition","Ajouter nouvelle condition"
"Add coupon code for shopping cart","Ajouter un code de réduction pour le panier"
"Add gift messages to shopping cart","Ajouter des messages cadeaux au panier"
"Add product to shopping cart","Ajouter un produit au panier"
"Add product(s) to shopping cart","Ajouter des produits au panier"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste de cadeaux"
"Additional Product Info","Informations supplémentaires sur le produit"
"Address","Adresse"
"Address %s of %s","Adresse %s de %s"
"After Adding a Product Redirect to Shopping Cart","Après l'ajout d'un produit, rediriger vers le panier"
"Allow Guest Checkout","Autoriser le paiement invité"
"Already registered?","Déjà enregistré ?"
"An error occurred in the process of payment","Une erreur est survenue lors du paiement"
"An error occurred while deleting this condition.","Une erreur est survenue lors de la suppression de la condition."
"An error occurred while saving this condition.","Une erreur est survenue lors de l'enregistrement de la condition."
"Apply Coupon","Utiliser le coupon"
"Are you sure you would like to remove this item from the shopping cart?","Etes-vous sûr de vouloir supprimer cet objet de votre panier ?"
"Back","Retour"
"Back to Billing Information","Retour vers les informations de facturation"
"Back to Select Addresses","Retour à la sélection des adresses"
"Back to Shipping Information","Retour aux informations d'expédition"
"Back to Shopping Cart","Retour au panier"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, vous serez probablement intéressé par :"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Billing Information - %s","Informations de facturation - %s"
"Cancel Coupon","Annuler le coupon"
"Cannot add item to the shopping cart.","Ne peut pas ajouter d'objets au panier."
"Cannot add the item to shopping cart","Ne peut pas ajouter cet objet au panier."
"Cannot add the item to shopping cart.","Ne peut pas ajouter cet objet au panier."
"Cannot apply the coupon code.","Ne peut pas utiliser le code de réduction."
"Cannot configure product.","N'a pas pu configurer le produit"
"Cannot open the overview page","Ne peut pas ouvrir la page de vue d'ensemble."
"Cannot process the item.","Ne peut pas continuer avec l'objet"
"Cannot remove the item.","Ne peut pas supprimer l'objet."
"Cannot update shopping cart.","Ne peut pas mettre à jour le panier."
"Cannot update the item.","N'a pas pu mettre à jour l'objet"
"Card Verification Number Visual Reference","Numéro de vérification de la carte"
"Cart Product API","API produit"
"Cart Subtotal:","Sous-total du panier"
"Change","Changer"
"Change Billing Address","Changer l'adresse de facturation"
"Checkbox Text","Texte de vérification"
"Checkout","Paiement"
"Checkout Conditions","Conditions de paiement"
"Checkout Method","Méthode de paiement"
"Checkout Options","Options de paiement"
"Checkout Progress Wrapper","Processus de paiement"
"Checkout Section","Section de paiement"
"Checkout Terms and Conditions","Termes et conditions du paiement"
"Checkout as Guest","Payer en tant qu'invité"
"Checkout as a Guest or Register","Payer en tant qu'invité ou s'enregistrer"
"Checkout with Multiple Addresses","Paiement avec des adresses multiples"
"City","Ville"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"">ici pour imprimer</a> une copie de votre confirmation de commande."
"Click <a href=""%s"">here</a> to continue shopping.","Cliquez <a href=""%s"">ici</a> pour continuer vos achats"
"Close","Fermer"
"Company","Société"
"Condition Name","Nom de la condition"
"Configurable Product Image","Image de produit configurable"
"Configure Cart Item","Configurer les objets du panier"
"Confirm Password","Confirmez le mot de passe"
"Content","Contenu"
"Content Height","Hauteur du contenu"
"Content Height (css)","Hauteur du contenu (css)"
"Continue","Continuer"
"Continue Shopping","Continuer les achats"
"Continue to Billing Information","Continuer vers les informations de facturation"
"Continue to Review Your Order","Continuer vers la vérification de la commande"
"Continue to Shipping Information","Continuer vers les informations d'expédition"
"Country","Pays"
"Coupon code ""%s"" is not valid.","Le code de réduction ""%s"" n'est pas valide."
"Coupon code ""%s"" was applied.","Le code de réduction ""%s"" a été appliqué."
"Coupon code was canceled.","Le code de réduction a été annulé."
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse d'expédition"
"Create an order from shopping cart","Créez une commande depuis le panier."
"Create shopping cart","Créer un panier"
"Customer Information","Informations du client"
"Customer's information","Informations du client"
"Data saving problem","Problème d'enregistrement de données"
"Default Billing","Facturation par défaut"
"Default Shipping","Expédition par défaut"
"Delete Condition","Supprimer condition"
"Details","Détails"
"Disabled","Désactivé"
"Discount Codes","Codes de réduction"
"Display Cart Summary","Afficher le résumé du panier"
"Display Shopping Cart Sidebar","Afficher la barre d'outils du panier"
"Display item quantities","Afficher les quantités d'objets"
"Display number of items in cart","Afficher le nombre d'objets dans le panier"
"Display number of items in wishlist","Affiche le nombre d'objets dans la liste des souhaits"
"Easy access to your order history and status","Accès facile à votre historique de commandes et statut"
"Edit","Modifier"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Modifier l'adresse de facturation"
"Edit Items","Modifier l'adresse d'expédition"
"Edit Shipping Address","Modifier l'adresse d'expédition"
"Edit Terms and Conditions","Modifier termes et conditions"
"Edit Your Cart","Modifier votre panier"
"Edit item","Modifier l'objet"
"Edit item parameters","Modifier les paramètres de l'objet"
"Email Address","Adresse email"
"Enable Onepage Checkout","Activer le paiement en une seule page"
"Enable Terms and Conditions","Activer les termes et conditions"
"Enabled","Activé"
"Enter a New Address","Entrer une nouvelle adresse"
"Enter your coupon code if you have one.","Entrez votre code de réduction si vous en avez un."
"Enter your destination to get a shipping estimate.","Entrez votre destination pour obtenir une estimation des frais de port."
"Estimate Shipping and Tax","Estimation du port et des taxes."
"Excl. Tax","Taxe non comprise"
"Fast and easy check out","Paiement rapide et facile."
"Fax","Fax"
"Forgot an Item?","Oublié un objet ?"
"Forgot your password?","Oublié votre mot de passe ?"
"Get a Quote","Obtenir une estimation"
"Get list of available payment methods","Obtenir une liste des méthodes de paiement disponibles"
"Get list of available shipping methods","Obtenir une liste des méthodes d'expédition disponibles"
"Get list of products in shopping cart","Obtenir la liste des produits dans le panier"
