"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Règles de prix du panier basées sur l'attribut ""%s"" ont été désactivées."
"%s Coupon(s) have been generated","%s bon(s) ont été créés"
"Actions","Action"
"Active","Actif"
"Add New Rule","Ajouter nouvelle règle"
"Alphabetical","Alphabétique"
"Alphanumeric","Alphanumérique"
"An error occurred while generating coupons. Please review the log and try again.","Une erreur s'est produite lors de la création des bons. Veuillez examiner le registre et réessayer."
"Apply","Appliquer"
"Apply To","Appliquer à"
"Apply the rule only if the following conditions are met (leave blank for all products)","Appliquer la règle seulement si les conditions suivantes sont respectées (laisser en blanc pour tous les produits)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Appliquer la règle seulement aux articles du panier qui respectent les conditions suivantes (laisser en blanc pour tous les articles)"
"Apply the rule to cart items matching the following conditions","Appliquer la règle aux articles du panier respectant les conditions suivantes"
"Apply to Shipping Amount","Appliquer au montant de la livraison"
"Are you sure you want to delete the selected coupon(s)?","Êtes-vous sûrs de vouloir supprimer le(s) bon(s) sélectionné(s) ?"
"Auto","Automatique"
"Auto Generated Specific Coupon Codes","Codes de bon particuliers créés automatiquement"
"Buy X get Y free (discount amount is Y)","Achetez X et obtenez Y gratuitement (le montant de la remise est Y)"
"By Fixed value","par valeur fixe"
"By Percentage","par pourcentage"
"Can\'t acquire coupon.","ne peut pas obtenir le coupon"
"Cart Attribute","Attribut du panier"
"Catalog","Catalogue"
"Code Format","Format du code"
"Code Length","Longueur du code"
"Code Prefix","Préfixe du code"
"Code Suffix","Suffixe du code"
"Conditions","Conditions"
"Conditions combination","Couplage des conditions"
"Coupon","Coupon"
"Coupon Code","Code coupon"
"Coupon Qty","Quantité de bon"
"Coupon with the same code","Bon avec le même code"
"Coupons Information","Informations des bons"
"Created On","Créé le"
"Customer Groups","Groupes de clients"
"Dash Every X Characters","Supprimer tous les caractères X"
"Date Expire","Date d'expiration"
"Date Start","Date de début"
"Default Label","Emballage par défaut"
"Default Rule Label for All Store Views","Règle d'étiquetage par défaut pour toutes les vues du magasins"
"Description","Description"
"Discount Amount","Montant de la remise"
"Discount Qty Step (Buy X)","Remise Qté Etape (acheter X)"
"Edit Rule","Éditer la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Excluding prefix, suffix and separators.","Exclure les préfixes, suffixes et séparateurs."
"FOUND","TROUVE"
"Fixed amount discount","Montant fixe de la remise"
"Fixed amount discount for whole cart","Montant fixe de la remise pour tout le panier"
"For matching items only","Pour les articles correspondant seulement"
"For shipment with matching items","Pour la livraison avec les articles correspondant"
"Free Shipping","Expédition gratuite"
"From Date","Depuis"
"General Information","Informations générales"
"Generate","Créer"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Si %s %s %s pour une sous-sélection d'objets dans le panier correspondant à %s de ces conditions :"
"If an item is %s in the cart with %s of these conditions true:","Si un objet est %s dans le panier avec %s de ces conditions :"
"If empty no separation.","Pas de séparation si vide."
