"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Rating","Ajouter une note"
"Assigned Options","Options Spécifiques"
"Be the first to review this product","Soyez le premier à évaluer ce produit"
"Default Value","Valeur par Défaut"
"Delete Rating","Supprimer la note"
"Edit Rating","Modifier la note"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Si vous ne spécifiez pas de titre pour votre note dans une boutique, la valeur par défaut sera utilisée."
"Manage Ratings","Gérer les Notes"
"New Rating","Nouvelle note"
"Option Label","Nom de l'option"
"Option Title","Titre de l'option"
"Option Title:","Titre de l'option:"
"Please select one of each ratings above","Veuillez choisir une de chacune des notes au-dessus"
"Rating Information","Informations sur la note"
"Rating Name","Nom de la note"
"Rating Options","Options de la note"
"Rating Title","Titre de la note"
"Rating Visibility","Visiblité de la note"
"Rating isn't Available","Pas de note disponible"
"Rating with the same title","Note portant le même titre"
"Save Rating","Sauver la note"
"Sort Order","Trier la commande"
"Visible In","Visible dans"
