"%s codes deleted","%s codes effacés"
"%s codes imported","%s codes importés"
"%s codes not imported","%s codes non importés"
"%s product in feed.","%s produit en flux."
"%s product not in feed.","%s produit pas en flux."
"Add new","En ajouter un nouveau"
"Attrib. Set Name","Nom établi des attrib."
"Attributes map","Carte des attributs"
"Cron Frequency","Fréquence cron"
"Cron Hour","Heure cron"
"Delete","Supprimer"
"Eav code","Code Eav"
"FTP Password","Mot de passe FTP"
"FTP Path","Chemin d'accès FTP"
"FTP Server","Serveur FTP"
"FTP Settings","Paramètres FTP"
"FTP User","Utilisateur FTP"
"FTP: Can't delete files","FTP : effacement fichiers impossible"
"Feed","Alimentation"
"Feed code","Code d'alimentation"
"ID","ID"
"Import","Importation"
"Import attribute map","Carte des attributs d'importation"
"Import code","Code d'importation"
"In Feed","En flux"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Pour accéder aux informations de votre compte FTP, vous devez tout d'abord vous inscrire et vérifier votre magasin dans TheFind Merchant Center. Cliquez <a href=""https://merchant.thefind.com/mc/claim.fhtml"">ici</a> pour commencer."
"Is imported","Est importé"
"Item params","Paramètres de l'article"
"Manage attributes","Gérer les attributs"
"Manage items","Gérer les articles"
"Not import","Ne pas importer"
"Not publish","Ne pas publier"
"Price","Prix"
"Product Name","Nom du produit"
"Product import","Importation du produit"
"Publish","Publier"
"SKU","UGS"
"Settings","Réglages"
"The Find","The Find"
"TheFind Feed Filename","Nom du fichier TheFind Feed"
"TheFind feed","TheFind feed"
"Type","Type"
"Unable to process an import. ","Impossible de procéder à une importation"
"Update TheFind Item when Product is Updated","Mettre à jour l'article TheFind quand le produit est mis à jour"
