"Actions","Action"
"An error occurred while marking notification as read.","Une erreur est survenue lors du marquage de la notification comme lue."
"An error occurred while marking the messages as read.","Une erreur est survenue lors du marquage du message comme lu."
"An error occurred while removing messages.","Une erreur est survenue lors de la suppression des messages."
"An error occurred while removing the message.","Une erreur est survenue lors de la suppression du message."
"Are you sure?","Etes-vous sûr ?"
"Date Added","Date ajoutée"
"Last Update","Dernière mise à jour"
"Mark as Read","Marquer comme lu"
"Mark as read","Marqué comme lu"
"Message","Message"
"Messages Inbox","Boite de réception"
"Notifications","Notification"
"Please select messages.","Veuillez sélectionner les messages"
"Read Details","Lire les détails"
"Remove","Supprimer"
"Severity","Gravité"
"Show List","Afficher liste"
"Show Toolbar","Afficher toolbar"
"The message has been marked as read.","Le message a été marqué comme lu."
"The message has been removed.","Le message a été supprimé."
"Total of %d record(s) have been marked as read.","Total de %d message(s) ont été marqués comme lus."
"Total of %d record(s) have been removed.","Total de %d message(s) ont été supprimés."
"Unable to proceed. Please, try again.","Impossible de continuer. S'il vous plait, essayez encore."
"Update Frequency","Fréquence de mise à jour"
"Use HTTPS to Get Feed","Utilisez HTTPS pour récupérer le feed"
"critical","critique"
"major","majeur"
"minor","mineur"
"notice","notice"
