"Active","Actif"
"Add Attribute Mapping","Ajouter l'attribut recensement"
"Add New Attribute","Ajouter un nouvel attribut"
"Add to Google Base","Ajouter à la base Google"
"Are you sure?","Etes-vous sûr ?"
"Attribute","Attribut"
"Attribute Set","Ensemble d'attributs"
"Attribute Set and Item Type","Jeu d'attribut et type d'article"
"Attributes","Attributs"
"Attributes Mapping","Attributs recensement"
"Attributes Set","Jeu attributs"
"AuthSub","AuthSub"
"Available Products","Produits disponibles"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","La monnaie de base devrait être fixée à %s pour %s dans les options du système. Sinon, les prix des objets ne seront pas corrects dans Google Base."
"Cannot update Google Base Item for Store '%s'","Impossible de mettre à jour l'article Google Base pour la boutique '%s'  "
"Captcha confirmation error: %s","Confirmation erreur Captcha: %s"
"Captcha has been confirmed.","Captcha a été confirmé."
"Catalog","Catalogue"
"Clicks","Clics"
"ClientLogin","ConnexionClient"
"Confirm","Confirmer"
"Current Mapping will be reloaded. Continue?","Recensement actuel va être rechargé. Continuer?"
"Custom attribute, no mapping","Attribut sur mesure, pas de recensement"
"Delete","Supprimer"
"Delete Mapping","Effacer recensement"
"Edit Item Type","Modifier type d'article"
"Edit Item Type ""%s""","Modifier le type d'objet ""%s"""
"Error: %s","Erreur: %s"
"Expires","Expire"
"Google","Google"
"Google Base","Base Google"
"Google Base Attribute","Attribut base Google"
"Google Base ID","Identification base Google"
"Google Base Item Type","Type d'article base Google"
"Google Base Item type","Type d'objet Google Base"
"Google Base Items","Articles base Google"
"Google base","Google base"
"Hide","Cacher"
"Hosted","Hébergé"
"Hosted or Google","Hébergé ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modèle de produit invalide pour article de base Google"
"Item Type was deleted","Type d'article a été effacé"
"Item Types","Types d'article"
"Item model is not specified to delete Google Base entry.","Modèle d'article n'est pas spécifié pour effacer entrée base Google."
"Items","Articles"
"Manage Attribute Mapping","Gérer recensement attribut"
"Manage Attributes","Gérer attributs"
"Manage Items","Gérer articles"
"New Item Type","Type de nouvel article"
"New ItemType","Type de nouvel article"
"No","Non"
"No items were deleted from Google Base","Aucun article n'a été effacé de la base Google"
"No items were published","Aucun article n'a été publié"
"No items were saved as inactive items","Aucun article n'a été sauvegardé comme articles inactifs"
"No products were added to Google Base","Aucun produits n'ont été ajoutés à la base Google"
"Object model is not specified to save Google Base entry.","Modèle d'objet n'est pas spécifié pour sauver entrée base Google."
"Please, select Attribute Set and Google Item Type to load attributes","S'il vous plaît, sélectionnez le jeu d'attribut et le type d'article Google pour charger les attributs"
"Product Name","Nom produit"
"Publish","Publier"
"Published","Publié"
"Remove","Supprimer"
"Save Mapping","Sauvegarder recensement"
"Session expired during export. Please revise exported products and repeat the process if necessary.","La session a expirée pendant l'export. Veuillez revoir les produits exportés et répéter le processus si nécessaire."
"Synchronize","Synchroniser"
"Target Country","Pays cible"
"The item type has been saved.","Le type d'article a été sauvegardé."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Cette action va mettre à jour les statistiques d'articles et enlever les articles qui ne sont pas disponibles dans la base Google. Continuer?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Un total de %d article()s a été effacé; un total de %d article(s) a été mis à jour."
"Total of %d items(s) have been published.","Un total de %d article(s) a été publié."
"Total of %d items(s) have been removed from Google Base.","Un total de %d article(s) ont été effacés de la base Google."
"Total of %d items(s) have been saved as inactive items.","Un total de %d article(s) a été sauvegardé comme articles inactifs."
"Total of %d product(s) have been added to Google Base.","Un total de %d produit(s) a été ajouté à la base Google."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Ne peut connecter à la base Google. Veuillez vérifier les paramètres du compte dans la configuration."
"Unable to select a Store View.","Ne peut sélectionner une vue de boutique."
"View Available Products","Voir les produits disponibles"
"View Item in Google Base","Voir l'article dans la base Google"
"Yes","oui"
