"Access denied.","Accès refusé."
"Client Session Timeout (sec.)","Expiration de la session client (secondes)"
"Default Response Charset","Table de caractères de la réponse par défaut"
"Email","Email"
"General Settings","Réglages généraux"
"Invalid webservice adapter specified.","Adaptateur de service web invalide."
"Invalid webservice handler specified.","Gérant de service web invalide."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Section"
"Roles","Rôles"
"Unable to login.","Connexion impossible."
"User Name","Nom d'utilisateur"
"Users","Utilisateurs"
"WS-I Compliance","Conforme à WS-I"
"Web Services","Services Web"
"Your account has been deactivated.","Votre compte a été désactivé."
