"%s is available for purchase in increments of %s only.","%s est disponible pour achat par incréments de %s seulement."
"%s is not a correct comparsion method.","%s n'est pas une méthode de comparaison correcte."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Notez</strong> que ces paramètres sont applicables aux articles de lignes du caddy, non pas au caddy tout entier."
"Add Minimum Qty","Ajoutez une Qté minimum"
"Allow Qty Below 0","Permettre une quantité inférieure à 0"
"Allow Qty Below 0 and Notify Customer","Ajouter Qté inférieure à 0 et avertir le client"
"Automatically Return Credit Memo Item to Stock","Retournez automatiquement un article d'Avoir dans le stock"
"Backorders","Commandes en rupture de stock"
"By Fixed value","Par valeur fixée"
"By Percentage","Par pourcentage"
"Cannot specify product identifier for the order item.","Ne peut spécifier l'identifiant du produit pour l'article de la commande."
"Catalog Inventory","Inventaire de catalogue"
"Decrease Stock When Order is Placed","Diminuer le stock quand la commande est passée"
"Enable Qty Increments","Activer incréments de la Qté"
"In Stock","En stock"
"Index Product Stock Status","Indexe état du stock de produit"
"Inventory","Inventaire"
"Inventory API","Inventaire API"
"Inventory Section","Section de l'inventaire"
"Manage Stock","Gérer le stock"
"Maximum Qty Allowed in Shopping Cart","Qté maximum permise dans le caddy"
"Minimum Qty","Qté minimum"
"Minimum Qty Allowed in Shopping Cart","Qté minimum permise dans le caddy"
"No Backorders","Pas de commande en rupture de stock"
"Not all products are available in the requested quantity","Tous les produits ne sont pas disponibles dans la quantité requise"
"Notify for Quantity Below","Avertir pour quantité ci-dessous"
"Only X left Threshold","Seul X a quitté le seuil"
"Out of Stock","Pas en stock"
"Product Stock Options","Options du stock de produit"
"Qty Increments","Incréments de quantité"
"Qty for Item\'s Status to Become Out of Stock","Qté pour état des articles pour devenir Pas en stock"
"Retrieve stock data","Extrait données de stock"
"Retrieve stock data by product ids","Extrait données de stock par identifiants produit"
"Rule price","Dirige prix"
"Set Items' Status to be In Stock When Order is Cancelled","Met l'état de l'article comme étant en stock lorsque la commande est annulée"
"Some of the products cannot be ordered in the requested quantity.","Certains des produits ne peuvent être commandés dans la quantité requise."
"Stock Options","Options de stock"
"Stock Status","État de stock"
"The stock item for Product in option is not valid.","L'article de stock pour produit en option n'est pas valide."
"The stock item for Product is not valid.","L'article de stock pour produit n'est pas valide."
"This product is available for purchase in increments of %s only.","Le produit est disponible pour achat seulement en incréments de %s."
"To Fixed Value","A valeur fixée"
"To Percentage","Au pourcentage"
"Undefined product type.","Type de produit indéfini."
"Update","Mise à jour"
"Update product stock data","Mise à jour des données du stock de produit"
"Update the Product","Mise à jour produit"
