"-- Please Select --","-- Veuillez sélectionner --"
"Account Registration","Créer un compte"
"All fields of script types have to be filled.","Tous les champs du script doivent être remplis."
"Attributes","Attributs"
"Category View Optimization","Optimisation de la vue par catégories"
"Control Script","Script de contrôle"
"Conversion Page","Page de conversion"
"Conversion Page URL","URL de la page de conversion"
"Conversion Script","Script de conversion"
"Enable","Activer"
"Google Optimizer Scripts","Scripts d'optimisation de Google"
"Google Website Optimizer","Optimisation de sites web Google"
"Install Scripts","Installer les scripts"
"Multi Address Checkout","Vérification des adresses"
"One Page Checkout","Vérification une page"
"Order Success (Multi Address Checkout)","Commande réalisée avec succès"
"Order Success (One Page Checkout)","Commande réalisée avec succès"
"Original Page","Page originale"
"Other","Autre"
"Page Type","Type de page"
"Page View Optimization","Optimisation de la vue par page"
"Please copy and paste this value to experiment edit form","Veuillez copier puis coller cette valeur pour tester le formulaire d'édition"
"Please copy and paste this value to experiment edit form.","Veuillez copier puis coller cette valeur pour tester le formulaire d'édition"
"Please select store view to see the URL","Veuillez sélectionner la vue boutique pour voir l'URL"
"Please select store view to see the URL.","Veuillez sélectionner la vue boutique pour voir l'URL."
"Product View Optimization","Optimisation de la vue par produit"
"Scripts Install URL","URL de l'installation des scripts"
"Shopping Cart","Panier"
"The limit is 8 attributes only.","La limite est de 8 attributs."
"Tracking Script","Script de suivi"
"Use Default","Utiliser par défaut."
"Use Default Values","Utiliser les valeurs par défaut"
"Variant Page","Page des variantes."
