Back,Volver
Price,Precio
SKU,SKU
Qty,Qty
"Excl. Tax","Impuestos no incluidos"
Total,Total
"Incl. Tax","Impuestos incluidos"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Move to Wishlist"
File,Fichero
"Edit item parameters","Editar parámetros del artículo"
Edit,Editar
"Remove item","Remove item"
"All Files","All Files"
[GLOBAL],[GLOBAL]
"[STORE VIEW]","[STORE VIEW]"
Delete,Eliminar
Status,Estado
"Sort Order","Ordenar Pedido"
Title,Título
"Browse Files...","Browse Files..."
"Use Default Value","Usar Valor por Defecto"
Ordered,Pedido
Invoiced,Facturado
Shipped,Enviado
Refunded,Reembolsado
Canceled,Cancelado
From:,Desde:
To:,A:
Availability,Availability
"In stock","En stock"
"Out of stock",Agotado
"Gift Message","Mensaje de Regalo"
Message:,Mensaje:
"Add New Row","Agregar nueva fila"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"What's this?","¿Qué es esto?"
"Unit Price Excl. Tax","Unit Price Excl. Tax"
"Unit Price Incl. Tax","Unit Price Incl. Tax"
"Subtotal Excl. Tax","Subtotal Excl. Tax"
"Subtotal Incl. Tax","Subtotal Incl. Tax"
"Order #","Order #"
Date,Fecha
"Upload Files","Upload Files"
"Downloadable Information","Información Descargable"
Samples,Samples
Links,Links
Unlimited,Ilimitado
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products","Mis Productos Descargables"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"We can't find the link you requested.","We can't find the link you requested."
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Please log in to download your product or purchase <a href=""%1"">%2</a>."
"Please log in to download your product.","Por favor, entre en el sistema para descargar su producto."
"The link has expired.","El enlace ha caducado."
"The link is not available.","En enlace no está disponible."
"Please set resource file and link type.","Por favor, asigne el fichero de recurso y el tipo de enlace."
"Invalid download link type.","Tipo de enlace de descarga no válido."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Order id cannot be null","El ID del pedido no puede ser nulo"
"Order item id cannot be null","El ID del artículo del pedido no puede ser nulo"
"Please specify product link(s).","Por favor, especifique el(los) enlace(s) de producto."
attachment,"documento adjunto"
inline,"en línea"
Pending,Pendiente
sample,muestra
"Links can be purchased separately","Los enlaces pueden adquirirse por separado"
"Max. Downloads","Máximo de Descargas"
Shareable,"Se puede compartir"
Sample,muestra
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Se recomiendan los caracteres alfanuméricos, guión y guión bajo para los nombres de fichero. Los caracteres incorrectos se reemplazarán con '_'."
U,U
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Remaining Downloads","Descargas Pendientes"
"View Order","Ver Pedido"
"Start Download","Comenzar la Descarga"
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún producto descargable."
download,descarga
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
