Add,添加
"Add New Row",添加新行
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","建议对文件名使用字母、横线，以及下划线字符。错误的字符将被使用 '_'替换。"
Availability:,可用性：
Back,返回
Canceled,已取消
Date,日期
Delete,删除
"Downloadable Information",可下载的信息
Edit,编辑
"Edit item parameters",编辑条目参数
"Excl. Tax",不含税
File,文件
From:,来自：
"Gift Message",礼品消息
"Go to <a href=""%1"">My Downloadable Products</a>","转到 <a href=""%1"">我的可下载产品</a>"
"In stock",现货
"Incl. Tax",含税
"Invalid download link type.",无效的下载链接类型。
Invoiced,已出发票
"Links can be purchased separately",链接可单独购买
List,列表
"Max. Downloads",最大下载数
Message:,信息：
Move,移动
"My Downloadable Products",我的可下载产品
Order,"订单 #"
"Order id cannot be null",订单编号不能为空
"Order item id cannot be null","订购物品 id 不能为空"
Ordered,已下单
"Out of stock",缺货
Pending,挂起
"Please correct the download URL host.",请纠正下载URL主机名。
"Please correct the download URL scheme.",请纠正下载URL。
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","请登录以下载您的产品或购买 <a href=""%1"">%2</a>。"
"Please log in to download your product.",请登录以下载您的产品
"Please set resource file and link type.",请设置资源类型与链接类型。
"Please specify product link(s).",请指定产品链接。
Price,价格
Quantity,数量
Refunded,已存储
"Remaining Downloads",剩余下载
Remove,删除
"Remove Item",删除条目
SKU,SKU
Sample,范例
"See price before order confirmation.",确认订单前显示价格。
Shareable,可分享
Shipped,已发货
"Something went wrong connecting to the host. Error: %1.","连接主机时发生错误： %1。"
"Something went wrong while getting the requested content.",当获取请求内容时发生错误。
"Something went wrong while saving the file(s).",当存储文件时发生错误。
"Sorry, there was an error getting requested content. Please contact the store owner.","很抱歉， 获取请求内容时发生错误。 请联系店主。"
"Sort Order",排序顺序
"Start Download",开始下载
Status,状态
"The link has expired.",该链接已过期。
"The link is not available.",该链接不可用。
Title,标题
To:,至：
U,U
Unlimited,无限
"Use Default Value",使用默认值
"View Order",查看订单
"What's this?",这是什么？
"You have not purchased any downloadable products.",你还没有购买任何可下载产品。
attachment,附件
download,下载
inline,内联
sample,示例
"Default Link Title",默认链接标题
"Default Maximum Number of Downloads",下载数量默认最大值
"Default Sample Title",默认范例标题
"Disable Guest Checkout if Cart Contains Downloadable Items",如果购物车包含可下载内容，则禁止来宾结账
"Downloadable Product Options",可下载产品选项
"Open Links in New Window",在新窗口打开链接
"Order Item Status to Enable Downloads",订单条目状态为允许下载
"Use Content-Disposition",用户内容描述
