"Add","追加"
"Add New Row","新しい行の追加"
"Add links and samples to downloadable product","ダウンロード商品にリンクとサンプルを追加する"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","半角英数字、ハイフン、アンダーバーがファイル名に使用する文字として推奨されます。不正な文字は '_' に置き換えられます。"
"An error occurred while getting requested content. Please contact the store owner.","要求されたコンテンツの受信中にエラーが発生しました。店舗運営者に連絡してください。"
"An error occurred while getting the requested content.","要求されたコンテンツの受信中にエラーが発生しました。"
"An error occurred while getting the requested content. Please contact the store owner.","要求されたコンテンツの受信中にエラーが発生しました。店舗運営者に連絡してください。"
"An error occurred while saving the file(s).","ファイル保存中にエラーが発生しました。"
"Availability:","在庫状況:"
"Back","戻る"
"Canceled","キャンセル済"
"Cannot connect to remote host, error: %s.","リモートホストに接続できません。エラー内容は: %s です。"
"Catalog Product View (Downloadable)","商品詳細画面 (ダウンロード)"
"Category API","カテゴリAPI"
"Customer My Account Downloadable Items","マイページダウンロード商品"
"Date","日付"
"Default Link Title","標準リンクタイトル"
"Default Maximum Number of Downloads","ダウンロードの初期最大数"
"Default Sample Title","標準サンプルタイトル"
"Delete","削除"
"Disable Guest Checkout if Cart Contains Downloadable Items","ダウンロード商品がカートにある場合はゲスト購入を無効にする"
"Downloadable Information","ダウンロード情報"
"Downloadable Product","ダウンロード商品"
"Downloadable Product Options","ダウンロード商品オプション"
"Downloadable Product Section","ダウンロード商品セクション"
"Edit","編集"
"Edit item parameters","商品パラメータを編集"
"Excl. Tax","税別"
"File","ファイル"
"From:","開始:"
"Gift Message","ギフトメッセージ"
"Go to <a href=""%s"">My Downloadable Products</a>","<a href=""%s"">ダウンロード商品</a>に移動"
"Guest checkout will only work with shareable.","ゲスト購入は共有できる形でしか動作しません。"
"In stock","在庫あり"
"Incl. Tax","税込"
"Invalid download URL host.","不正なダウンロードURLです。"
"Invalid download URL scheme.","不正なダウンロードURLです。"
"Invalid download link type.","不正なダウンロードリンクです。"
"Invoiced","請求済"
"Links can be purchased separately","リンクは個別に購入可能"
"List","リスト"
"Max. Downloads","最大ダウンロード"
"Message:","メッセージ:"
"Move","移動"
"My Downloadable Products","ダウンロード可能な商品"
"Open Links in New Window","新しいウインドウでリンクを開く"
"Order #","ご注文番号 "
"Order Item Status to Enable Downloads","ダウンロード可能になる注文ステータス"
"Order id cannot be null","注文IDにnullは使用できません"
"Order item id cannot be null","商品IDにnullは使用できません"
"Ordered","注文済"
"Out of stock","在庫切れ"
"Pending","処理待ち"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","ご購入いただいた商品をダウンロードするにはログインしてください <a href=""%s"">%s</a>."
"Please log in to download your product.","ログインした上で商品をダウンロードしてください。"
"Please set resource file and link type.","ファイルとリンク形式をセットしてください。"
"Please specify product link(s).","商品リンクを指定してください。"
"Price","価格"
"Product downloadable links","商品ダウンロードリンク"
"Qty","個数"
"Refunded","返金"
"Remaining Downloads","残りのダウンロード"
"Remove","削除"
"Remove Item","商品を削除"
"Remove links and samples from downloadable product","ダウンロード商品からリンクとサンプルを削除する"
"Requested link does not exist.","要求されたリンクは存在しません。"
"Retrieve links and samples list from downloadable product","ダウンロード商品からリンクとサンプルのリストを取得"
"Sample","サンプル"
"See price before order confirmation.","注文確定前に価格を表示する。"
"Shareable","共有可能"
"Shipped","荷送り人"
"Sort Order","並び順"
"Start Download","ダウンロード開始"
"Status","状態"
"The file does not exist.","ファイルがありません。"
"The link has expired.","リンクは有効期限切れです。"
"The link is not available.","リンクは利用できません。"
"There are files that were selected but not uploaded yet. Please upload or remove them first","選択されたファイルはまだアップロードされていません。アップロードするか、先に削除してください。"
"Title","タイトル"
"To:","終了:"
"U","U"
"Unlimited","無制限"
"Use Content-Disposition","Content-Dispositionを使用する"
"Use Default Value","標準の値を使用"
"View Order","表示順序"
"What's this?","これは何ですか？"
"You have not purchased any downloadable products yet.","まだダウンロード商品をご購入いただいていません。"
"attachment","添付ファイル"
"download","ダウンロード"
"inline","インライン"
"sample","サンプル"
