Back,Voltar
Price,Preço
SKU,SKU
Qty,Qty
"Excl. Tax","Excluir taxas"
Total,Total
"Incl. Tax","Incluir taxas"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Move to Wishlist"
File,Arquivo
"Edit item parameters","Editar parâmetros de item"
Edit,Editar
"Remove item","Remove item"
"All Files","All Files"
[GLOBAL],[GLOBAL]
"[STORE VIEW]","[STORE VIEW]"
Delete,Excluir
Status,Status
"Sort Order","Classificar pedido"
Title,Título
"Browse Files...","Browse Files..."
"Use Default Value","Utilizar valor padrão"
Ordered,Solicitado
Invoiced,Faturado
Shipped,Enviado
Refunded,Reembolsado
Canceled,Cancelado
From:,De:
To:,Para:
Availability,Availability
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Gift Message","Mensagem de presente"
Message:,Mensagem:
"Add New Row","Adicionar Nova Linha"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"What's this?","O que é isso?"
"Unit Price Excl. Tax","Unit Price Excl. Tax"
"Unit Price Incl. Tax","Unit Price Incl. Tax"
"Subtotal Excl. Tax","Subtotal Excl. Tax"
"Subtotal Incl. Tax","Subtotal Incl. Tax"
"Order #","Order #"
Date,Data
"Upload Files","Upload Files"
"Downloadable Information","Informação Transferível"
Samples,Samples
Links,Links
Unlimited,Ilimitado
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products","Meus Produtos Disponíveis para Download"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"We can't find the link you requested.","We can't find the link you requested."
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Please log in to download your product or purchase <a href=""%1"">%2</a>."
"Please log in to download your product.","Por favor, efetue login para fazer o download de seu produto."
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"Please set resource file and link type.","Por favor, estabeleça arquivo de pesquisa e tipo de link."
"Invalid download link type.","Tipo de link inválido para download."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Order id cannot be null","Identificação de solicitação não pode ser nula"
"Order item id cannot be null","Identificação de solicitação de item não pode ser nula"
"Please specify product link(s).","Por favor, especifique link(s) do produto."
attachment,anexo
inline,"em linha"
Pending,Pendente
sample,exemplo
"Links can be purchased separately","Os links podem ser comprados separadamente"
"Max. Downloads","Máx. de Downloads"
Shareable,Compartilhável
Sample,Amostra
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Caracteres alfanuméricos, traço e sublinhado são recomendados para nomes de arquivos. Caracteres impróprios são substituídos por '_'."
U,U
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Remaining Downloads","Downloads restantes"
"View Order","Ver Solicitação"
"Start Download","Começar Download"
"You have not purchased any downloadable products yet.","Você ainda não comprou nenhum produto para baixar."
download,baixar
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
