Back,Retour
Price,Prix
SKU,SKU
Qty,Qty
"Excl. Tax","Taxe non comprise"
Total,Total
"Incl. Tax","Taxe comprise"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Move to Wishlist"
File,Fichier
"Edit item parameters","Modifier les paramètres de l'objet"
Edit,Éditer
"Remove item","Remove item"
"All Files","All Files"
[GLOBAL],[GLOBAL]
"[STORE VIEW]","[STORE VIEW]"
Delete,Supprimer
Status,Statut
"Sort Order","Trier les widgets"
Title,Titre
"Browse Files...","Browse Files..."
"Use Default Value","Utiliser la valeur par défaut"
Ordered,Commandé
Invoiced,Facturé
Shipped,Envoyé
Refunded,Remboursé
Canceled,Annulé
From:,"De :"
To:,"A :"
Availability,Availability
"In stock","En stock."
"Out of stock",Épuisé
"Gift Message","Message cadeau"
Message:,"Message :"
"Add New Row","Ajouter nouvelle ligne"
"See price before order confirmation.","Voir le prix avant la confirmation de commande."
"What's this?","Qu'est-ce ?"
"Unit Price Excl. Tax","Unit Price Excl. Tax"
"Unit Price Incl. Tax","Unit Price Incl. Tax"
"Subtotal Excl. Tax","Subtotal Excl. Tax"
"Subtotal Incl. Tax","Subtotal Incl. Tax"
"Order #","Order #"
Date,Date
"Upload Files","Upload Files"
"Downloadable Information","Information téléchargeables"
Samples,Samples
Links,Links
Unlimited,Illimité
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products","Mes produits téléchargeables"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"We can't find the link you requested.","We can't find the link you requested."
"Please log in to download your product or purchase <a href=""%1"">%2</a>.","Please log in to download your product or purchase <a href=""%1"">%2</a>."
"Please log in to download your product.","Identifiez-vous pour télécharger votre produit."
"The link has expired.","Le lien a expiré."
"The link is not available.","Le lien n'est pas disponible."
"Please set resource file and link type.","Choisissez un fichier ressource et un type de lien."
"Invalid download link type.","Type de lien de téléchargement invalide"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Order id cannot be null","L'identifiant de commande ne peut être nul"
"Order item id cannot be null","L'identifiant de commande ne peut être nul"
"Please specify product link(s).","Spécifier un/des lien(s) vers le produit"
attachment,"pièce jointe"
inline,"en cours"
Pending,"En cours"
sample,aperçu
"Links can be purchased separately","Les liens peuvent être achetés séparément."
"Max. Downloads","Téléchargements maximum"
Shareable,Partageable
Sample,échantillon
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Il est recommandé de n'utiliser que des lettres, des chiffres, le tiret (-) et le blanc souligné (_) pour les noms de fichiers. Les caractères invalides seront remplacés par '_'."
U,U
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Remaining Downloads","Téléchargements restants"
"View Order","Voir la commande"
"Start Download","Commencer le téléchargement"
"You have not purchased any downloadable products yet.","Vous n'avez pas acheté d'objets téléchargeables."
download,télécharger
"Downloadable Product Options","Downloadable Product Options"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Default Link Title","Default Link Title"
"Open Links in New Window","Open Links in New Window"
"Use Content-Disposition","Use Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
