"1 star","1 ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Add New Rating","Voeg Nieuwe Rating toe"
"Assigned Options","Toegewezen Opties"
"Be the first to review this product","Wees de eerste om dit product te waarderen"
"Default Value","Vaststaande Waarde"
"Delete Rating","Verwijder Rating"
"Edit Rating","Bewerk Rating"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Als u geen rating titel voor een winkel specificeert, zal de vaststaande waarde worden gebruikt."
"Manage Ratings","Beheer Ratings"
"New Rating","Nieuwe beoordeling"
"Option Label","Optie Label"
"Option Title","Optie Tiel"
"Option Title:","Optie Titel:"
"Please select one of each ratings above","Selecteer een van bovenstaande ratings"
"Rating Information","Rating Informatie"
"Rating Name","Rating Naam"
"Rating Options","Rating Opties"
"Rating Title","Rating Titel"
"Rating Visibility","Rating Zichtbaarheid"
"Rating isn't Available","Rating is niet Beschikbaar"
"Rating with the same title","Beoordeling met dezelfde titel"
"Save Rating","Beoordeling opslaan"
"Sort Order","Sorteer Bestelling"
"Visible In","Zichtbaar in"
