"%s %s cycle.","%s %s Zyklus."
"--Please Select--","--Bitte auswählen--"
"3D Secure Card Validation","3D Secure Card Validierung"
"3D Secure Credit Card Validation","3D Secure Kreditkartenvalidierung"
"<label>Make Check payable to:</label> %s","<label>Scheck zahlbar machen für</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Ein Wert ist für live mode erforderlich. Siehe CardinalCommerce Vereinbarung."
"Allow Initial Fee Failure","Erstzahlungsfehlschlag erlauben"
"An internal reference ID is required to save the payment profile.","Eine interne ReferenzID ist erforderlich um das Zahlungsprofil zu speichern."
"Authorize action is not available.","Autorisierungsaktion ist nicht verfügbar."
"Auto Bill on Next Cycle","Automatische Abrechnung beim nächsten Zyklus"
"Automatically Invoice All Items","Automatische Abrechnung aller Artikel"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Den ausstehenden Betrag automatisch im nächsten Rechnungslauf verrechnen (wenn es fehlgeschlagene Zahlungen gab)."
"Billing Agreement status is not set.","Abrechnungsvereinbarungsstatus ist nicht gesetzt."
"Billing Amount","Rechnungsbetrag"
"Billing Frequency","Abrechnungsfrequenz"
"Billing Period","Abrechnungsperiode"
"Billing Period Unit","Abrechnungsperiodeneinheit"
"Billing period unit is not defined or wrong.","Abrechnungsperiodeneinheit ist nicht definiert oder falsch."
"Cannot retrieve payment method instance.","Zahlungsartinstanz kann nicht abgefragt werden."
"Cannot retrieve the payment info model object.","Zahlungsinfomodellobjekt kann nicht abgefragt werden."
"Cannot retrieve the payment information object instance.","Zahlungsinformationen Objektinstanz können nicht abgerufen werden."
"Cannot retrieve the payment method code.","Code der Zahlungsart kann nicht abgerufen werden."
"Cannot retrieve the payment method model object.","Zahlungsartmodellobjekt kann nicht abgefragt werden."
"Capture action is not available.","Auffang-Aktion ist nicht verfügbar."
"Card Verification Number","Kartenprüfnummer"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Scheck / Zahlungsansweisung"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit Card Types","Arten von Kreditkarten"
"Credit card number mismatch with credit card type.","Kreditkarten-Nummer passt nicht zum Kreditkarten-Typ"
"Credit card type is not allowed for this payment method.","Der Kreditkarten-Typ ist für diese Zahlungsvariante nicht erlaubt."
"Currency","Währung"
"Currency code is undefined.","Währungscode ist nicht definiert."
"Customer ID is not set.","KundenID ist nicht gesetzt."
"Day","Tag"
"Debug Mode","Debug Modus"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Full name of the person receiving the product or service paid for by the recurring payment.","Voller Name des Empfängers des Produkts oder Services, für das mit turnusmäßigen Zahlungen bezahlt wird."
"Incorrect credit card expiration date.","Falsches Verfallsdatum der Kreditkarte"
"Initial Fee","Erstzahlung"
"Initial non-recurring payment amount due immediately upon profile creation.","Erster nicht turnusmäßiger Zahlungsbetrag ist sofort nach Profilerstellung fällig."
"Internal Reference ID","Interne ReferenzID"
"Invalid Credit Card Number","Ungültige Kreditkarten-Nummer"
"Issue Number","Ausgabenumer"
"Make Check Payable to","Scheck zahlbar machen für"
"Make Check payable to:","Scheck zahlbar machen für:"
"Make Check payable to: %s","Scheck zahlbar machen für: %s"
"Maximum Billing Cycles","Maximale Anzahl an Rechnungsläufen"
"Maximum Order Total","Höchstsumme der Bestellung"
"Maximum Payment Failures","Maximale Anzahl an fehlgeschlagenen Zahlungen"
"Maximum Trial Billing Cycles","Maximale Anzahl an Proberechnungsläufen"
"Merchant ID","Händler-ID"
"Minimum Order Total","Mindestsumme der Bestellung"
"Month","Monat"
"N/A","Nicht verfügbar"
"Name on Card","Name auf Karte"
"Name on the Card","Name auf der Karte"
"New Order Status","Stand der neuen Bestellung"
"Number of billing periods that make up one billing cycle.","Anzahl von Abrechnungsperioden die einen Rechnungslauf ausmachen."
"Order action is not available.","Befehlsaktion ist nicht verfügbar."
"Overrides API URL that may be specified by a payment method.","Überschreibt API URL die durch ein Zahlungsart spezifiziert ist."
"Password","Passwort"
"Payment ID: %s","ZahlungsID: %s"
"Payment Method","Zahlungsart"
"Payment Methods","Zahlungsarten"
"Payment Methods Section","Zahlungsartenbereich"
"Payment Reference ID","Zahlungsreferenz ID"
"Payment Services","Zahlungsservices"
"Payment from Applicable Countries","Bezahlung aus den entsprechenden Ländern"
"Payment from Specific Countries","Bezahlung aus bestimmten Ländern"
"Payment method code is not set.","Zahlungsartcode ist nicht gesetzt."
"Payment method code is undefined.","Zahlungsartcode ist nicht definiert."
"Payment profile is invalid:\n%s","Zahlungsprofil ist ungültig:\n%s"
"Period frequency is wrong.","Periodenfrequenz ist falsch."
"Please enter a valid credit card verification number.","Bitte geben Sie eine gültige Verifikationsnummer für Ihre Kreditkarte ein."
"Processor ID","Prozessor ID"
"Purchase Order","Auftrag"
"Purchase Order Number","Auftragsnummer"
"Purchase Order Number:","Auftragsnummer:"
"Purchase Order Number: %s","Auftragsnummer: %s"
"Recurring Profile Start Date","Wiederkehrendes Profilstartdatum"
"Recurring profile start date has invalid format.","Wiederkehrendes Profilstartdatum hat ein ungültiges Format."
"Reference ID is not set.","ReferenzID ist nicht gesetzt."
