Product,Productnaam
Price,Prijs
Quantity,"Hoeveelheid artikelen"
Products,Producten
ID,ID
SKU,SKU
Customers,Klanten
"Shopping Cart",Winkelmandje
No,Nee
Subtotal,Subtotaal
Discount,Discount
Action,Actie
Total,Totaal
"Add to Cart","Aan mandje toevoegen"
Orders,Bestellingen
Bestsellers,Bestsellers
Customer,"Naam klant"
Guest,Gast
Items,Items
Results,Resultaten
Uses,Uses
Average,Average
"Order Quantity","Bestelde hoeveelheid"
Views,"Aantal keer bekeken"
Revenue,Omzet
Tax,Belasting
Shipping,Verzending
"First Name",Voornaam
"Last Name",Achternaam
Email,Email
Refresh,Refresh
Store,Store
Yes,Ja
Name,Naam
Title,Titel
Description,Beschrijving
From,Van
To,Naar
Dashboard,Dashboard
"IP Address","IP Adres"
"All Websites","All Websites"
"Tax Amount","Tax Amount"
Invoiced,Gefactureerd
Refunded,Refunded
Canceled,Canceled
"In stock","In stock"
"Out of stock","Uit voorraad"
Day,Dag
Month,Maand
Year,Jaar
"Search Query","Zoek Query"
"Search Terms","Zoek Voorwaarden"
"Add to Wishlist","Aan verlanglijst toevoegen"
"Add to Compare","Voeg toe om te Vergelijken"
"Items in Cart","Items in Winkelwagentje"
Sales,Verkoop
Created,Created
"Product Reviews",Productbeoordelingen
Updated,Updated
Reports,Verslagen
Details,Details
Unlimited,Unlimited
Fulfilled,Fulfilled
Filter,Filter
Link,Link
Report,Verslag
Added,Added
"Coupon Code","Coupon Code"
"New Accounts","Aantal nieuwe accounts"
"Customers by number of orders","Klanten op aantal bestellingen"
"Customers by Orders Total","Klanten op volgorde van totaal bestellingen"
"Match Period To","Match Period To"
Period,Period
"Empty Rows","Lege rijen"
"Invalid date specified","Invalid date specified"
"We couldn't find records for this period.","We couldn't find records for this period."
"Show Reviews","Show Reviews"
"Products Report",Productverslag
Downloads,Downloads
Purchases,Aankopen
CSV,CSV
"Excel XML","Excel XML"
Viewed,"Aantal keer bekeken"
Purchased,Purchased
"Low stock","Lage voorraad"
