"Alert Email Sender","Alerter l'expéditeur de l'email"
"Alert subscription has been saved.","La souscription aux alertes a été enregistrée."
"Allow Alert When Product Comes Back in Stock","Autoriser les alertes quand le produit est à nouveau disponible."
"Allow Alert When Product Price Changes","Autoriser les alertes quand le prix du produit change."
"Click here not to receive alerts for this product","Cliquez ici pour ne plus recevoir d'alertes pour ce produit."
"Error Email Recipient","Erreur dans le destinataire du mail"
"Error Email Sender","Erreur dans l'expéditeur du mail"
"Error Email Template","Erreur dans le modèle du mail"
"Frequency","Fréquence"
"Not enough parameters.","Pas assez de paramètres."
"Price Alert Email Template","Modèle du mail d'alerte de prix."
"Price:","Prix:"
"Product Alerts","Alertes sur les produits"
"Product Alerts Run Settings","Options des alertes sur les produits"
"Product alerts Cron error","Erreur des alertes sur les produits"
"Product price alert","Alerte sur le prix du produit"
"Product stock alert","Alerte sur le stock du produit"
"Regular Price:","Prix normal"
"Sign up for price alert","S'enregistrer pour les alertes sur le prix"
"Sign up to get notified when this product is back in stock","S'enregistrer pour être notifié lorsque ce produit est nouveau en stock"
"Special price:","Prix spécial"
"Start Time","Heure de début"
"Stock Alert Email Template","Modèle du mail d'alerte de stock"
"The alert subscription has been deleted.","La souscription aux alertes a été supprimée."
"The alert subscription has been saved.","La souscription aux alertes a été enregistrée."
"The product is not found.","Le produit n'a pas été trouvé."
"The product was not found.","Le produit n'a pas été trouvé."
"Unable to update the alert subscription.","Échec lors de la mise à jour de la souscription aux alertes."
"Unsubscribe from all price alerts","Se désabonner de toutes les alertes de prix"
"Unsubscribe from all stock alerts","Se désabonner de toutes les alertes de stock"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Vous recevez cette notification car vous avez choisi de recevoir des alertes lorsque les produits suivants sont de nouveau disponibles :"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Vous recevez cette notification car vous avez choisi de recevoir des alertes lorsque les prix des produits suivants changent :"
"You will no longer receive price alerts for this product.","Vous ne recevrez plus d'alertes de prix pour ce produit."
"You will no longer receive stock alerts for this product.","Vous ne recevrez plus d'alertes de stock pour ce produit."
"You will no longer receive stock alerts.","Vous ne recevrez plus d'alertes de stock."
