"* Required Fields","*必要字段"
"Comment","评论"
"Contact Form","联系表单"
"Contact Information","联系信息"
"Contact Us","联系我们"
"Contact Us Form","我们的联系方式"
"Contacts","联系人"
"Contacts Section","联系人区域"
"Email","电子邮件"
"Email Options","电子邮件选项"
"Email Sender","电子邮件发送人"
"Email Template","电子邮件模板"
"Enable Contact Us","启用联系功能"
"Name","姓名"
"Send Emails To","发送邮件到"
"Submit","提交"
"Telephone","电话"
"Unable to submit your request. Please, try again later","无法提交您的请求。请稍候重试"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的咨询已提交，我们将尽快回应。感谢您的联系。"
