"1 star","1つ星"
"2 stars","2つ星"
"3 stars","3つ星"
"4 stars","4つ星"
"5 stars","5つ星"
"Add New Rating","新規評価の追加"
"Assigned Options","割り当て済みのオプション"
"Be the first to review this product","この商品の最初のレビューを書く"
"Default Value","標準の値"
"Delete Rating","評価の削除"
"Edit Rating","評価の編集"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","設定しない場合はデフォルト値が適用されます。"
"Manage Ratings","評価管理"
"New Rating","新しい評価"
"Option Label","オプションのラベル"
"Option Title","オプションのタイトル"
"Option Title:","オプションのタイトル:"
"Please select one of each ratings above","評価を選択してください。"
"Rating Information","評価情報"
"Rating Name","評価名"
"Rating Options","評価オプション"
"Rating Title","評価タイトル"
"Rating Visibility","評価の表示"
"Rating isn't Available","評価することはできません"
"Rating with the same title","同じタイトルで評価"
"Save Rating","評価の保存"
"Sort Order","並び順"
"Visible In","表示先"
