"Add New Rating",添加新评级
"Assigned Options",分配的选项
"Be the first to review this product",作为评论该产品的第一人
"Default Value",默认值
"Delete Rating",删除评级
ID,ID
"Is Active",活动的
"Manage Ratings",管理评级
"New Rating",新评级
"Option Label",选项标签
"Option Title",选项标题
"Option Title:",选项标题：
"Please specify a rating title for a store, or we'll just use the default value.",请为店铺指定评级标题或者就使用默认值
"Rating Information",评级信息
"Rating Options",评级选项
"Rating Title",评级标题
"Rating Visibility",评级能见度
"Rating with the same title",对同一名称打分
Ratings,评级
"Save Rating",保存评分
"Sort Order",排序顺序
Visibility,可见性
"Visible In",可见在
"You deleted the rating.",已删除评级。
"You saved the rating.",已存储评级。
