"3D Secure CAVV","3DセキュアCAVV"
"3D Secure Card Validation","3Dセキュアカード認証"
"3D Secure Cardholder Validation","3Dセキュア発行元認証"
"3D Secure Electronic Commerce Indicator","3Dセキュア電子商取引インジケータ"
"3D Secure Verification Result","3Dセキュア認証結果"
"3D Secure XID","3DセキュアXID"
"Card Issuer Liability","カード発行元ライブラリ"
"Card Verification","カード認証"
"Enrolled","加入済"
"Enrolled but Authentication Unavailable","加入済みですが認証は利用できません"
"Failed","失敗"
"MasterCard SecureCode","マスターカードセキュアコード"
"Merchant Liability","マーチャントライブラリ"
"Not Enrolled","未加入"
"Order cannot be placed.","ご注文を保存できませんでした。"
"Payment information error. Please start over.","決済サーバエラーです。やり直してください。"
"Please continue with placing order.","ご注文を完了するには先にお進み頂く必要があります"
"Please verify the card with the issuer bank before placing the order.","ご注文の完了前にカード発行元に確認してください。"
"Please verify the card with the issuer bank:","発行元にカードを確認してください。:"
"Start/Reset Validation...","認証の開始/停止"
"Successful","成功"
"Successful attempt","成功しました"
"The card has failed verification with the issuer bank.","カード発行元で認証が失敗しました。"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","不正な支払情報が送信されたか、制限時間オーバーです。やり直してください。"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","誤った決済情報が送信されたか、時間切れです。やり直してください。"
"This card has failed validation and cannot be used.","このカードの確認に失敗しました。このカードはご利用いただけません。"
"To ensure the security of your transactions","お取引内容のセキュリティ性を確保するため"
"Unable to complete","完了できませんでした"
"Validation failed.","認証失敗"
"Verification Failed","認証失敗"
"Verification Successful","認証成功"
"Verification cannot be processed","認証できません"
"Verified by Visa","VISAで認証"
