" in rows: ","in Reihen:"
"-- Please Select --","-- Bitte wählen --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter muss eine Anwendung von Mage_ImportExport_Model_Import_Adapter_Abstract sein"
"Adapter type must be a non empty string","Adapter Typ muss eine nicht leere Zeichenfolge sein"
"Can not determine attribute filter type","Kann die Eigenschaften des Filter-Typs nicht erkennen"
"Can not find required columns: ","Kann die erforderlichen Spalten nicht finden:"
"Can not get autoincrement value","Kann den Wert für Auto Increment nicht beziehen"
"Check Data","Daten prüfen"
"Column names have duplicates","Die Spaltennamen haben Duplikate"
"Column names is empty or is not an array","Spaltennamen ist leer oder keine Reihe"
"Column names: ""%s"" are invalid","Spaltennamen: ""%s"" sind ungültig"
"Continue","Weiter"
"Data is invalid or file is not uploaded","Daten sind ungültig oder Datei ist nicht hochgeladen"
"Destination directory is not writable","Zielverzeichnis ist nicht beschreibbar"
"Destination file is not writable","Zieldatei ist nicht beschreibbar"
"Destination file path must be a string","Zieldatei-Pfad muss eine Reihe sein"
"Entity Attributes","Entitätenattribute"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity-Adapter-Objekt muss eine Anwendung von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Entity is unknown","Entity ist unbekannt"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity-Modelltyp muss eine Anwendung von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity-Modelltyp muss eine Anwendung von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Error in data structure: behaviors are mixed","Fehler in der Datenstruktur: Vorgehensweisen sind unterschiedlich"
"Error in data structure: entity codes are mixed","Fehler in der Datenstruktur: Entity-Codes sind unterschiedlich"
"Export","Export"
"Export FAQ","Export FAQ"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Datei enthält keine Daten. Bitte laden Sie eine andere hoch"
"File format is unknown","Dateityp unbekannt"
"File is partially valid, but import is not possible","Datei ist teilweise gültig, Import ist aber nicht möglich"
"File is totally invalid. Please fix errors and re-upload file","Datei ist komplett ungültig. Bitte beheben Sie die Fehler und laden Sie sie erneut hoch"
"File is valid! To start import process press ""Import"" button","Datei ist gültig! Klicken Sie auf den Import-Button, um den Importvorgang zu starten."
"File is valid, but import is not possible","Datei ist gültig, Import ist aber nicht möglich"
"Header column names already set","Spaltennamen in der Kopfzeile sind schon festgelegt."
"Import","Import"
"Import / Export FAQ (Frequently Asked Questions)","Import / Export FAQ (häufig gestellte Fragen)"
"Import FAQ","Import FAQ"
"Import successfully done.","Import erfolgreich abgeschlossen."
"Import/Export","Import/Export"
"In/Out","Ein/Aus"
"Input entity code is not equal to entity adapter code","Code der Eingabeeinheit entspricht nicht dem Adapter-Code der Einheit"
"Invalid entity","Ungültige Einheit"
"Invalid file format","Ungültiger Dateityp"
"Invalid parameters","Ungültige Parameter"
"Invalid seek position","Ungültige Suchposition"
"Invalid value for '%s'","Ungültiger Wert für '%s'"
"No filter data provided","Keine Filterdaten angegeben"
"No source specified","Keine Quelle angegeben"
"No valid data sent","Keine gültige Daten gesendet"
"No writer specified","Nicht Schreiber-spezifiziert"
"Node does not has model token tag","Knoten hat nicht das Schild des Modells"
"Not implemented yet","Noch nicht implementiert"
"Please fix errors and re-upload file","Bitte beheben Sie die Fehler und laden Sie erneut hoch"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Bitte beheben Sie die Fehler und laden Sie die Datei erneut hoch, oder betätigen Sie die ""Import""-Schaltfläche um Reihen mit Fehlern zu überspringen"
"Some other FAQ","Andere Fragen"
"Source file moving failed","Verschieben der Quelldatei fehlgeschlagen"
"Source file path must be a string","Quelldateipfad muss ein String sein"
"Source is not set","Quelle ist nicht festgelegt"
"Status","Status"
"System busy","System belegt"
"There are no product types available for export","Es sind keine Produkttypen für den Export verfügbar"
"Total size of uploadable files must not exceed %s","Gesamtgröße der hochzuladenden Dateien darf %s nicht übersteigen"
"Uploaded file has no extension","Hochgeladene Datei hat keine Dateiendung"
"Validation Results","Prüfergebnisse"
