block_identifier,type_code,theme_path,title,page_group,group_data
contact-us-info,cms_static_block,"frontend/Magento/luma","Contact us info",pages,"a:2:{s:5:""block"";s:11:""content.top"";s:13:""layout_handle"";s:19:""contact_index_index"";}"
footer_links_block,cms_static_block,"frontend/Magento/luma","Footer Links",all_pages,"a:1:{s:5:""block"";s:26:""cms_footer_links_container"";}"
sale-left-menu-block,cms_static_block,"frontend/Magento/luma","Sale Left Menu",anchor_categories,"a:4:{s:8:""entities"";s:4:""sale"";s:5:""block"";s:12:""sidebar.main"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
gear-left-menu-block,cms_static_block,"frontend/Magento/luma","Gear Left Menu",anchor_categories,"a:4:{s:8:""entities"";s:4:""gear"";s:5:""block"";s:12:""sidebar.main"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
men-left-menu-block,cms_static_block,"frontend/Magento/luma","Men's Left Menu",anchor_categories,"a:4:{s:8:""entities"";s:3:""men"";s:5:""block"";s:12:""sidebar.main"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
women-left-menu-block,cms_static_block,"frontend/Magento/luma","Women's Left Menu",anchor_categories,"a:4:{s:8:""entities"";s:5:""women"";s:5:""block"";s:12:""sidebar.main"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
new-left-menu-block,cms_static_block,"frontend/Magento/luma","What's New Left Menu",anchor_categories,"a:4:{s:8:""entities"";s:11:""what-is-new"";s:5:""block"";s:12:""sidebar.main"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
women-block,cms_static_block,frontend/Magento/luma,"Women Category Content",anchor_categories,"a:4:{s:8:""entities"";s:5:""women"";s:5:""block"";s:11:""content.top"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
training-block,cms_static_block,frontend/Magento/luma,"Training Category Content",anchor_categories,"a:4:{s:8:""entities"";s:8:""training"";s:5:""block"";s:11:""content.top"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
men-block,cms_static_block,frontend/Magento/luma,"Men Category Content",anchor_categories,"a:4:{s:8:""entities"";s:3:""men"";s:5:""block"";s:11:""content.top"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
gear-block,cms_static_block,frontend/Magento/luma,"Gear Category Content",anchor_categories,"a:4:{s:8:""entities"";s:4:""gear"";s:5:""block"";s:11:""content.top"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
new-block,cms_static_block,frontend/Magento/luma,"New Products Category Content",anchor_categories,"a:4:{s:8:""entities"";s:11:""what-is-new"";s:5:""block"";s:11:""content.top"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
sale-block,cms_static_block,"frontend/Magento/luma","Sale Category Content",anchor_categories,"a:4:{s:8:""entities"";s:4:""sale"";s:5:""block"";s:11:""content.top"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
home-page-block,cms_static_block,"frontend/Magento/luma","Home Page",pages,"a:2:{s:5:""block"";s:7:""content"";s:13:""layout_handle"";s:15:""cms_index_index"";}"
performance-fabrics-block,cms_static_block,"frontend/Magento/luma","Performance Fabrics",anchor_categories,"a:4:{s:8:""entities"";s:15:""performance-new"";s:5:""block"";s:11:""content.top"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
eco-friendly-block,cms_static_block,"frontend/Magento/luma","Eco Friendly",anchor_categories,"a:4:{s:8:""entities"";s:7:""eco-new"";s:5:""block"";s:11:""content.top"";s:3:""for"";s:8:""specific"";s:14:""is_anchor_only"";i:1;}"
login-data,cms_static_block,"frontend/Magento/luma","Login Info",pages,"a:5:{s:7:""page_id"";s:1:""0"";s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:22:""customer_account_login"";s:5:""block"";s:24:""customer.login.container"";s:8:""template"";s:33:""widget/static_block/default.phtml"";}"
