"Actions","Acciones"
"An error occurred while marking notification as read.","Se ha producido un error al marcar la notificación como leída."
"An error occurred while marking the messages as read.","Se ha producido un error al marcar los mensajes como leídos."
"An error occurred while removing messages.","Se ha producido un error al eliminar los mensajes."
"An error occurred while removing the message.","Se ha producido un error al eliminar el mensaje."
"Are you sure?","¿Está seguro?"
"Date Added","Añadido el día"
"Last Update","Última actualización"
"Mark as Read","Marcar como leído"
"Mark as read","Marcar como leído"
"Message","Mensaje"
"Messages Inbox","Bandeja de entrada"
"Notifications","Notificaciones"
"Please select messages.","Por favor, selecciona al menos un mensaje."
"Read Details","Leer detalles"
"Remove","Eliminar"
"Severity","Gravedad"
"Show List","Mostrar lista"
"Show Toolbar","Mostrar barra de herramientas"
"The message has been marked as read.","El mensaje ha sido marcado como leído."
"The message has been removed.","El mensaje ha sido eliminado."
"Total of %d record(s) have been marked as read.","%d informe(s) ha(n) sido marcado(s) como leído(s)."
"Total of %d record(s) have been removed.","%d informe(s) ha(n) sido eliminado(s)."
"Unable to proceed. Please, try again.","Imposible realizar la operación. Inténtalo de nuevo."
"Update Frequency","Frecuencia de actualización"
"Use HTTPS to Get Feed","Utiliza HTTPS para obtener información"
"critical","crítico"
"major","mayor"
"minor","menor"
"notice","aviso"
