"Access denied.","Zugang verweigert."
"Client Session Timeout (sec.)","Kunde Session-Timeout (in Sekunden)"
"Default Response Charset","Standard-Schriftsatz für Antwort"
"Email","E-Mail"
"General Settings","Allgemeine Einstellungen"
"Invalid webservice adapter specified.","Ungültiger Webservice Adapter angegeben."
"Invalid webservice handler specified.","Ungültiger Webservice Handler angegeben."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Sektion"
"Roles","Rollen"
"Unable to login.","Einloggen nicht möglich."
"User Name","Benutzername"
"Users","Benutzer"
"WS-I Compliance","WS-I Übereinstimmung"
"Web Services","Webdienste"
"Your account has been deactivated.","Ihr Benutzerkonto wurde deaktiviert."
