"* Select shipping method","* Selecteer  verzendmethode"
"2Day","Vandaag"
"2nd Day Air","Arriveert 2 werkdagen na verzenddatum"
"2nd Day Air AM","Arriveert 2 werkdagen na verzenddatum in de middag"
"3 Day Select","Levering aan het eind van de 3e werkdag"
"<br />Warning: <strong>%s</strong><br />","<br />Waarschuwing: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Warning!</strong> Deze optie maakt gecalculeerde verzending ongeldig. Met deze optie, negeert Google API elke poging de verzendkosten te beïnvloeden."
"A virtual item to reflect the discount total","Een virtueel artikel om de totale korting te zien"
"A virtual item to reflect the tax total","Een virtueel artikel om de totale b.t.w. te zien"
"AVS Status: %s","Status van adres verificatie: %s"
"Add","Toevoegen"
"Add Shipping Method","Voeg Verzendmethode toe"
"Allowed Methods","Toegestane Methoden"
"Amount: %s","Aantal: %s"
"Auto-generated from GoogleCheckout Charge","Automatische GoogleCheckout Prijs"
"Buyer Account Age: %s days","Aantal dagen dat Koper deze Account heeft: %s dagen"
"CC Partial: xxxx-%s","CC Gedeeltelijk: xxxx-%s"
"CID Status: %s","Status antecedenten onderzoek: %s"
"Carrier Calculated Methods","Precies Berekende Leveringsmethode"
"Cart Discount","Kaart Korting"
"Checkout Image Style","Checkout Afbeelding Stijl"
"Commercial","Reclame"
"Continue Shopping URL","Ga door met Winkelen URL"
"Credit memo has been created automatically","Notitie van krediet is automatisch gemaakt"
"Debug","Debug"
"Default Package Height (in)","Standaard Pakket Hoogte (inches)"
"Default Package Length (in)","Standaard Pakket Lengte (inches)"
"Default Package Width (in)","Standaard Pakket Breedte (inches)"
"Default Price for Methods","Standaard Prijs voor Methoden"
"Default price:","Standaard Prijs:"
"Delivery Address Category","Bezorgadres Categorie"
"Delivery Schedule","Leverschema"
"Description-based delivery","Levering op beschrijving"
"Disable Default Tax Tables","Maak standaard b.t.w. tabel onbruikbaar"
"Discount Tax","Korting b.t.w."
"Eligible for Protection: %s","Geschikt voor Bescherming: %s"
"Email delivery","Email levering"
"Enable","Maak bruikbaar"
"Enable Carrier Calculated","Stel Precies Uitgerekende Verzending in Staat"
"Enable Digital Delivery","Stel Digitale Levering in Staat"
"Enable Flat Rate","Stel Proportioneel Tarief in Staat"
"Enable Merchant Calculated","Stel Prijs Wordt Overeengekomen na Opgave van Adres in Staat"
"Enable this if your checkout request is too big and being cut off.","Stel dit in staat als u betalingsverzoek te groot is en niet wordt geaccepteerd."
"Expiration: %s","Verstrijking: %s"
"Express Mail","Express Post"
"Express Saver","Express Bespaarder"
"FedEx","FedEx"
"Financial: %s -> %s","Financieel: %s -> %s"
"First Overnight","Levering eerstvolgende ochtend van een werkdag"
"Free Shipping","Gratis Verzending"
"Fulfillment: %s -> %s","Invulling: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Authorisatie:"
"Google Buyer ID: %s","Google Koper ID: %s"
"Google Charge:","Google Prijs:"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Verzending - Precies Uitgerekend"
"Google Checkout Shipping - Digital Delivery","Google Checkout Verzending - Digitale Levering"
"Google Checkout Shipping - Flat Rate","Google Checkout verzending - Proportioneel Tarief"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Verzending - Prijs wordt overeengekomen na opgave van adres"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google Bestellingsnummer: %s"
"Google Order Status Change:","Google Bestellingsstatus Verandering:"
"Google Refund:","Google Terugbetaling:"
