"* Select shipping method","* 配送方法を選択してください"
"2Day","2日配達"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"3 Day Select","3 Day Select"
"<br />Warning: <strong>%s</strong><br />","<br />警告: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">警告!</strong> このオプションはショップ側が計算した配送料金を無効にします。Google APIは意図した配送料金を無視します。"
"A virtual item to reflect the discount total","仮想商品には値引き合計を反映しない"
"A virtual item to reflect the tax total","仮想商品には税合計を反映しない"
"AVS Status: %s","AVSステータス: %s"
"Add","追加"
"Add Shipping Method","配送方法の追加"
"Allowed Methods","許可する配送方法"
"Amount: %s","価格: %s"
"Auto-generated from GoogleCheckout Charge","Googleチェックアウト料金から自動生成する"
"Buyer Account Age: %s days","バイヤーアカウント期間: %s日"
"CC Partial: xxxx-%s","クレジットカード番号: xxxx-%s"
"CID Status: %s","CIDステータス: %s"
"Carrier Calculated Methods","配達料計算"
"Cart Discount","カート割引"
"Checkout Image Style","購入画像スタイル"
"Commercial","商用"
"Continue Shopping URL","お買い物を続けるURL"
"Credit memo has been created automatically","クレジットメモを自動作成しました"
"Debug","デバッグ"
"Default Package Height (in)","標準梱包高さ"
"Default Package Length (in)","標準梱包長さ"
"Default Package Width (in)","標準梱包幅"
"Default Price for Methods","標準手数料"
"Default price:","標準の価格"
"Delivery Address Category","配送先カテゴリ"
"Delivery Schedule","配送スケジュール"
"Description-based delivery","Description-based delivery"
"Disable Default Tax Tables","標準課税テーブルを無効にする"
"Discount Tax","税金値引き"
"Eligible for Protection: %s","保護の対象: %s"
"Email delivery","Email delivery"
"Enable","有効"
"Enable Carrier Calculated","配送料金計算を有効にする"
"Enable Digital Delivery","デジタル配信を有効にする"
"Enable Flat Rate","均一料金を有効にする"
"Enable Merchant Calculated","マーチャント計算を有効にする"
"Enable this if your checkout request is too big and being cut off.","チェックアウトリクエストが大きく止められている場合は許可してください。"
"Expiration: %s","期限切れ: %s"
"Express Mail","速達便"
"Express Saver","エコノミーエクスプレス便"
"FedEx","FeedEx"
"Financial: %s -> %s","ファイナンス: %s -> %s"
"First Overnight","翌日早朝配達"
"Free Shipping","当社負担"
"Fulfillment: %s -> %s","フルフィルメント: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google認証:"
"Google Buyer ID: %s","Google バイヤー ID: %s"
"Google Charge:","Google 費用:"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Google チェックアウト"
"Google Checkout Shipping - Carrier Calculated","Googleチェックアウトで配送 - 配送会社で計算"
"Google Checkout Shipping - Digital Delivery","Google配送清算 - デジタル配信"
"Google Checkout Shipping - Flat Rate","Googleチェックアウトで配送 - 固定費用"
"Google Checkout Shipping - Merchant Calculated","Googleチェックアウトで配送 - 店舗で計算"
"Google Checkout: %s","Googleチェックアウト: %s"
"Google Order Number: %s","Google注文番号: %s"
"Google Order Status Change:","Google注文ステータス変更:"
"Google Refund:","Google返金済み:"
"Google Risk Information:","Googleリスク情報:"
"Ground","Ground"
"Hide Cart Contents","カートの中身を隠す"
"Home Delivery","自宅配達"
"IP Address: %s","Ipアドレス： %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","もし可能なら、ショッピングカート内のGoogleチェックアウトボタンをクリックした後にカート内容を非表示にし、""カート編集""リンクを有効にしてください。"
"Inches","Inches"
"Invoice Auto-Created: %s","請求書の自動生成: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","購入者は販促メールの受け取りを許可: %s"
"Key/URL delivery","Key/URL delivery"
"Large - %s","多数 - %s"
"Latest Charge: %s","最終請求日時: %s"
"Latest Chargeback: %s","最終チャージバック: %s"
"Latest Refund: %s","最新の返金: %s"
"Location","場所"
"Media Mail","メディアメール"
"Medium - %s","中間 - %s"
"Merchant ID","マーチャント ID"
"Merchant Key","マーチャント Key"
"Method","手順"
"New Order Status","新規注文ステータス"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Saver","Next Day Air Saver"
"No","No"
"No Comment","No Comment"
"No Reason","No Reason"
"Optimistic","Optimistic"
"Optional, leave empty for home page.","オプション、ホームページでは空白のまま"
"Order creation error","Order creation error"
"Parcel Post","郵便小包"
"Pessimistic","Pessimistic"
"Priority Mail","優先メール"
"Priority Overnight","翌日午前配達"
"Rate 1 Amount","総額"
"Rate 1 Ship To Applicable Countries","適用可能な国への配送料金"
"Rate 1 Ship to Specific Countries","指定した国への配送料金"
"Rate 1 Title","タイトル率"
"Rate 2 Amount","総額"
"Rate 2 Ship To Applicable Countries","適用可能な国への配送料金"
"Rate 2 Ship to Specific Countries","指定した国への配送料金"
"Rate 2 Title","タイトル率"
"Rate 3 Amount","総額"
"Rate 3 Ship To Applicable Countries","適用可能な国への配送料金"
"Rate 3 Ship to Specific Countries","指定した国への配送料金"
"Rate 3 Title","タイトル率"
"Remove","削除"
"Required for live Google Checkout transactions.","Googleチェックアウト処理に必要です。"
"Residential","宅配"
"Sandbox","サンドボックス"
"Secure Callback URL","セキュアコールバックＵＲＬ"
"Small - %s","少数 - %s"
"Standard Overnight","標準の翌日配達"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount"
"Title","タイトル"
"Total Chargeback: %s","合計チャージバック: %s"
"Total Charged: %s","合計請求額: %s"
"Total Refunded: %s","返金額合計: %s"
"Transparent","明瞭"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","イギリス"
"United States","アメリカ"
"Unknown Reason","Unknown Reason"
"White Background","空白の背景"
"Yes","Yes"
"You will be redirected to GoogleCheckout in a few seconds.","数秒でGoogleチェックアウトにリダイレクトされます"
