ID,Identidade
No,No
Yes,Yes
Username,"Nome do usuário"
"Encryption Key","Encryption Key"
"Change Encryption Key","Mudar Chave de Criptografia"
"New Encryption Key","Nova Chave de Criptografia"
"The encryption key is used to protect passwords and other sensitive data.","The encryption key is used to protect passwords and other sensitive data."
"Auto-generate a Key","Autogerar Chave"
"The generated key will be displayed after changing.","A chave gerada será exibida após a mudança."
"New Key","Nova Chave"
"To enable a key change this file must be writable: %1.","To enable a key change this file must be writable: %1."
"Please enter an encryption key.","Por favor introduza uma chave de encriptação."
"The encryption key has been changed.","The encryption key has been changed."
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
"Not supported cipher version","Not supported cipher version"
"The encryption key format is invalid.","The encryption key format is invalid."
"File %1 is not writeable.","File %1 is not writeable."
"Encryption Key Change","Mudança na Chave de Criptografia"
