ID,Identificación
No,No
Yes,Yes
Username,"Nombre de Usuario"
"Encryption Key","Encryption Key"
"Change Encryption Key","Cambiar clave de encriptación"
"New Encryption Key","Nueva clave de encriptación"
"The encryption key is used to protect passwords and other sensitive data.","The encryption key is used to protect passwords and other sensitive data."
"Auto-generate a Key","Auto generar una clave"
"The generated key will be displayed after changing.","La clave generada se mostrará después de cambiarla."
"New Key","Nueva clave"
"To enable a key change this file must be writable: %1.","To enable a key change this file must be writable: %1."
"Please enter an encryption key.","Por favor introduzca una clave de encriptación"
"The encryption key has been changed.","The encryption key has been changed."
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
"Not supported cipher version","Not supported cipher version"
"The encryption key format is invalid.","The encryption key format is invalid."
"File %1 is not writeable.","File %1 is not writeable."
"Encryption Key Change","Cambio de clave de encriptación"
