"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$sを欲しい物リストに追加しました。<a href=""%2$s"">ここ</a>をクリックしてお買い物を続けてください。"
"%1$s has been updated in your wishlist.","%1$s があなたの欲しい物リストで更新されました。"
"%d product(s) have been added to shopping cart: %s.","%dこの商品がショッピングカートに追加されました: %s."
"%s for ""%s"".","%s の ""%s""。"
"%s has been moved to wishlist %s","%s は %s の欲しい物リストに移動されました"
"%s's Wishlist","%sの欲しい物リスト"
"* Required Fields","* 必須項目"
"Add All to Cart","全てカートに入れる"
"Add to Cart","カートに入れる"
"Add to Compare","比較リストに追加"
"Add to Wishlist","欲しい物リストに追加"
"Added From","登録元"
"An error occurred while adding item to wishlist.","欲しい物リストに商品を追加中にエラーが発生しました。"
"An error occurred while adding item to wishlist: %s","%sを欲しい物リストに追加中にエラーが発生しました。"
"An error occurred while deleting the item from wishlist.","欲しい物リストから商品を削除中にエラーが発生しました。"
"An error occurred while deleting the item from wishlist: %s","欲しい物リストから%sを削除中にエラーが発生しました。"
"An error occurred while updating wishlist.","欲しい物リストの更新中にエラーが発生しました。"
"Are you sure you want to remove this product from your wishlist?","本当に欲しい物リストからこの商品を削除してよろしいですか？"
"Are you sure you would like to remove this item from the wishlist?","本当に欲しい物リストから削除しますか？"
"Back","戻る"
"Can\'t delete item from wishlist","欲しい物リストから商品を削除できません。"
"Can\'t save description %s","説明を保存できません %s"
"Can\'t update wishlist","欲しい物リストを更新できません。"
"Cannot add item to shopping cart","商品をショッピングカートに追加できません"
"Cannot add the following product(s) to shopping cart: %s.","Cannot add the following product(s) to shopping cart: %s."
"Cannot add the item to shopping cart.","商品をショッピングカートに追加できません。"
"Cannot configure product","商品のオプションを調整できません。"
"Cannot load wishlist item","欲しい物リストの商品を読み込めません。"
"Cannot move item to wishlist","商品を欲しい物リストに移動できません。"
"Cannot specify product.","商品を特定できません。"
"Cannot specify wishlist item.","欲しい物リストの商品を特定できません。"
"Cannot specify wishlist.","欲しい物リストを特定できません。"
"Cannot update wishlist","欲しい物リストを更新できません。"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","あなたの欲しい物リストへのRSSフィードにリンクするなら、ここをチェックしてください"
"Click for price","クリックして価格を表示"
"Comment","コメント"
"Comment:","コメント:"
"Configure Wishlist Item","欲しい物リストの商品を調整する"
"Configured Price:","調整後価格:"
"Could not find such wishlist","Could not find such wishlist"
"Could not find wishlist","欲しい物リストが見つかりません"
"Customer My Account My Wishlist","マイページ欲しい物リスト"
"Customer My Account Wishlist Sharing Form","マイページ欲しい物リスト共有元"
"Customer Shared Wishlist View","欲しい物リスト共有画面"
"Date Added","登録日"
"Days in Wishlist","欲しい物リストの日付"
"Display Wishlist Summary","欲しい物リストのサマリを表示"
"Edit","編集"
"Email Sender","メール送信者"
"Email Template","メールテンプレート"
"Email address can\'t be empty.","メールアドレスを入力してください。"
"Email addresses, separated by commas","メールアドレスは「,」で区切る必要があります"
"Enabled","有効"
"General Options","全体のオプション"
"Go to Wishlist","欲しい物リストへ"
"Helper for wishlist options rendering doesn't implement required interface.","欲しい物リストオプションヘルパーは要求された機能を実装していません。"
"In stock","在庫あり"
"Last Added Items","最後に追加した商品"
"Message","メッセージ"
"My Wishlist","欲しい物リスト"
"My Wishlist (%d item)","欲しい物リスト(%dアイテム)"
"My Wishlist (%d items)","欲しい物リスト(%dアイテム)"
"My Wishlist <small>(%d)</small>","欲しい物リスト <small>(%d)</small>"
"My Wishlist Link","欲しい物リストリンク"
"Options Details","オプションの概要"
"Out of stock","在庫切れ"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","正しいメールアドレスを「,」で区切って入力してください。（例）johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","正しいメールアドレスを入力してください。"
"Please, enter your comments...","コメントを登録することができます"
"Product","商品"
"Product Details and Comment","Product Details and Comment"
"Product(s) %s have required options. Each of them can be added to cart separately only.","%sはオプションの指定が必要です。個別にしかカートに登録できません。"
"Product(s) %s have required options. Each product can only be added individually.","Product(s) %s have required options. Each product can only be added individually."
"RSS Feed","RSS フィード"
"RSS link to %s's wishlist","%sの欲しい物リストへのRSSリンク"
"Remove Item","商品を削除"
"Remove This Item","この商品を削除する"
"Remove item","商品を削除"
"Requested cart item doesn't exist","リクエストされたカートの商品がありません"
"Requested wishlist doesn't exist","リクエストされた欲しい物リストがありません"
"Share Options","共有オプション"
"Share Wishlist","欲しい物リストを共有"
"Share Your Wishlist","欲しい物リストを共有"
"Sharing Information","共有情報"
"This Wishlist has no Items","欲しい物リストは空です"
"This product(s) is currently out of stock","この商品は現在在庫切れです"
"Unable to add the following product(s) to shopping cart: %s.","以下の商品をショッピングカートに追加できませんでした: %s."
"Update Wishlist","欲しい物リスト更新"
"User description","ユーザー概要"
"View Details","詳細を表示"
"View Product","商品を表示"
"What's this?","これは何ですか？"
"Wishlist","欲しい物リスト"
"Wishlist Section","欲しい物リストセクション"
"Wishlist Sharing","欲しい物リストを共有しています"
"Wishlist could not be created.","欲しい物リストは作成できませんでした。"
"Wishlist is empty now.","欲しい物リストは空です。"
"You have no items in your wishlist.","あなたの欲しい物リストには商品がありません"
"Your Wishlist has been shared.","欲しい物リストを共有しました。"
