Back,Retour
Product Name,Produit
Quantity,Quantity
Configure,Configure
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
Action,Action
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
Edit,Éditer
"Remove item","Supprimer l'objet"
"Add to Cart","Ajouter au caddy"
Delete,Delete
Enabled,Enabled
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
"* Required Fields","* Champs requis"
Availability,Availability
"In stock","En stock"
"Out of stock","Pas en stock"
"Click for price","Cliquez pour le prix"
"What's this?","Qu'est-ce ?"
"1 item","1 item"
"%1 items","%1 items"
"Add to Wishlist","Ajouter à liste de vœux"
"Remove This Item","Enlever cet article"
"Add to Compare","Ajouter pour comparer"
"The product does not exist.","The product does not exist."
"Display item quantities","Display item quantities"
"View Details","Vue détails"
"Options Details","Informations options"
Comment,Commentaires
"Add Locale","Formulaire ajouté"
"Add Date","Date ajoutée"
"Days in Wish List","Days in Wish List"
Wishlist,Wishlist
"Wish List","Wish List"
Message,Message
"Email Template","Email Template"
"Remove Item","Enlever article"
"Sharing Information","Partager infos"
"This product(s) is out of stock.","This product(s) is out of stock."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"%1's Wish List","%1's Wish List"
"Product(s) %1 have required options. Each product can only be added individually.","Product(s) %1 have required options. Each product can only be added individually."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Please input a valid email address.","Veuillez entrer une adresse courriel valide."
"RSS Feed","Flux RSS"
"Wish List Sharing","Wish List Sharing"
"My Wish List","My Wish List"
"%1 for ""%2"".","%1 for ""%2""."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update wish list.","We can't update wish list."
"The requested wish list doesn't exist.","The requested wish list doesn't exist."
"Wish List could not be created.","Wish List could not be created."
"We can't specify a product.","We can't specify a product."
"%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping.","%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping."
"An error occurred while adding item to wish list: %1","An error occurred while adding item to wish list: %1"
"An error occurred while adding item to wish list.","An error occurred while adding item to wish list."
"We can't load the wish list item.","We can't load the wish list item."
"We can't configure the product.","We can't configure the product."
"%1 has been updated in your wish list.","%1 has been updated in your wish list."
"An error occurred while updating wish list.","An error occurred while updating wish list."
"Can't delete item from wishlist","Impossible de supprimer l'article de la liste de souhaits."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"An error occurred while deleting the item from wish list: %1","An error occurred while deleting the item from wish list: %1"
"An error occurred while deleting the item from wish list.","An error occurred while deleting the item from wish list."
"Cannot add item to shopping cart","Ne peut ajouter l'article au caddy"
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to wish list %2","%1 has been moved to wish list %2"
"We can't move the item to the wish list.","We can't move the item to the wish list."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Email address can't be empty.","Adresse courriel ne peut être vide."
"This wishlist can be shared %1 more times.","This wishlist can be shared %1 more times."
"Your wish list has been shared.","Your wish list has been shared."
"Please enter your comments.","Please enter your comments."
"Display number of items in wish list","Display number of items in wish list"
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Ne peut spécifier produit."
"Invalid item option format.","Invalid item option format."
"We can't specify a wish list item.","We can't specify a wish list item."
"Share Wish List","Share Wish List"
"Add All to Cart","Tout ajouter au caddy"
"Update Wish List","Update Wish List"
"View Product","Voir produit"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"This Wish List has no Items","This Wish List has no Items"
"Wish List is empty now.","Wish List is empty now."
"Email addresses, separated by commas","Adresses courriel, séparées par virgules"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous voulez ajouter un lien vers un flux rss à votre liste de vœux."
"Share Wishlist","Partager liste de vœux"
"Last Added Items","Derniers articles ajoutés"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","You have no items in your wish list."
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr(e) de vouloir enlever ce produit de votre liste de vœux?"
"Email Sender","Email Sender"
"General Options","General Options"
"Share Options","Share Options"
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"10 by default. Max - 10000","10 by default. Max - 10000"
"Email Text Length Limit","Email Text Length Limit"
"255 by default","255 by default"
"My Wish List Link","My Wish List Link"
"Display Wish List Summary","Display Wish List Summary"
"No Items Found","No Items Found"
"User Description","Description utilisateur"
"Product Details and Comment","Détails et commentaires sur le produit"
