Back,Zurück
Product Name,Produkt
Quantity,Quantity
Configure,Configure
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
Action,Action
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
Edit,Bearbeiten
"Remove item","Artikel löschen"
"Add to Cart","Zum Warenkorb hinzufügen"
Delete,Delete
Enabled,Enabled
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
"* Required Fields","* Notwendige Felder"
Availability,Availability
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"
"Click for price","Klicken für den Preis"
"What's this?","Was ist das?"
"1 item","1 item"
"%1 items","%1 items"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"Remove This Item","Dieses Objekt entfernen"
"Add to Compare","Zum Vergleich hinzufügen"
"The product does not exist.","The product does not exist."
"Display item quantities","Display item quantities"
"View Details","Details anzeigen"
"Options Details","Optionen Details"
Comment,Kommentar
"Add Locale","Hinzugefügt von"
"Add Date","Datum hinzugefügt"
"Days in Wish List","Days in Wish List"
Wishlist,Wishlist
"Wish List","Wish List"
Message,Nachricht
"Email Template","Email Template"
"Remove Item","Objekt entfernen"
"Sharing Information",Sharing-Information
"This product(s) is out of stock.","This product(s) is out of stock."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"%1's Wish List","%1's Wish List"
"Product(s) %1 have required options. Each product can only be added individually.","Product(s) %1 have required options. Each product can only be added individually."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Please input a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"RSS Feed",RSS-Feed
"Wish List Sharing","Wish List Sharing"
"My Wish List","My Wish List"
"%1 for ""%2"".","%1 for ""%2""."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update wish list.","We can't update wish list."
"The requested wish list doesn't exist.","The requested wish list doesn't exist."
"Wish List could not be created.","Wish List could not be created."
"We can't specify a product.","We can't specify a product."
"%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping.","%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping."
"An error occurred while adding item to wish list: %1","An error occurred while adding item to wish list: %1"
"An error occurred while adding item to wish list.","An error occurred while adding item to wish list."
"We can't load the wish list item.","We can't load the wish list item."
"We can't configure the product.","We can't configure the product."
"%1 has been updated in your wish list.","%1 has been updated in your wish list."
"An error occurred while updating wish list.","An error occurred while updating wish list."
"Can't delete item from wishlist","Artikel kann nicht aus Wunschliste gelöscht werden"
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"An error occurred while deleting the item from wish list: %1","An error occurred while deleting the item from wish list: %1"
"An error occurred while deleting the item from wish list.","An error occurred while deleting the item from wish list."
"Cannot add item to shopping cart","Kann Objekt nicht zum Warenkorb hinzufügen"
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to wish list %2","%1 has been moved to wish list %2"
"We can't move the item to the wish list.","We can't move the item to the wish list."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Email address can't be empty.","E-Mail-Adressfeld darf nicht leer sein."
"This wishlist can be shared %1 more times.","This wishlist can be shared %1 more times."
"Your wish list has been shared.","Your wish list has been shared."
"Please enter your comments.","Please enter your comments."
"Display number of items in wish list","Display number of items in wish list"
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","Kann Produkt nicht bestimmen."
"Invalid item option format.","Invalid item option format."
"We can't specify a wish list item.","We can't specify a wish list item."
"Share Wish List","Share Wish List"
"Add All to Cart","Alle zum Warenkorb hinzufügen"
"Update Wish List","Update Wish List"
"View Product","Produkt anzeigen"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"This Wish List has no Items","This Wish List has no Items"
"Wish List is empty now.","Wish List is empty now."
"Email addresses, separated by commas","E-Mail-Adressen, durch Komma getrennt"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Dieses Kästchen aktivieren, wenn Sie einen RSS-Feed-Link zu Ihrem Wunschzettel hinzufügen möchten."
"Share Wishlist","Wunschzettel teilen"
"Last Added Items","Zuletzt hinzugefügte Objekte"
"Go to Wish List","Go to Wish List"
"You have no items in your wish list.","You have no items in your wish list."
"Are you sure you want to remove this product from your wishlist?","Sind  Sie sicher, dass Sie dieses Produkt von Ihrem Wunschzettel entfernen möchten?"
"Email Sender","Email Sender"
"General Options","General Options"
"Share Options","Share Options"
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"10 by default. Max - 10000","10 by default. Max - 10000"
"Email Text Length Limit","Email Text Length Limit"
"255 by default","255 by default"
"My Wish List Link","My Wish List Link"
"Display Wish List Summary","Display Wish List Summary"
"No Items Found","No Items Found"
"User Description","Anwender Beschreibung"
"Product Details and Comment","Produktangaben und Kommentare"
