ID,Identidade
Apply,Solicitar
No,Não
Subtotal,"Valor Subtotal"
Discount,"Quantia de Desconto"
Uses,"Número de Usuários"
Delete,Delete
Yes,Sim
"Web Site","Web Site"
Status,Status
"Save and Continue Edit","Salvar e continuar a editar"
Description,Descrição
Catalog,Catálogo
Actions,Ações
Rule,"Nome da Regra"
"Start on","Data Inicial"
"End on",Vencimento
Active,Ativo
"This rule no longer exists.","Essa regra não existe mais."
"General Information","Informações gerais"
Websites,Sites
"Add New Rule","Adicionar nova regra"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nova Regra"
"Rule Information","Informação da Regra"
"Discount Amount","Discount Amount"
"Stop Further Rules Processing","Parar Outras Regras de Processamento"
Conditions,Condições
"Rule Name","Rule Name"
Inactive,Inativo
"Customer Groups","Grupos do cliente"
"From Date","A Partir da Data"
"To Date","Até a Data Atual"
Priority,Prioridade
Promotions,Promoções
"Edit Rule","Editar regra"
"The rule has been saved.","A regra foi salva."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"The rule has been deleted.","A regra foi apagada."
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"Update the Product","Atualizar o Produto"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Shipping Method","Tipo de Frete"
"Payment Method","Método de Pagamento"
Created,"Criado Em"
Alphanumeric,Alfanumérico
"Apply To","Aplicar a"
"is one of","is one of"
"is not one of","is not one of"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
Alphabetical,Alfabético
Numeric,Numérico
Generate,Gerar
Auto,Auto
Coupon,Cupom
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Coupon Code","Código do cupom"
is,is
"is not","is not"
CSV,CSV
"Excel XML","Excel XML"
"Total Weight","Peso Total"
"Discount (%1)","Discount (%1)"
"Store View Specific Labels","Vista das Marcas Específicas da Loja"
"Shopping Cart Price Rules","Regras de Preços de Carrinho de Compras"
"Update prices using the following information","Atualizar preços usando as seguintes informações"
"Percent of product price discount","Porcentagem do desconto sobre o preço do produto"
"Fixed amount discount","Valor de desconto fixo"
"Fixed amount discount for whole cart","Valor de desconto fixo para todo o carrinho"
"Buy X get Y free (discount amount is Y)","Compre X obtenha Y grátis (valor do desconto é Y)"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Aplicar a Valor de Envio"
"Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).","Apply the rule only to cart items matching the following conditions ' '(leave blank for all items)."
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
"Manage Coupon Codes","Gerenciar Códigos de Cupom"
"Coupons Information","Informação dos cupons"
"Coupon Qty","Coupon Qty"
"Code Length","Tamanho do código"
"Excluding prefix, suffix and separators.","Excluindo sufixo, prefixo e separadores."
"Code Format","Formato do código"
"Code Prefix","Prefixo Código"
"Code Suffix","Sufixo Código"
"Dash Every X Characters","Trace Cada X Caracteres"
"If empty no separation.","Se vazio sem separação."
"Times Used","Vezes usadas"
"Are you sure you want to delete the selected coupon(s)?","Tem certeza que quer apagar o(s) cupom(s) escolhido(s)?"
Labels,Etiquetas
"Default Label","Etiqueta padrão"
"Default Rule Label for All Store Views","Etiqueta de regra padrão para todas as visualizações da loja"
"Use Auto Generation","Usar Auto Geração"
"If you select and save the rule you will be able to generate multiple coupon codes.","Se você selecionar e salvar a regra, será capaz de gerar múltiplos códigos de cupom."
"Uses per Coupon","Uso por cupom"
"Uses per Customer","Uso por cliente"
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Public In RSS Feed","Público No Feed RSS"
"Cart Price Rules","Cart Price Rules"
"New Cart Price Rule","New Cart Price Rule"
"The wrong rule is specified.","The wrong rule is specified."
"We can't find a rule to delete.","We can't find a rule to delete."
"Rule is not defined","A regra não está definida"
"Invalid data provided","Invalid data provided"
"%1 coupon(s) have been generated.","%1 coupon(s) have been generated."
"Something went wrong while generating coupons. Please review the log and try again.","Something went wrong while generating coupons. Please review the log and try again."
"We cannot create the requested Coupon Qty. Please check your settings and try again.","We cannot create the requested Coupon Qty. Please check your settings and try again."
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled."
"Coupon with the same code","Cupom com o mesmo código"
"No Coupon","Sem Cupom"
"Specific Coupon","Cupom Específico"
"Can't acquire coupon.","Não é possível adquirir cupons."
"Special Price","Preço Especial"
"Total Items Quantity","Quantidade total de itens"
"Shipping Postcode","Código Postal de Envio"
"Shipping Region","Região de Envio"
"Shipping State/Province","Estado/Província de Envio"
"Shipping Country","País de Envio"
"Product attribute combination","Combinação de atributos do produto"
"Products subselection","Sub-seleção de produtos"
"Conditions combination","Combinação de Condições"
"Cart Attribute","Atributo do Carrinho"
"Quantity in cart","Quantidade no carrinho"
"Price in cart","Preço no carrinho"
"Row total in cart","Total de linhas no carrinho"
"Cart Item Attribute","Cart Item Attribute"
FOUND,ENCONTRADO
"NOT FOUND","NÃO ENCONTRADO"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"total quantity","quantidade total"
"total amount","quantia total"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Item totals are not set for the rule.","Item totals are not set for the rule."
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Error occurred when saving coupon: %1","Error occurred when saving coupon: %1"
"Error occurred when generating coupons: %1","Error occurred when generating coupons: %1"
"Some coupons are invalid.","Some coupons are invalid."
"Specified rule does not allow automatic coupon generation","Specified rule does not allow automatic coupon generation"
"Specified rule does not allow coupons","Specified rule does not allow coupons"
"Specified rule only allows auto generated coupons","Specified rule only allows auto generated coupons"
"Specified rule does not allow auto generated coupons","Specified rule does not allow auto generated coupons"
