"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d のクーポンの依存している属性 ""%s"" が無効になっています。"
"%s Coupon(s) have been generated","%s 件のクーポンを生成しました"
"Actions","アクション"
"Active","アクティブ"
"Add New Rule","新規クーポンの追加"
"Alphabetical","半角英字"
"Alphanumeric","半角英数字"
"An error occurred while generating coupons. Please review the log and try again.","クーポンの作成中にエラーが発生しました。ログを確認の上やり直してください。"
"Apply","反映"
"Apply To","適用終了日"
"Apply the rule only if the following conditions are met (leave blank for all products)","下記の条件を満たす場合のみ規定が適用されます。（全ての商品欄は空白のままにしてください。）"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","カートの商品が下記の条件を満たす場合のみ規定が適用されます。(全ての商品欄は空白のままにしてください。）"
"Apply the rule to cart items matching the following conditions","以下の条件にマッチするカートの商品に適用する"
"Apply to Shipping Amount","配送料に適用する"
"Are you sure you want to delete the selected coupon(s)?","選択したクーポンを削除してもよろしいですか？"
"Auto","自動"
"Auto Generated Specific Coupon Codes","クーポンコードを自動生成する"
"Buy X get Y free (discount amount is Y)","X を買うと Y を無料に (Y の金額だけディスカウントする)"
"By Fixed value","固定値"
"By Percentage","固定率"
"Can\'t acquire coupon.","クーポンを適用できません。"
"Cart Attribute","カート属性"
"Catalog","カタログ"
"Code Format","コード形式"
"Code Length","コード長"
"Code Prefix","コードプレフィックス"
"Code Suffix","コードサフィックス"
"Conditions","条件"
"Conditions combination","条件の組み合わせ"
"Coupon","クーポン"
"Coupon Code","クーポンコード"
"Coupon Qty","クーポン数量"
"Coupon with the same code","同じコードのクーポンがあります"
"Coupons Information","クーポン情報"
"Created On","作成日"
"Customer Groups","顧客グループ"
"Dash Every X Characters","X文字ごとにハイフンを入れる"
"Date Expire","終了日"
"Date Start","開始日"
"Default Label","標準のラベル"
"Default Rule Label for All Store Views","全てのストアビューに対する標準クーポン名"
"Description","概要"
"Discount Amount","割引価格"
"Discount Qty Step (Buy X)","ディスカウント対象個数の段階 (X を買った場合)"
"Edit Rule","クーポンの編集"
"Edit Rule '%s'","クーポン'%s'の編集"
"Excluding prefix, suffix and separators.","プレフィックスとサフィックス、区切り文字を除外。"
"FOUND","見つかりました。"
"Fixed amount discount","定額割引"
"Fixed amount discount for whole cart","カート全体に対する固定値引き量"
"For matching items only","一致する商品のみ"
"For shipment with matching items","一致する商品の配送"
"Free Shipping","送料無料"
"From Date","開始日"
"General Information","総合情報"
"Generate","生成"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","%s が %s と一緒にカートに入っている場合にこれらの条件を有効にする:"
"If empty no separation.","空白の場合は分割しない"
"If you select and save the rule you will be able to generate multiple coupon codes.","このルールを保存すると複数のクーポンコードを作成できます。"
"Inactive","非アクティブ"
"Item totals are not set for rule.","商品合計がクーポンにセットされていません。"
"Labels","ラベル"
"Manage Coupon Codes","クーポンコード管理"
"Maximum Qty Discount is Applied To","値引を適用する最大個数"
"NOT FOUND","見つかりませんでした"
"NOT LOGGED IN","未ログイン"
"New Rule","新規クーポン"
"No","No"
"No Coupon","自動適用クーポン"
"Not valid data provided","正しいデータが有りません"
"Number of Uses","使用数"
"Numeric","Numeric"
"Payment Method","お支払方法"
"Percent of product price discount","商品価格値引率"
"Period","期間"
"Price in cart","カートの中の価格"
"Priority","優先度"
"Product attribute combination","商品属性の組み合わせ"
"Products subselection","商品の仮選択"
"Promotions","プロモーション"
"Public In RSS Feed","RSSフィードに公開"
"Quantity in cart","カートの中の個数"
"Row total in cart","カートの中の行数"
"Rule Information","クーポン情報"
"Rule Name","クーポン名"
"Rule is not defined","クーポンが未定義です"
"Sales Discount Amount","値引額"
"Sales Subtotal Amount","小計"
"Sales Total Amount","合計金額"
"Save and Continue Edit","保存して編集を続ける"
"Shipping Country","配送先の国"
"Shipping Method","配送方法"
"Shipping Postcode","配送先郵便番号"
"Shipping Region","配送エリア"
"Shipping State/Province","配送先の県/地方"
"Shopping Cart Price Rule","クーポン"
"Shopping Cart Price Rules","クーポン"
"Special Price","特別価格"
"Specific Coupon","特定のクーポン"
"Status","状態"
"Stop Further Rules Processing","他のクーポンの適用を行わない"
"Store View Specific Labels","ストアビュー固有のラベル"
"Subtotal","小計"
"Subtotal Amount","小計額"
"The rule has been deleted.","クーポンを削除しました。"
"The rule has been saved.","クーポンを保存しました。"
"This rule no longer exists.","このクーポンは存在していません。"
"Times Used","使用回数"
"To Date","終了日"
"To Fixed Value","固定値"
"To Percentage","割合"
"Total","合計"
"Total Amount","合計金額"
"Total Items Quantity","合計商品点数"
"Total Weight","総重量"
"Unable to create requested Coupon Qty. Please check settings and try again.","リクエストされたクーポン枚数を作成できません。設定を見なおしてやり直してください。"
"Unable to find a rule to delete.","削除するクーポンが見つかりません。"
"Update prices using the following information","商品の価格を以下の条件で更新する"
"Update product's %s %s: %s","商品を更新 %s %s: %s"
"Update the Product","商品を更新"
"Use Auto Generation","自動生成を使用する"
"Used","使用済"
"Uses per Coupon","クーポンごとの使用可能数"
"Uses per Customer","顧客ごとの使用可能数"
"Website","ウェブサイト"
"Websites","ウェブサイト"
"Wrong rule specified.","不正なクーポンが指定されました"
"Yes","Yes"
"total amount","合計額"
"total quantity","合計数量"
