Custom,Kundenspezifisch
Close,Close
Cancel,Cancel
Back,Back
Price,Preis
ID,ID
Configure,Configure
No,Nein
Qty,Qty
Subtotal,Zwischensumme
"Incl. Tax","Incl. Tax"
Edit,Edit
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Ja
Status,Status
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Bestellung
View,Ansicht
Active,Active
Position,Position
Dynamic,Dynamisch
N/A,"Nicht zutreffend"
Canceled,Canceled
"General Information","General Information"
Static,Statisch
"Advanced Settings","Advanced Settings"
"Learn More","Erfahren Sie mehr"
"Start Date","Start Date"
"Product Name","Product Name"
"3D Secure Card Validation","3D Secure Card Validation"
"Merchant Liability","Haftbarkeit des Händlers"
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method",Lieferungsart
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie den Allgemeinen Geschäftsbedingungen zu, bevor Sie die Bestellung aufgeben."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
Password,Password
Continue,Continue
"Order #","Order #"
Login,Login
"Shipping Address",Lieferadresse
"Payment Method","Payment Method"
"Place Order","Erteilen Sie den Auftrag"
"Sorry, no quotes are available for this order at this time.","Es tut uns Leid, es gibt derzeit keine Preisangabe für diese Bestellung."
Sales,Verkäufe
Created,Created
Display,Display
User,User
Daily,Täglich
Date,Date
"Order Total","Order Total"
Never,Niemals
Updated,Updated
Reports,Berichte
"Order Status","Order Status"
"View Order","View Order"
Event,Vorgang
"Please Select","Please Select"
"Submitting order information...","Bestellinformationen werden gesendet..."
Authorization,Bewilligung
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements",Rechnungsvereinbarungen
"Reference ID","Reference ID"
"Billing Agreement #%1","Billing Agreement #%1"
"Related Orders","Related Orders"
"Billing Agreement View","Rechnungsvereinbarung Ansicht"
"View Transaction Details","Überweisungsdetails zeigen"
"Reference Information",Referenz-Information
"Transaction Information",Überweisungs-Informationen
"PayPal Fee Information","PayPal Gebühren-Information"
"PayPal Settlement Reports","PayPal Abrechnungsberichte"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Aktualisierungen herunterladen"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Hilfe
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"The following error(s) occured:","The following error(s) occured:"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
