Custom,Personalizado
Close,Close
Cancel,Cancel
Back,Back
Price,Precio
ID,ID
Configure,Configure
No,No
Qty,Qty
Subtotal,Subtotal
"Incl. Tax","Incl. Tax"
Edit,Edit
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Sí
Status,Status
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Encargar
View,Ver
Active,Active
Position,Position
Dynamic,Dinámico
N/A,N/A
Canceled,Canceled
"General Information","General Information"
Static,Estático
"Advanced Settings","Advanced Settings"
"Learn More","Saber más"
"Start Date","Start Date"
"Product Name","Product Name"
"3D Secure Card Validation","3D Secure Card Validation"
"Merchant Liability","Responsabilidad del comerciante"
"Billing Information","Billing Information"
"Shipping Information","Shipping Information"
"Shipping Method","Método de envío"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
Password,Password
Continue,Continue
"Order #","Order #"
Login,Login
"Shipping Address","Dirección de Envío"
"Payment Method","Payment Method"
"Place Order","Hacer pedido"
"Sorry, no quotes are available for this order at this time.","Lamentamos informarle que en este momento no hay cotizaciones disponibles para este pedido."
Sales,Ventas
Created,Created
Display,Display
User,User
Daily,Diario
Date,Date
"Order Total","Order Total"
Never,Nunca
Updated,Updated
Reports,Informes
"Order Status","Order Status"
"View Order","View Order"
Event,Evento
"Please Select","Please Select"
"Submitting order information...","Enviando la información del pedido..."
Authorization,Autorización
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"Note: %1","Note: %1"
"IPN ""%1""","IPN ""%1"""
"Billing Agreements","Contratos de facturación"
"Reference ID","Reference ID"
"Billing Agreement #%1","Billing Agreement #%1"
"Related Orders","Related Orders"
"Billing Agreement View","Ver contrato de facturación"
"View Transaction Details","Ver Detalles de la Transacción"
"Reference Information","Información de Referencia"
"Transaction Information","Información de Transacción"
"PayPal Fee Information","Información de tarifa de PayPal"
"PayPal Settlement Reports","Informes de liquidación de PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?"
"Fetch Updates","Nuevos resultados obtenidos"
button_label,button_label
sandbox_button_label,sandbox_button_label
Help,Ayuda
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"The following error(s) occured:","The following error(s) occured:"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
"View Demo","Vea la demostración"
"See terms","See terms"
"You will be redirected to the PayPal website.","Se le redirigirá al sitio web de PayPal."
