"--Please Select--","--Por favor, seleccione-"
"API Login ID","Id. de inicio de sesión de API"
"Accepted Currency","Moneda Aceptada"
"Authorize.net Direct Post","Enlace directo a authorize.net"
"Card Verification Number","Número de Verificación de Tarjeta"
"Card Verification Number Visual Reference","Referencia visual del número de verificación de tarjeta"
"Close","Cerrar"
"Credit Card Information","Información de la tarjeta de crédito"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Types","Tipos de Tarjeta de Crédito"
"Credit Card Verification","Verificación de Tarjeta de Crédito"
"Debug","Depurar"
"Email Customer","Cliente de correo"
"Enabled","Habilitado"
"Expiration Date","Fecha de Caducidad"
"Gateway URL","URL de la puerta de enlace"
"Maximum Order Total","Total del pedido máximo"
"Merchant MD5","MD5 del comerciante"
"Merchant's Email","Email del comerciante"
"Minimum Order Total","Total del pedido mínimo"
"New Order Status","Estado de los nuevos pedidos"
"Order saving error: %s","Error al guardar el pedido: %s"
"Payment Action","Acción de Pago"
"Payment authorization error.","Error en la autorización de pago."
"Payment authorization error. Transacion id is empty.","Error de autorización del pago. El identificador de transacción está vacío."
"Payment error. Order was not found.","Error de pago. No se encontró el pedido."
"Payment error. Paid amount doesn\'t match the order amount.","Error de pago. El importe pagado no coincide con el importe del pedido."
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Please, choose payment method","Seleccione un método de pago"
"Response hash validation failed. Transaction declined.","Fallo de validación del hash de respuesta. Se rechazó la transacción."
"Sort Order","Orden de selección"
"Test Mode","Modo de prueba"
"The order has been created.","Se ha creado el pedido."
"There was an error processing your order. Please contact us or try again later.","Se produjo un error en el proceso de su pedido. Contacte con nosotros o inténtelo más tarde."
"Title","Título"
"Transaction Key","Clave de transacción"
"What is this?","¿Qué es esto?"
"You will be required to enter your payment details before you place an order.","Se le solicitará que introduzca los detalles de pago antes de realizar un pedido."
