"3D Secure Card Validation","3D Secure Kartenvalidierung"
"Validation failed.","Validierung ist fehlgeschlagen."
"3D Secure Verification Result","3D Secure Verifizierungsergebnis"
"3D Secure Cardholder Validation","3D Secure Karteninhabervalidierung"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure CAVV","3D Secure CAVV"
"3D Secure XID","3D Secure XD"
"Merchant Liability","Haftung für Händler"
"Card Issuer Liability","Haftung für Kartenausteller"
Enrolled,Eingeschrieben
"Enrolled but Authentication Unavailable","Eingeschrieben, aber Authentifizierung nicht verfügbar"
"Not Enrolled","Nicht eingeschrieben"
Successful,Erfolgreich
Failed,Fehlgeschlagen
"Unable to complete","Fertigstellung nicht möglich"
"Successful attempt","Erfolgreicher Versuch"
"Unsupported currency code: %1.","Unsupported currency code: %1."
"Payment information error. Please start over.","Fehler bei Zahlungsinformation. Bitte versuchen Sie es erneut."
"Please verify the card with the issuer bank before placing the order.","Bitte verifizieren Sie die Karte mit der Ausstellerbank bevor Sie die Bestellung durchführen."
"This card has failed validation and cannot be used.","Diese Karte konnte nicht validiert werden und kann nicht benützt werden."
"Verification Successful","Verifizierung erfolgreich"
"Please continue with placing order.","Bitte fahren Sie mit der Bestellung fort."
"Verification Failed","Verifizierung fehlgeschlagen"
"The card has failed verification with the issuer bank.","Die Karte konnte nicht mit der Ausstellerbank verifiziert werden."
"Order cannot be placed.","Bestellung kann nicht durchgeführt werden."
"Verification cannot be processed","Verifizierung kann nicht verarbeitet werden"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Es wurden falsche Zahlungsinformationen abgeschickt, oder Zeitlimit ist abgelaufen. Bitte versuchen Sie es erneut."
"Card Verification",Kartenverifizierung
"Start/Reset Validation...","Validierung starten/zurücksetzen..."
"Please verify the card with the issuer bank:","Bitte verifizieren Sie die Karte mit der Ausstellerbank:"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Es wurden falsche Zahlungsinformationen abgeschickt, oder das Zeitlimit ist abgelaufen. Bitte versuchen Sie es erneut."
"To ensure the security of your transactions","Um die Sicherheit ihrer Transaktionen zu gewährleisten"
"Verified by Visa","Verified by Visa"
"MasterCard SecureCode","MasterCard SecureCode"
Password,Password
"Test Mode","Test Mode"
"Payment Services","Payment Services"
"3D Secure Credit Card Validation","3D Secure Credit Card Validation"
"Processor ID","Processor ID"
"Merchant ID","Merchant ID"
"This overrides any API URL that may be specified by a payment method.","This overrides any API URL that may be specified by a payment method."
"Debug Mode","Debug Mode"
