"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s is toegevoegd aan uw wensenlijst. Klik <a href=""%2$s"">hier</a> om verder te gaan met winkelen."
"%1$s has been updated in your wishlist.","%1$s is geüpdatet in uw wensenlijst."
"%d product(s) have been added to shopping cart: %s.","%d product(en) zijn toegevoegd aan het winkelwagentje: %s."
"%s for ""%s"".","%s voor ""%s""."
"%s has been moved to wishlist %s","%s is verplaatst naar verlanglijstje %s"
"%s's Wishlist","%s's Verlanglijstje"
"* Required Fields","* Vereiste velden"
"Add All to Cart","Voeg Alles Toe aan Winkelwagentje"
"Add to Cart","Aan mandje toevoegen"
"Add to Compare","Voeg toe om te Vergelijken"
"Add to Wishlist","Aan verlanglijst toevoegen"
"Added From","Toegevoegd Vanuit"
"An error occurred while adding item to wishlist.","Er heeft een fout plaatsgevonden tijdens het toevoegen van dit voorwerp in uw wensenlijst."
"An error occurred while adding item to wishlist: %s","Er is een fout opgetreden bij het toevoegen van het item aan het verlanglijstje: %s"
"An error occurred while deleting the item from wishlist.","Er is een fout opgetreden bij het verwijderen van het item van het verlanglijstje: %s"
"An error occurred while deleting the item from wishlist: %s","Er is een fout opgetreden bij het verwijderen van het item van het verlanglijstje."
"An error occurred while updating wishlist.","Er is fout opgetreden in het updaten van uw wensenlijst."
"Are you sure you want to remove this product from your wishlist?","Weet u zeker dat u dit product wilt verwijderen van uw verlanglijstje?"
"Are you sure you would like to remove this item from the wishlist?","Weet u zeker dat u dit item graag van de verlanglijst wilt verwijderen?"
"Back","Terug"
"Can\'t delete item from wishlist","Kan het item niet verwijderen van het verlanglijstje"
"Can\'t save description %s","Kan omschrijving %s niet opslaan"
"Can\'t update wishlist","Kan het verlanglijstje niet updaten"
"Cannot add item to shopping cart","Kan het item niet toevoegen aan het winkelwagentje"
"Cannot add the following product(s) to shopping cart: %s.","Kan de volgende producten niet toevoegen aan winkelwagen: %s."
"Cannot add the item to shopping cart.","Kan het item niet toevoegen aan het winkelwagentje."
"Cannot configure product","Kan product niet aanpassen"
"Cannot load wishlist item","Kan wensenlijst voorwerp niet laden"
"Cannot move item to wishlist","Kan object niet verplaatsen naar verlanglijst"
"Cannot specify product.","Kan Product Niet Specificeren."
"Cannot specify wishlist item.","Kan dit wensenlijst voorwerpen specificeren."
"Cannot specify wishlist.","Kan Wensenlijst Niet Specificeren."
"Cannot update wishlist","Kan Wensenlijst Niet Updaten"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Klik op deze checkbox als u een link naar een RSS feed aan uw wensenlijst wilt toevoegen."
"Click for price","Klik voor de prijs"
"Comment","Commentaar"
"Comment:","Commentaar:"
"Configure Wishlist Item","Pas Wensenlijst Voorwerp aan"
"Configured Price:","Aangepaste Prijs:"
"Could not find such wishlist","Kan niet zo'n verlanglijstje vinden"
"Could not find wishlist","Kon verlanglijstje niet vinden"
"Customer My Account My Wishlist","Klant Mijn Account Mijn Wensenlijst"
"Customer My Account Wishlist Sharing Form","Klant Mijn Account Wensenlijst Deel Formulier"
"Customer Shared Wishlist View","Klant Gedeelde Wensenlijst Zien"
"Date Added","Datum Toegevoegd"
