" for more information or "," いただくか、もしくは右のアドレスに "
"# of Items (and above)","件の商品 (とそれ以上)"
"# of Items vs. Destination","商品点数と配送先"
"Allow Shipping to Multiple Addresses","複数配送を許可"
"An error occurred while import table rates.","配送料金表をインポート中にエラーが発生しました。"
"Calculate Handling Fee","手数料を計算"
"Carrier:","配送業者:"
"City","市区町村"
"Close Window","ウインドウを閉じる"
"Condition","条件"
"Country","国"
"Custom Value","Custom Value"
"Date","日付"
"Delivered on:","配達経由:"
"Delivered to:","配達先:"
"Description","概要"
"Displayed Error Message","エラーメッセージ表示"
"Divide to equal weight (one request)","同じ重さで分割 (1リクエスト)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","重複した行 #%s (国 ""%s"", 都道府県 ""%s"", 郵便番号 ""%s"" ,値 ""%s"")."
"Enabled","有効"
"Error:","エラー:"
"Export","エクスポート"
"File has not been imported. See the following list of errors: %s","ファイルはインポートされませんでした。以下のエラーリストを確認してください: %s"
"Fixed","固定"
"Flat Rate","定額"
"Free Shipping","送料無料"
"Google Sitemap Section","Googleサイトマップセクション"
"Handling Fee","手数料"
"Import","インポート"
"Include Virtual Products in Price Calculation","仮想商品を配送料計算に含める"
"Info:","情報:"
"Invalid %s ""%s"" in the Row #%s.","不正な %s ""%s"" 行 #%s."
"Invalid Country ""%s"" in the Row #%s.","不正な国 ""%s"" 行 #%s."
"Invalid Region/State ""%s"" in the Row #%s.","不正な都道府県 ""%s"" 行 #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","不正な配送料金 ""%s"" 行 #%s."
"Invalid Table Rate code for type %s: %s","不正なレートコードです %s: %s"
"Invalid Table Rate code type: %s","不正なレートコードです: %s"
"Invalid Table Rates File Format","不正な税率ファイルフォーマットです"
"Invalid Table Rates format in the Row #%s","不正な配送料金表の行 #%s"
"Local Time","現地時間"
"Location","場所"
"Maximum Qty Allowed for Shipping to Multiple Addresses","複数配送で許可する最大個数"
"Method Name","配送方法名"
"Minimum Order Amount","最小注文金額"
"N/A","該当無し"
"None","なし"
"Options","オプション"
"Order Subtotal (and above)","注文小計"
"Origin","発送元"
"Per Order","注文ごと"
"Per Package","パッケージごと"
"Percent","パーセント"
"Price","価格"
"Price vs. Destination","価格と配送先"
"Region/State","地域"
"Service Type:","サービスタイプ:"
"Ship to Applicable Countries","利用可能な国にのみ配送する"
"Ship to Specific Countries","特定の国にのみ配送する"
"Shipment #","配送番号"
"Shipment Tracking Popup","配送追跡ポップアップ"
"Shipped or billed on:","配送もしくは請求経由:"
"Shipping Methods","配送方法"
"Shipping Methods Section","配送方法欄"
"Shipping Settings","配送設定"
"Shipping Settings Section","配送設定欄"
"Show Method if Not Applicable","配送方法が利用できない場合でも表示する"
"Signed by:","サイン:"
"Sort Order","並び順"
"Status:","状態:"
"Store Pickup","店舗ピックアップ"
"Street Address","番地"
"Street Address Line 2","番地2"
"Table Rates","料金表"
"The shipping module is not available for selected delivery country.","この配送方法は配送先の国ではご利用いただけません。"
"The shipping module is not available.","配送モジュールは利用できません"
"There is no tracking available for this shipment.","この配送では追跡できません"
"There is no tracking available.","荷物追跡は利用できません。"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","この配送方法は現在利用できません。この方法での配送が必要であれば、お問い合わせください。"
"This shipping method is not available, please specify ZIP-code","この配送方法は利用できません。郵便番号を入力してください。"
"Title","タイトル"
"Track:","追跡:"
"Tracking Information","荷物追跡情報"
"Tracking Number:","追跡番号:"
"Tracking information is currently not available. Please ","追跡情報は現在利用できません。"
"Tracking information is currently unavailable.","追跡情報は現在利用できません。"
"Type","タイプ"
"Use origin weight (few requests)","元の重量を使用 (2,3のリクエスト)"
"Weight (and above)","重量"
"Weight vs. Destination","重量と配送先"
"Weight:","重量: "
"ZIP/Postal Code","郵便番号"
"contact us","お問い合わせ"
"email us at ","メールしてください"
