" for more information or ",欲知详情或
"# of Items (and above)","# 商品（上述）"
"# of Items vs. Destination","# 商品 vs. 目标"
"All Allowed Countries",所有允许的国家
"Allow Shipping to Multiple Addresses",允许发送到多个地址
"Calculate Handling Fee",计算的手续费
"Cannot add new comment.",无法添加新评论。
"Cannot add tracking number.",无法追踪编号。
"Cannot delete tracking number.",无法删除追踪编号。
"Cannot do shipment for the order separately from invoice.",无法将产品与发票分开发送。
"Cannot do shipment for the order.",无法对该订单发货。
"Cannot initialize shipment for adding tracking number.",无法初始化订单以添加追踪编号。
"Cannot initialize shipment for delete tracking number.",无法初始化发货以删除追踪编号。
"Cannot load track with retrieving identifier.",无法用获取的标识符加载追踪。
"Cannot save shipment.",无法保存运送。
"Cannot send shipment information.",无法发送运行信息。
Carrier:,运营商：
City,城市
"Close Window",关闭窗口
Condition,条件
Country,国家
"Custom Value",自定义值
Date,日期
"Delivered on:",发布于：
"Delivered to:",发布至：
Description,描述
Development,开发
"Displayed Error Message",显示的错误信息
"Divide to equal weight (one request)",拆分为相等重量（申请一次）
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","重复行 #%1（国家 ""%2""， 地区/州 ""%3""， 邮编 ""%4"" ，以及值 ""%5""）。"
Enabled,已启用
Error:,错误：
Export,导出
Fixed,固定
"Flat Rate",扁平费率
"Free Shipping",免运费
"Handling Fee",处理费
Import,导入
"Include Virtual Products in Price Calculation",计算的价格中包含虚拟产品
Info:,信息：
Live,动态
"Local Time",本地时间
Location,位置
"Maximum Qty Allowed for Shipping to Multiple Addresses",为多地址运送的最大数量
"Method Name",方法的名称
"Minimum Order Amount",最小订单数量
N/A,N/A
"New Shipment for Order #%1","订单 #%1 的新运单"
"No detail for number ""%1""","编号 ""%1"" 无详情"
"No packages for request",无所请求的包裹
None,无
Options,选项
"Order # %1","订单 # %1"
"Order Subtotal (and above)",订单小计（以上）
Origin,原始
"Per Item",每商品
"Per Order",每订单
"Per Package",每个包裹
Percent,百分之
"Please correct %1 ""%2"" in the Row #%3.","请在行#%3纠正%1 ""%2""。"
"Please correct Country ""%1"" in the Row #%2.","请在行#%2纠正国家""%1""。"
"Please correct Region/State ""%1"" in the Row #%2.","请在行#%2纠正地区/州""%1""。"
"Please correct Shipping Price ""%1"" in the Row #%2.","请在行#%2纠正运送价格""%1""。"
"Please correct Table Rate code for type %1: %2.","请纠正类型%1： %2的表费率代码。"
"Please correct Table Rate code type: %1.","请纠正表费率代码类型： %1。"
"Please correct Table Rates File Format.",请纠正货运费率表文件格式。
"Please correct Table Rates format in the Row #%1.",请在行#%1纠正表费率格式。
"Please enter a tracking number.",请输入追踪号。
"Please select products.",请选择产品。
"Please specify a carrier.",请指定一个承运商。
Price,价格
"Price vs. Destination","价格 vs. 目标"
Region/State,地区/州
"Service Type:",服务类型：
"Ship to Applicable Countries",发送到适用的国家
"Ship to Specific Countries",发送到指定国家
"Shipment #",送货单号
"Shipment History",运送历史
"Shipped or billed on:",发送或扣款于：
"Shipping & Handling Information",运单和处理信息
"Shipping Methods",运送方式
"Shipping Methods Section",发送方法选择
"Shipping Price",运费
"Shipping Settings",发送设置
"Shipping Settings Section",发送设置区域
"Show Method if Not Applicable",如果不可用，显示其他方法
"Signed by:",签名者：
"Something went wrong while importing table rates.",导入费率表发生错误。
"Sorry, but we can't deliver to the destination country with this shipping module.",很抱歉，该货运模块不支持运送到目的地国家。
"Sort Order",排序顺序
"Specific Countries",指定国家
Status:,状态：
"Store Pickup",店铺取货
"Street Address",街道地址
"Street Address Line 2",街道地址第二行
"Table Rates",表费率
"The order no longer exists.",该订单已不存在。
"The order was placed using %1.",用%1来下单。
"The shipment has been created.",货物已被创建。
"The shipping module is not available.",运送模块不可用。
"There are no shipping labels related to selected orders.",没有与选择订单关联的运送标签。
"There are no shipping labels related to selected shipments.",没有与选择运单关联的运送标签。
"There is no tracking available for this shipment.",此运送条目无可用的状态追踪。
"There is no tracking available.",没有可用的追踪。
"This shipping method is not available. Please specify the zip code.",无效的货运方法，请指定邮政编码。
"This shipping method is not available. To use this shipping method, please contact us.",无效的货运方法。为了使用该货运方法，请联系我们。
Title,标题
Track:,追踪：
"Tracking Information",追踪信息
"Tracking Number:",追踪号码：
"Tracking information is currently not available. Please ",追踪信息当前不可用。请
"Tracking information is not available. Please ",无效的追踪信息
"Tracking information is unavailable.",无效的追踪信息。
Type,类型
"USPS domestic shipments don't use package types.",USPS内部运单不使用包裹类型。
"Use origin weight (few requests)",使用原始重量（较少请求）
"We couldn't import this file because of these errors: %1",由于错误%1，不能导入该文件
"We don't have enough information to create shipping labels. Please make sure your store information and settings are complete.",没有足够的信息创建货运标签，请确保设置了完整的店铺信息。
"Weight (and above)",重量（和以上）
"Weight vs. Destination","重量 vs. 目的地"
Weight:,重量：
"You created the shipping label.",您创建了运送标签。
"You sent the shipment.",您已经发出该运单。
"ZIP/Postal Code",邮政编码
"contact us",联系我们
"email us at ",发送电子邮件给我们：
