All,全部
Close,关闭
Products,产品
Apply,应用
"Design Theme","Design Theme"
"-- Please Select --","-- 请选择 --"
"Sort Order",排序顺序
"Save and Continue Edit",保存并继续编辑
Type,类型
Page,页面
label,label
"Frontend Properties",前端属性
Categories,分类
name,name
Continue,继续
CMS,CMS
%1,%1
"Open Chooser",打开选择器
Settings,设置
Template,模板
"Not Selected",非所选
"Widget Insertion",小工具插入
"Insert Widget",插入小工具
Choose...,选择...
Widget,小工具
"Widget Type",小工具类型
"Manage Widget Instances",管理小工具实例
"Add New Widget Instance",添加新小工具实例
"Widget ""%1""","Widget ""%1"""
"New Widget Instance",新小工具实例
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Design Package/Theme","设计 包裹/主题"
"Widget Instance Title",小工具实例标题
"Assign to Store Views",分配到店铺视图
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates",布局更新
"Anchor Categories",锚点分类
"Non-Anchor Categories",非锚点分类
"All Product Types",所有产品类型
"Generic Pages",通用页面
"All Pages",所有页面
"Specified Page",指定的页面
"Add Layout Update",添加布局更新
"Remove Layout Update",删除布局更新
"Widget Options",小工具选项
"Widget Instance",小工具实例
"Please specify a Widget Type.","Please specify a Widget Type."
"Frontend Apps","Frontend Apps"
"Please specify a correct widget.","Please specify a correct widget."
"New Frontend App Instance","New Frontend App Instance"
"The widget instance has been saved.",该小工具实例已被保存。
"The widget instance has been deleted.",该小工具实例已被删除。
description,description
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
Container,Container
"Specific %1","Specific %1"
"Widget ID",小工具ID
