"10 minutes","10 minuten"
"15 minutes","15 minuten"
"20 minutes","20 minuten"
"30 minutes","30 minuten"
"5 minutes","5 minuten"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (ingeplande taken) - alle tijden zijn in minuten"
"Daily","Dagelijks"
"Failure History Lifetime","Foute geschiedenis levenstijd"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Voor correcte URLs, gegenereerd gedurende cron processen, zorgt u ervoor dat Web > zekere en onzekere basis URLs expliciet zijn ingesteld."
"Generate Schedules Every","Maak schema's elke"
"History Cleanup Every","geschiedenis schoonmaak elke"
"Hourly","Ieder uur"
"Invalid callback: %s::%s does not exist","Onjuiste callback, %s::%s bestaat niet"
"Invalid model/method definition, expecting ""model/class::method"".","Onjuist model/methode definitie, ik verwacht ""model/class::method""."
"Minute Intervals","1 minuut interval"
"Missed if Not Run Within","Gemist indien geen loop van binnen"
"Monthly","Maandelijks"
"No callbacks found","Geen callbacks gevonden"
"Schedule Ahead for","Plan vooruit voor"
"Success History Lifetime","Succesgeschiedenis levensduur"
"Too late for the schedule.","Te laat voor schema."
"Unable to delete the cron task.","Kon de cron taak niet verwijderen."
"Unable to save the cron expression.","Niet in staat om de cron expressie op te slaan."
"Unknown error.","Onbekende fout."
"Weekly","Wekelijks"
