" in rows: ","em linhas:"
"-- Please Select --","- Por Favor Selecione -"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptador deve ser uma instância de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","Tipo de adaptador deve ser uma sequência não vazia"
"Can not determine attribute filter type","Não pode determinar o tipo de atributo de filtro"
"Can not find required columns: ","Não é possível encontrar colunas necessárias:"
"Can not get autoincrement value","Não pode obter o valor de autoincremento"
"Check Data","Verificar Dados"
"Column names have duplicates","Nomes de coluna têm duplicados"
"Column names is empty or is not an array","Nomes de coluna estão vazios ou não em série"
"Column names: ""%s"" are invalid","Nomes de colunas: ""%s"" são inválidos"
"Continue","Continue"
"Data is invalid or file is not uploaded","Dados são inválidos ou arquivo não está carregado"
"Destination directory is not writable","Diretório de destino não é gravável"
"Destination file is not writable","Arquivo de destino não é gravável"
"Destination file path must be a string","Caminho do arquivo de destino deve ser uma sequência"
"Entity Attributes","Atributos da entidade"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Objeto adaptador da entidade deve ser uma instância de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entidade desconhecida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Modelo de tipo de entidade deve ser uma instância de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Modelo de tipo de entidade deve ser uma instância de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados: os comportamentos estão misturados"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados: os códigos de entidade estão misturados"
"Export","Exportar"
"Export FAQ","FAQ de Exportação"
"FAQ","FAQ"
"File does not contain data. Please upload another one","Arquivo não contém dados. Por favor envie outro"
"File format is unknown","Formato de arquivo é desconhecido"
"File is partially valid, but import is not possible","Arquivo é parcialmente válido, mas a importação não é possível"
"File is totally invalid. Please fix errors and re-upload file","Arquivo é totalmente inválido. Por favor corrija os erros e recarregue arquivos"
"File is valid! To start import process press ""Import"" button","Arquivo é válido! Para iniciar o processo de importação carregue no botão ""Importar"""
"File is valid, but import is not possible","Arquivo é válido, mas a importação não é possível"
"Header column names already set","Nomes das colunas de cabeçalho já estão definidos"
"Import","Importar"
"Import / Export FAQ (Frequently Asked Questions)","FAQ (Questões Frequentemente Perguntadas) Importação/Exportação"
"Import FAQ","FAQ Importação"
"Import successfully done.","Importação feita com sucesso."
"Import/Export","Importação/Exportação"
"In/Out","Entrada/Saída"
"Input entity code is not equal to entity adapter code","Código de entrada da entidade não é igual ao código de adaptador da entidade"
"Invalid entity","Entidade inválida"
"Invalid file format","Formato de arquivo inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição inválida de busca"
"Invalid value for '%s'","Valor inválido para ""%s"""
"No filter data provided","Dados fornecidos não filtrados"
"No source specified","Nenhuma fonte especificada"
"No valid data sent","Não há dados válidos de envio"
"No writer specified","Nenhum escritor especificado"
"Node does not has model token tag","Nó não tem modelo de marca simbólico"
"Not implemented yet","Ainda não implementado"
"Please fix errors and re-upload file","Corrija os erros e carregue novamente o arquivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Corrija os erros e carregue novamente o arquivo, ou simplesmente pressione o botão ""Importar"" para pular as linhas com erros"
"Some other FAQ","Alguns outros FAQs"
"Source file moving failed","Falha na movimentação do arquivo fonte"
"Source file path must be a string","O caminho do arquivo fonte deve ser uma sequência de caracteres"
"Source is not set","A fonte não está definida"
"Status","Status"
"System busy","Sistema ocupado"
"There are no product types available for export","Não há tipos de produto disponíveis para exportação"
"Total size of uploadable files must not exceed %s","O tamanho total dos arquivos a serem carregados não deve exceder %s"
"Uploaded file has no extension","O arquivo carregado não possui extensão"
"Validation Results","Resultados de Validação"
