"Abandoned Carts","Verlaten winkelwagens"
"Abandoned carts","Verlaten winkelmanden"
"Action","Actie"
"Add to Cart","Aan mandje toevoegen"
"Add to Compare","Voeg toe om te Vergelijken"
"Add to Wishlist","Aan verlanglijst toevoegen"
"Any","Iedere"
"Applied Coupon","Gebruikte kortingsbon"
"Applies to Any of the Specified Order Statuses","Van toepassing op elk van de gespecificeerde bestellingsstatussen"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Weet u zeker dat u de levensduur statistieken wilt verversen? Deze operatie kan de performantie negatief beïnvloeden."
"Are you sure?","Weet u het zeker?"
"Avg. Approved Rating","Gem. goede beoordeling"
"Avg. Rating","Gem. beoordeling"
"Bestsellers","Bestsellers"
"Bought from wishlists","Gekocht van verlanglijstjes"
"CSV","CSV"
"Carts","Mandjes"
"Catalog Category (Without Subcategories)","Catalogus categorie (zonder subcategorieën)"
"Compared Products Grid Template","Vergeleken producten rooster sjabloon"
"Compared Products List Template","Vergeleken producten lijst sjabloon"
"Coupons","Waardebonnen"
"Coupons Usage Report","Kortingsbonnengebruik verslag"
"Created At","Gecreëerd op"
"Current Month Starts","Huidige maand begint"
"Customer","Klant"
"Customer Name","Naam klant"
"Customer Tags","Klantenlabels"
"Customers","Klanten"
"Customers Report","Klantenverslag"
"Customers Reviews","Klantenrecensies"
"Customers Tags","Klantenlabels"
"Customers by Number of Orders","Klanten op volgorde van aantal bestellingen"
"Customers by Orders Total","Klanten op volgorde van totaal bestellingen"
"Customers by number of orders","Klanten op aantal bestellingen"
"Customers by orders total","Klanten op totaal bestellingen"
"Customers that have wishlist: %s%","Klanten die een verlanglijstje hebben: %s%"
"Dashboard","Dashboard"
"Day","Dag"
"Default Recently Compared Products Count","Standaard aantal recent vergeleken producten"
"Default Recently Viewed Products Count","Standaard aantal recent bekeken producten"
"Description","Beschrijving"
"Detail","Detail"
"Downloads","Downloads"
"Email","Email"
"Empty Rows","Lege rijen"
"Excel XML","Excel XML"
"Filter","Filter"
"First Name","Voornaam"
"From","Van"
"Guest","Gast"
"Hits","Bezoeken"
"ID","ID"
"IP Address","IP Adres"
"Index model name must be defined","Indexnaam van het model moet gedefinieerd worden."
"Invalid date specified.","Ongeldige datum opgegeven."
"Invoiced","Gefactureerd"
"Items in Cart","Items in Winkelwagentje"
"Last Name","Achternaam"
"Last Review","Laatste Beoordeling"
"Link","Link"
