"%s","%s"
"%s already exist.","%s bestaan al."
"%s already exists.","%s bestaat al."
"-- Please Select --","-- Selecteer a.u.b.--"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Waarschuwing!</strong> Als u CDN gebruikt, loopt JavaScript soms niet goed als CDN niet in uw subdomein is"
"A category object is required for determining the product request path.","Een categorie object is vereist om product verzoek pad te bepalen."
"Add Block Names to Hints","Voeg Namen Blokkeren toe aan Hints"
"Add Secret Key to URLs","Voeg Geheime Toets toe aan URL's"
"Add Store Code to Urls","Voeg Opslag Code toe aan URL's"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin Gebruiker E-mails"
"Advanced","Gevorderd"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Na het selecteren van een nieuwe media opslagplaats, druk op de synchronisatiekonp om alle media naar die locatie te brengen. Media is pas beschikbaar op de nieuwe locatie als het synchronisatieproces voltooid is."
"Allow Countries","Sta Landen toe"
"Allow Symlinks","Sta Symlinks toe"
"Allowed IPs (comma separated)","Toegestane IP's (gescheiden door komm's)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Toegestane bestandstypes: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Niet alle browsers ondersteunen deze formaten!"
"Allows customers to stay logged in when switching between different stores.","Staat klanten toe ingelogd te blijven tijdens het switchen tussen verschillende winkels"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternatieve tekst voor volgende link in paginatie menu. Als het leeg is, wordt vaststaande afbeelding gebruikt."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternatieve tekst voor vorige link in paginatie menu. Als het leeg is, wordt vaststaande afbeelding gebruikt."
"An error occurred while saving. Please review the error log.","Er is een fout opgetreden tijden het opslaan. Bekijk a.u.b. het error log."
"Anchor Text for Next","Ankertekst voor Volgende"
"Anchor Text for Previous","Ankertekst voor Vorige"
"Anchor symbol (#) is not supported in request path","Ankersymbool (#) wordt niet ondersteund in gevraagd pad"
"Anchor symbol (#) is not supported in url rewrite suffix","Anker symbool (#) is niet ondersteund in URL herschrijvings toevoeging"
"Are you sure?","Weet u het zeker"
"Auto-redirect to Base URL","Stuur automatisch door naar basis URL"
"Back","terug"
"Backup Options","Backup opties"
"Base JavaScript URL","Basis JavaScript URL"
"Base Link URL","Basis link URL"
"Base Media URL","Basis media URL"
"Base Secure URL","Basis Veilige URL"
"Base Skin URL","Basis thema URL"
"Base URL","Basis URL"
"Base Unsecure URL","Basis Onveilige URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Voordat u de winkelweergave bewerkt moet u er eerst zeker van zijn dat het niet gebruikt wordt in index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Voordat u de code van de website bewerkt, moet u er eerst zeker van zijn dat het niet gebruikt wordt in index.php."
"Block with name ""%s"" already exists","Blokkering met de naam ""%s"" bestaat reeds."
"Browser Capabilities Detection","Browser capabiliteiten detectie"
"CSS Settings","CSS instellingen"
"Cache Storage Management","Cache opslag beheer"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache opslag kan toevoegende data bevatten. Weet u zeker dat u het wilt verwijderen?"
"Can not create invoice. Order was not found.","Kan geen rekening maken. Bestelling is niet gevonden."
"Can't retrieve request object","Kan gevraagde object niet vinden."
"Can\'t retrieve entity config: %s","Kan geen entiteit configuratie %s verkrijgen."
"Cancel","annuleer"
"Cannot complete this operation from non-admin area.","Kan deze operatie vanuit geen-admin gedeelte niet voltooien."
"Card type does not match credit card number.","Kaarttype komt niet overeen met het nummer van de credit card."
"Code","Code"
"Controller file was loaded but class does not exist","Beheerbestand is geladen, maar de klasse bestaat niet"
"Cookie Domain","cookie domein"
"Cookie Lifetime","cookie levensduur"
"Cookie Path","cookie pad"
"Cookie Restriction Mode","Cookie Restrictie Modus"
"Copyright","copyright"
"Core","Kern"
"Countries Options","landen opties"
"Country","Land"
"Create Store","creëer winkel"
"Create Store View","creëer winkelweergave"
"Create Website","creëer website"
"Credit card number does not match credit card type.","creditcardnummer komt niet overeen met creditcardtype"
"Current Package Name","huidige pakketnaam"
"Custom Admin Path","aangepast administratiepad"
"Custom Admin URL","Aangepaste Admin URL"
"Custom Design","Aangepast ontwerp"
"Custom Email 1","aangepaste Email 1"
"Custom Email 2","Aangepaste Email 2"
"Custom Variables","Aangepaste variabelen"
"Custom1 Contact Email","Klandizie1 Contact E-mail"
"Custom1 Contact Name","Klandizie1 Contact Naam"
"Custom2 Contact Email","Klandizie2 Contact E-mail"
"Custom2 Contact Name","Klandizie2 Contact Naam"
"Customer Support","Klantenservice"
"Dashboard","Dashboard"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Date/time format ""%s"" is not supported.","Datum/Tijd formaat ""%s"" wordt niet ondersteund."
"Debug","Debug"
"Default","standaard"
"Default Country","Standaardland"
"Default Description","Standaardomschrijving"
"Default Keywords","Standaard sleutelwoorden"
"Default No-route URL","Standaard geen-route URL"
"Default Pages","Standaard pagina's"
"Default Robots","Standaard robots"
"Default Store","Standaard winkel"
"Default Store View","Standaard winkelweergave"
"Default Title","Standaardtitel"
"Default Web URL","Standaard web URL"
"Delete","Verwijder"
"Delete Store","Standaard winkel"
"Delete Store View","Verwijder winkelweergave"
"Delete Website","Verwijder website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Het verwijderen van %1$s zal niet de informatie verwijderen die geassocieerd wordt met %1$s (b.v. categorieën, producten, etc.) maar de %1$s data zal niet worden hersteld. Wij suggesteren dat u een backup maakt van de database voordat u de %1$s verwijdert."
"Design","Ontwerp"
"Design Change","Ontwerp verandering"
"Developer","Ontwerper"
"Developer Client Restrictions","Ontwerper klant restricties"
"Disable Email Communications","zet email communicaties uit"
"Disable Modules Output","Zet modules output uit"
"Display Demo Store Notice","Toon demo winkel notitie"
"Duplicate Of Template Name","Dubbele template naam"
"Edit Design Change","Bewerk ontwerp verandering"
"Edit Store","Bewerk winkel"
"Edit Store View","Bewerk winkelweergave"
"Edit Website","Bewerk website"
"Empty identifier field name","Lege identificeerder veldnaam"
"Empty main table name","Lege basis tabel naam."
"Enable Charts","Stel lijsten in"
"Enabled","Werkzaam gemaakt"
"Enabled for Admin","Ingesteld voor administrateur"
"Enabled for Frontend","Ingesteld voor voorkant"
"Environment Update Time","Milieu update tijd"
"Error in file: ""%s"" - %s","Fout in bestand ""%s""- %s"
"European Union Countries","EU-landen"
"Exceptions Log File Name","Uitzonderingen log bestand naam"
"Favicon Icon","Favicon Icoon"
"File %s does not exist","Bestand %s bestaat niet"
"File %s is not readable","Bestand %s is niet leesbaar"
"File not found","Bestand niet gevonden"
"File system","Bestandssysteem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Bestand met de uitgang ""%value%"" is beschermd en kan niet worden geüpload."
"First Day of Week","Eerste dag van de week"
"Flush Cache Storage","Verwijder cache opslag"
"Flush Magento Cache","Leeg Magento Cache"
"Footer","Voet"
"Forgot Password Email Sender","Wachtwoord vergeten e-mailverzender"
"Forgot Password Email Template","Vergeten wachtwoord email thema"
"General","Algemeen"
"General Contact","Algemeen contact"
"General Contact Email","Algemeen Contact E-mail"
"General Contact Name","Algemeen Contact Naam"
"General Settings","Algemene instellingen"
"Global","Wereldwijd"
"HTML Head","HTML head"
"HTML tags are not allowed","HTML tags zijn niet toegestaan"
"Header","Header"
"Host","Host"
"How many links to display at once.","Hoeveel links in één keer weer te geven."
"ID Path for Specified Store","ID Pad voor Gespecificeerde Winkel"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Als de huidige frame positie de uiterste pagina's niet dekt wordt een een link aangemaakt tot aan de huidige positie plus/minus deze waarde."
"Incorrect credit card expiration date.","Onjuiste creditcard vervaldatum."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" niet gevonden in de input type lijst."
"Invalid base url type","Ongeldig basis url type"
"Invalid block name to set child %s: %s","Ongeldig blok naam om child %s op te zetten: %s"
"Invalid block type: %s","Ongeldig bloktype: %s"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid connection","ongeldige verbinding"
"Invalid layout update handle","Ongeldige layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Ongeldige berichten opgeslagen ""%s"" voor layout bericht initialisatie"
"Invalid query","Ongeldige zoekopdracht"
"Invalid transactional email code: ","Ongeldige transactie email code:"
"Invalid website\'s configuration path: %s","Ongeldig website configuratie pad: %s"
"JavaScript Settings","JavaScript Instellingen"
"Layout","layout"
"Leave empty for access from any location.","Laat leeg voor toegang vanaf iedere locatie."
"List of stores","Lijst met winkels"
"Locale","Lokaal"
"Locale Options","Lokale Opties"
"Log Settings","Log Instellingen"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging van Mage::log(). Bestand bevindt zich in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging van Mage::logException(). Bestand bevindt zich in {{base_dir}}/var/log"
