"""Remember Me"" Default Value","""Onthoud me"" standaardwaarde"
"(Not %s?)","(Niet %s?)"
"* Required Fields","* Vereiste velden"
"Address","Adres"
"Address Information","Adresgegevens"
"Already registered?","Al ingeschreven?"
"Back","Terug"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken bij onze winkel, kunt u sneller afrekenen, meerdere verzendadressen opgeven, uw bestellingen bekijken en tracken en meer."
"Cannot load configuration from file %s.","Kan configuratie van bestand %s niet laden."
"Checkout as Guest","Als een gast betalen"
"Checkout as a Guest or Register","Betaal als Gast of Schrijf in"
"City","Stad"
"Clear Persistence on Log Out","Verwijder persistentie bij het uitloggen"
"Close","Sluiten"
"Company","Bedrijf"
"Confirm Password","Bevestig wachtwoord"
"Continue","Doorgaan"
"Country","Land"
"Create an Account","Een account aanmaken"
"Easy access to your order history and status","Gemakkelijke toegang tot uw bestelgeschiedenis en -status"
"Email Address","e-mailadres"
"Enable ""Remember Me""","Zet ""Onthoud mij"" aan"
"Enable Persistence","Persistentie aanzetten"
"Fast and easy check out","Snelle en gemakkelijk betalingen"
"Fax","Fax"
"Forgot Your Password?","Uw Wachtwoord Vergeten?"
"Forgot your password?","Uw wachtwoord vergeten?"
"General Options","Algemene opties"
"If you have an account with us, please log in.","Als u een account bij ons heeft, logt u dan alstublieft in."
"Loading next step...","Volgende stap aan het laden..."
"Login","Log in"
"Login Information","Log in Gegevens"
"Login or Create an Account","Log in of Maak een Account aan"
"New Customers","Nieuwe Klanten"
"Password","Wachtwoord"
"Persist Shopping Cart","Blijvend winkelmandje"
"Persistence Lifetime (seconds)","Duur winkelmandje (seconden)"
"Persistent Shopping Cart","Blijvend winkelmandje"
"Personal Information","Persoonlijke Informatie"
"Please log in below:","Log hieronder in"
"Please select region, state or province","Selecteer a.u.b. uw provincie"
"Register","Registreer"
"Register and save time!","Registreer en bespaar tijd!"
"Register to Create an Account","Registreer om een Account aan te maken"
"Register with us for future convenience:","Registreer bij ons voor verder gemak"
"Registered Customers","Geregistreerde Klanten"
"Remember Me","Onthoud me"
"Save in address book","Sla op in adresboek"
"Select State/Province...","Selecteer Provincie"
"Select a billing address from your address book or enter a new address.","Selecteer rekeninggegevens uit uw adresboek of voer nieuwe gegevens in"
"Ship to different address","Verzend naar ander adres"
"Ship to this address","Verzend naar dit adres"
"Shopping cart has been updated with appropriate prices","Het winkelkarretje is bijgewerkt met de juiste prijzen."
"Sign Up for Newsletter","Schrijf in voor Nieuwsbrief"
"State/Province","Staat/Provincie"
"Street Address","Adres straat"
"Street Address %s","Straatnaam en huisnummer %s"
"Submit","Bevestig"
"Telephone","Telefoon"
"To proceed to Checkout, please log in using your email address.","Om verder te gaan naar Checkout, gelieve in te loggen met uw email adres."
"VAT Number","BTW nummer"
"Welcome, %s!","Welkom, %s!"
"What\'s this?","Wat is dit?"
"Zip/Postal Code","Zip/Postcode"
