" for more information or ","für mehr Information oder"
"# of Items (and above)","Anzahl (und höher)"
"# of Items vs. Destination","Anzahl zu Destination"
"Allow Shipping to Multiple Addresses","Lieferung an Mehrere Adressen Erlauben"
"An error occurred while import table rates.","Während des Imports der Kostentabelle trat ein Fehler auf."
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Carrier:","Transport:"
"City","Stadt"
"Close Window","Fenster Schließen"
"Condition","Bedingung"
"Country","Land"
"Custom Value","Zollwert"
"Date","Datum"
"Delivered on:","Geliefert am:"
"Delivered to:","Geliefert an:"
"Description","Beschreibung"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Divide to equal weight (one request)","Auf gleiches Gewicht verteilen (eine Anfrage)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Zeile duplizieren #%s (Land""%s"", Region/Bundesland ""%s"", PLZ ""%s"" und  Wert ""%s"")."
"Enabled","Aktiviert"
"Error:","Fehler:"
"Export","Export"
"File has not been imported. See the following list of errors: %s","Die Datei konnte nicht importiert werden. Vgl. die folgende Fehlerliste: %s"
"Fixed","Fix"
"Flat Rate","Pauschaltarif:"
"Free Shipping","Versandkostenfrei"
"Google Sitemap Section","Google-Sitemap-Sektion"
"Handling Fee","Bearbeitungsgebühren"
"Import","Import"
"Include Virtual Products in Price Calculation","Virtuelle Produkte in Preiskalkulation miteinbeziehen"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s.","%s ""%s"" ungültig in Zeile #%s."
"Invalid Country ""%s"" in the Row #%s.","Ungültiges Land ""%s"" in Zeile #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Ungültige Region/Bundesland ""%s"" in Zeile #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Ungültiger Lieferpreis ""%s"" in Zeile #%s."
"Invalid Table Rate code for type %s: %s","Ungültiger Tabellenraten-Code für Typ %s: %s"
"Invalid Table Rate code type: %s","Ungültiger Tabellenraten-Code des Typs: %s"
"Invalid Table Rates File Format","Ungültiges Tabellenraten-Dateiformat"
"Invalid Table Rates format in the Row #%s","Ungültiges Format für Tabellenwerte in Zeile #%s"
"Local Time","Ortszeit"
"Location","Ort"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Erlaubte Höchstanzahl für Lieferung an Mehrere Adressen"
"Method Name","Methodenname"
"Minimum Order Amount","Mindestmenge für Bestellung"
"N/A","Nicht verfügbar"
"None","Keine"
"Options","Optionen"
"Order Subtotal (and above)","Bestellungszwischensumme (und höher)"
"Origin","Ursprung"
"Per Order","Auf Bestellung"
"Per Package","Pro Paket"
"Percent","Prozent"
"Price","Preis"
"Price vs. Destination","Preis zu Destination"
"Region/State","Region/Bundesland"
"Service Type:","Dienstleistungstyp:"
"Ship to Applicable Countries","Versand in zutreffende Länder"
"Ship to Specific Countries","Versand in angegebene Länder"
"Shipment #","Lieferung #"
"Shipment Tracking Popup","Lieferungs-Tracking-Popup"
"Shipped or billed on:","Geliefert und in Rechnung gestellt an:"
"Shipping Methods","Lieferungsmethoden"
"Shipping Methods Section","Lieferungsmethoden-Sektion"
"Shipping Settings","Lieferungsoptionen"
"Shipping Settings Section","Lieferungsoptionen-Sektion"
"Show Method if Not Applicable","Wenn nicht anwendbar, Verfahren anzeigen"
"Signed by:","Unterschrieben von:"
"Sort Order","Sortierreihenfolge"
"Status:","Status:"
"Store Pickup","Abholung"
"Street Address","Anschrift (Straße, Hausnummer, PLZ)"
"Street Address Line 2","Adressangabe Straße Zeile 2"
"Table Rates","Tabellenraten"
"The shipping module is not available for selected delivery country.","Dieses Lieferungsmodul ist für das ausgewählte Lieferungsland nicht verfügbar."
"The shipping module is not available.","Dieser Lieferungsmodul ist nicht verfügbar."
"There is no tracking available for this shipment.","Für diese Lieferung ist kein Tracking verfügbar."
"There is no tracking available.","Tracking ist nicht verfügbar."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Diese Lieferungsmethode ist zur Zeit nicht verfügbar. Wenn Sie mit diese Lieferungsmethode verwenden wollen, kontaktieren Sie uns bitte."
"This shipping method is not available, please specify ZIP-code","Diese Lieferungsmethode ist nicht verfügbar, bitte geben Sie eine Postleitzahl an"
"Title","Titel"
"Track:","Route:"
"Tracking Information","Routeninformation"
"Tracking Number:","Tracking-Nummer:"
"Tracking information is currently not available. Please ","Tracking-Information ist zur Zeit nicht verfügbar. Bitte"
"Tracking information is currently unavailable.","Tracking-Information ist zur Zeit nicht verfügbar."
"Type","Typ"
"Use origin weight (few requests)","Ursprungsgewicht verwenden (wenige Anfragen)"
"Weight (and above)","Gewicht (und höher)"
"Weight vs. Destination","Gewicht zu Destination"
"Weight:","Gewicht:"
"ZIP/Postal Code","Postleitzahl"
"contact us","kontaktieren Sie uns"
"email us at ","schreiben Sie uns eine E-Mail an"
